corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
NEWS,train204,205,0,cause_our_data_0_0205,"Columbia officials said they do n't know how quickly they will dispose of the thrift's junk bonds, because federal regulations, such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries, have n't yet been completed.    ","[""Columbia officials said they do nt <ARG1>know</ARG1> how quickly they will dispose of the thrifts junk bonds, because federal regulations, such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries, have nt yet been <ARG0>completed</ARG0>.""]",1
AFPNEWS,train6,7,0,enable_our_data_0_07,"Among individual companies, Amazon edged up 0.1 percent after announcing it would acquire the storied MGM studios for $8.45 billion, giving the US tech giant a vast library to further its ambitions in streaming.","[""Among individual companies, Amazon edged up 0.1 percent after announcing it would <ARG0>acquire</ARG0> the storied MGM studios for $8.45 billion, giving the US tech giant a vast library to further its <ARG1>ambitions</ARG1> in streaming.""]",1
NEWS,train104,105,0,0_our_data_0_0105,"We have established a close cooperation with Spanish authorities, and we decided to strike, and strike hard because France does n't have to welcome terrorists. """,[],0
NEWS,train186,187,0,cause_our_data_0_0187,The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.,"[""The president also has offered  to <ARG1>help</ARG1> offsetJordans costs because 40 percent of its exports <ARG0>go</ARG0> to Iraq and 90percent of its oil comes from there.""]",1
NEWS,train69,70,0,cause_our_data_0_070,"Newsprint results continued to be depressed, the company added, because of industrywide price discounting.    ","[""Newsprint results <ARG1>continued</ARG1> to be depressed, the company added, because of industrywide price <ARG0>discounting</ARG0>.""]",1
NEWS,train232,233,0,cause_our_data_0_0233,"A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains, thus increasing sales in the third quarter.    ","[""A spokesman said herbicide use in some areas of the U.S. was <ARG1>delayed</ARG1> earlier in the year by heavy <ARG0>rains</ARG0>, thus increasing sales in the third quarter.""]",1
NEWS,train24,25,0,intend_our_data_0_025,The company earlier this year adopted a shareholder-rights plan to ward off unwanted suitors.,"[""The company earlier this year <ARG0>adopted</ARG0> a shareholder-rights plan to <ARG1>ward</ARG1> off unwanted suitors.""]",1
NEWS,train44,45,0,intend_our_data_0_045,Bush's chief objective in his meeting with Hussein was to pressthe king  to shut down Iraq's food and oil supply route from Aqabaon the Red Sea.,"[""Bushs chief objective in his <ARG0>meeting</ARG0> with Hussein was to pressthe king  to <ARG1>shut</ARG1> down Iraqs food and oil supply route from Aqabaon the Red Sea.""]",1
NEWS,train210,211,0,cause_our_data_0_0211,Year-earlier results included an extraordinary gain of $1.6 million from a buy-back of convertible subordinated debentures.,"[""Year-earlier results included an extraordinary <ARG1>gain</ARG1> of $1.6 million from a <ARG0>buy-back</ARG0> of convertible subordinated debentures.""]",1
NEWS,train129,130,0,0_our_data_0_0130,"The Dearborn, Mich., energy company stopped paying a dividend in the third quarter of 1984 because of troubles at its Midland nuclear plant. ",[],0
NEWS,train259,260,0,cause_our_data_0_0260,"""Cheerios and Honey Nut Cheerios have eaten away sales normally going to Kellogg's corn-based lines simply because they are made of oats,"" says Merrill Lynch food analyst William Maguire. ","[""Cheerios and Honey Nut Cheerios have <ARG1>eaten</ARG1> away sales normally going to Kelloggs corn-based lines simply because they are <ARG0>made</ARG0> of oats, says Merrill Lynch food analyst William Maguire.""]",1
NEWS,train296,297,0,cause_our_data_0_0297,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake.","[""Im sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been <ARG0>built</ARG0> poorly, without adequate technical supervision, and have <ARG1>proved</ARG1> very vulnerable to the earthquake.""]",1
AFPNEWS,train66,67,0,enable_our_data_0_067,"For now, that would mean ""no one would represent Myanmar at the Seventy-fourth World Health Assembly"", according to the proposal, which was approved by WHO member states without a vote Wednesday morning.","[""For now, that would mean no one would <ARG1>represent</ARG1> Myanmar at the Seventy-fourth World Health Assembly, according to the <ARG0>proposal</ARG0>, which was <SIG0>approve</SIG0>d by WHO member states without a vote Wednesday morning.""]",1
AFPNEWS,train163,164,0,prevent_our_data_0_0164,"After putting her bassoon to one side for a while, she eventually managed to find some alternative projects -- particularly making records -- to keep her spirits up and stop herself from getting rusty.","[""After putting her bassoon to one side for a while, she eventually managed to find some alternative <ARG0>projects</ARG0> -- particularly making records -- to keep her spirits up and <SIG0>stop</SIG0> herself from getting <ARG1>rusty</ARG1>.""]",1
NEWS,train27,28,0,0_our_data_0_028,"But unless the military situation changes drastically, military officials say, the most likely plan will be for the Kennedy to eventually replace the carrier Dwight D. Eisenhower, which has been on patrol since March and was scheduled to return to port before hostilities erupted in Kuwait.   ",[],0
NEWS,train251,252,0,cause_our_data_0_0252,"Earlier this year, DPC Acquisition made a $15-a-share offer for Dataproducts, which the Dataproducts board said it rejected because the $283.7 million offer was not fully financed. ","[""Earlier this year, DPC Acquisition made a $15-a-share offer for Dataproducts, which the Dataproducts board said it <ARG1>rejected</ARG1> because the $283.7 million offer was not fully <ARG0>financed</ARG0>.""]",1
NEWS,train285,286,0,enable_our_data_0_0286,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    ","[""The <ARG0>approval</ARG0>, which had been expected, permits West Germanys second-largest bank to <ARG1>acquire</ARG1> shares of the French investment bank.""]",1
NEWS,train77,78,0,0_our_data_0_078,"Most of them escaped but police captured one and he was later identified as a suspected ETA member, said the spokeswoman, who by custom is not identified.",[],0
NEWS,train111,112,0,cause_our_data_0_0112,"In effect, McCaw has forced LIN's hand by bidding $1.9 billion for the stake earlier this month.    ","[""In effect, McCaw has <ARG1>forced</ARG1> LINs hand by <ARG0>bidding</ARG0> $1.9 billion for the stake earlier this month.""]",1
NEWS,train227,228,0,cause_our_data_0_0228,"Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is benefiting from its broad range of businesses. ","[""Du Pont, unlike companies <ARG1>hurt</ARG1> badly by sharp price <ARG0>declines</ARG0> for basic chemicals and plastics, is benefiting from its broad range of businesses.""]",1
NEWS,train253,254,0,cause_our_data_0_0254,The slowdown raises questions about the economy's strength because spending fueled much of the third-quarter GNP growth.,"[""The slowdown <ARG1>raises</ARG1> questions about the economys strength because spending <ARG0>fueled</ARG0> much of the third-quarter GNP growth.""]",1
NEWS,train136,137,0,0_our_data_0_0137,Westinghouse also expects its international sales to soon grow to 25% of total corporate sales from 20% last year.,[],0
NEWS,train228,229,0,cause_our_data_0_0229,"Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is benefiting from its broad range of businesses. ","[""Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is <ARG1>benefiting</ARG1> from its broad range of <ARG0>businesses</ARG0>.""]",1
NEWS,train208,209,0,cause_our_data_0_0209,The bank also said its effort would continue past the Nov. 1 deadline set in that agreement and that the litigation between the two sides might resume as a result.,"[""The bank also said its effort would <ARG0>continue</ARG0> past the Nov. 1 deadline set in that agreement and that the litigation between the two sides might <ARG1>resume</ARG1> as a result.""]",1
