index,text,label
cnc_train_01_233_415_0,UPA criticised Demonstrations were held in front of the bank branches and the insurance company premises denouncing the failure of the UPA government in holding the price line .,0
cnc_train_01_211_600_0,"Sena legislators protest against Yedyurappa 01st April 2010 10:08 PM MUMBAI : Shiv Sena workers , including some legislators , today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here , protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city .",0
cnc_train_05_276_928_0,"The Patels have been seeking quota under the OBC category through a pitched 10 - month-old agitation across the state , and this proved to be a key factor for the exit of Anandiben Patel as the Chief Minister .",0
cnc_train_01_323_631_0,"The protestors accused the Government of reneging on its commitment when the Chief Minister had himself announced , during an election rally , allocation of funds for the proposed Sureswari irrigation project here .",0
cnc_train_09_A_90_399_0,"Trinamool activist dies in police custody in Hooghly , cadres go on rampage",0
cnc_train_08_132_1184_0,"But in spite of its controversial nature , the CSAT was not removed until April 2015 , and that too after massive protests , ” said Anupama Karthik , an aspirant from Hyderabad .",0
prevent_our_data_0_0180,"""Indonesia's economy struggled to gain any momentum in the first quarter of the year and a failure to contain the virus will hold back the recovery in the quarters ahead,"" Gareth Leather, Senior Asia Economist from Capital Economics said.",3
enable_our_data_0_091,"The company's confidence in its VzLinux distro has led to an in-house conversion of more than 200+ CentOS servers, ensuring Virtuozzo's infrastructure is future-proofed well beyond December 2021 when CentOS is slated for end-of-life.",1
cnc_train_02_26_72_0,The clashes erupted after a youth belonging to a minority Muslim sect was allegedly severely injured in a thrashing by a youth from the majority sect following an altercation .,0
cnc_train_04_257_234_0,The workers went on strike five weeks ago demanding a minimum pay of R9000 a month .,0
cause_our_data_0_0204,"Thomas Spiegel, Columbia's chairman, said in a statement that the thrift was "" disappointed"" by the effects of the accounting changes. ",0
cause_our_data_0_0162,"Ralston Purina Co. reported a 47% decline in fourth-quarter earnings, reflecting restructuring costs as well as a more difficult pet food market.    ",0
cnc_train_06_225_2942_0,"With more than 450 junior doctors staying off duty , the functioning of the Departments and critical units have been affected seriously .",0
enable_our_data_0_04,It was a surprise move that could clear the way for a strong run by ultraconservative judiciary chief Ebrahim Raisi.,1
cnc_train_01_290_1409_0,Congress is protesting the recent hike in railway passenger fares and freight rates announced by the Centre .,0
cnc_train_07_73_5_0,"High drama was witnessed outside the civil court in Bangalore when unruly lawyers attacked mediapersons and pelted stones damaging OB vans , leaving at least 20 scribes and police personnel injured .",0
cnc_train_10_319_1456_0,"National Freedom Party spokesman , Sabelo Sigudu , said : `` The National Freedom Party ( NFP ) wishes to express words of condolence on the sad shooting and killing of Mr Sithole , the Municipality Manager of Richmond Local Municipality , which took place this morning . ''",0
cnc_train_05_10_3308_0,`` At the moment residents have blocked roads in Boitumelong and we ca n't enter the township .,0
cnc_train_08_304_3257_0,He has been on indefinite hunger strike since August 25 in support of united Andhra Pradesh .,0
cnc_train_10_154_2252_0,Authorities denied him food for 10 days in March after a band of knife-wielding Uighurs executed a brutal terror attack at a southern Chinese train station .,0
