context,triplets,label
Properly disposing of hazardous waste according to regulatory standards the spread of respiratory diseases like COVID-19,<triplet> Properly disposing of hazardous waste according to regulatory standards <subj> the spread of respiratory diseases like COVID-19 <obj> no_relation,no_relation
 affects adversely the  cause loses reputation,<triplet>  affects adversely the  <subj> loses reputation <obj> cause,cause
 knocks  off his perch intend to fight back,<triplet>  knocks  off his perch <subj> to fight back <obj> intend,intend
 hears from  cause TURNS HEAD TOWARDS THE NOISE,<triplet>  hears from  <subj> TURNS HEAD TOWARDS THE NOISE <obj> cause,cause
spends helping becomes tired,<triplet>  spends helping <subj> becomes tired <obj> no_relation,no_relation
 buys lunch intend to eat,<triplet>  buys lunch <subj> to eat <obj> intend,intend
Conducting routine maintenance on your car can prevent engine failure and breakdowns.,<triplet> Conducting routine maintenance on your car <subj> engine failure and breakdowns. <obj> prevent,prevent
Adequately insulating the home during winter months burglaries and break-ins,<triplet> Adequately insulating the home during winter months <subj> burglaries and break-ins <obj> no_relation,no_relation
 gives the girl  cause smiles,<triplet>  gives the girl  <subj> smiles <obj> cause,cause
 attends every  intend to know.,<triplet>  attends every  <subj> to know. <obj> intend,intend
When the baking sheet is heated sufficiently enables the delicious croissants to rise perfectly,<triplet> When the baking sheet is heated sufficiently <subj> the delicious croissants to rise perfectly <obj> enable,enable
works perfectly enter the builing.,<triplet>  works perfectly <subj>  enter the builing. <obj> no_relation,no_relation
Drinking plenty of water and staying hydrated to lift and twirl them,<triplet> Drinking plenty of water and staying hydrated <subj> to lift and twirl them <obj> no_relation,no_relation
 serves  apprenticeship intend to do well,<triplet>  serves  apprenticeship <subj> to do well <obj> intend,intend
 acts strange cause is stared at,<triplet>  acts strange <subj> is stared at <obj> cause,cause
 strikes  cause gets muscle sore,<triplet>  strikes  <subj> gets muscle sore <obj> cause,cause
 pays close attention intend to get promoted,<triplet>  pays close attention <subj> to get promoted <obj> intend,intend
takes guard to get rid of his friendship,<triplet>  takes guard <subj> to get rid of his friendship <obj> no_relation,no_relation
"The door lock is engaged.
If
It cannot be opened from outside.",<triplet> The door lock is engaged. <subj> It cannot be opened from outside. <obj> enable,enable
finishes  work to establish order,<triplet>  finishes  work <subj> to establish order <obj> no_relation,no_relation
 calls attention to the fact intend everyone to know the truth,<triplet>  calls attention to the fact <subj> everyone to know the truth <obj> intend,intend
 puts it back intend wash hands,<triplet>  puts it back <subj> wash hands <obj> intend,intend
 invites  to visit cause Gives drink,<triplet>  invites  to visit <subj> Gives drink <obj> cause,cause
 persuades the  to agree intend to ask questions about the process,<triplet>  persuades the to agree <subj> to ask questions about the process <obj> intend,intend
 makes a virtue of necessity cause formulates a plan,<triplet>  makes a virtue of necessity <subj> formulates a plan <obj> cause,cause
" Maintaining a healthy weight through diet and exercise prevents obesity-related health problems such as heart disease, diabetes, and joint pain","<triplet> Maintaining a healthy weight through diet and exercise <subj> obesity-related health problems such as heart disease, diabetes, and joint pain <obj> prevent",prevent
If theres no wind it enables the room,<triplet> If theres no wind <subj> it enables the room <obj> no_relation,no_relation
Washing your hands frequently prevents the spread of germs and illnesses caused by neglecting proper hand washing practices.,<triplet> Washing your hands frequently <subj> the spread of germs and illnesses caused by neglecting proper hand washing practices. <obj> prevent,prevent
 gets a ladder intend to fix something,<triplet>  gets a ladder <subj> to fix something <obj> intend,intend
"The bridge is now open
enabling
us to cross over to the other side of the river.",<triplet> The bridge is now open <subj> us to cross over to the other side of the river. <obj> enable,enable
 returns the wallet intend to do the right thing,<triplet>  returns the wallet <subj> to do the right thing <obj> intend,intend
Wearing seat belts while driving  can prevent serious injuries or fatalities in the event of an accident.,<triplet> Wearing seat belts while driving  <subj> serious injuries or fatalities in the event of an accident. <obj> prevent,prevent
"Ensuring proper maintenance of vehicles and equipment, including oil changes and routine inspections prevents breakdowns or malfunctions that could cause injury or damage to property.","<triplet> Ensuring proper maintenance of vehicles and equipment, including oil changes and routine inspections <subj> breakdowns or malfunctions that could cause injury or damage to property. <obj> prevent",prevent
Staying hydrated during exercise to locate or buy hiking boots.,<triplet> Staying hydrated during exercise <subj> to locate or buy hiking boots. <obj> no_relation,no_relation
falls among thieves Do his homework.,<triplet>  falls among thieves <subj> Do his homework. <obj> no_relation,no_relation
 punishes  cause puts down fist,<triplet>  punishes  <subj> puts down fist <obj> cause,cause
"In order for the light bulb to shine
there
must be electricity flowing through it.",<triplet> In order for the light bulb to shine <subj> must be electricity flowing through it. <obj> enable,enable
spends together takes pictures,<triplet>  spends together <subj> takes pictures <obj> no_relation,no_relation
launches  attack if it is connected to the computer and has enough ink.,<triplet>  launches  attack <subj> if it is connected to the computer and has enough ink. <obj> no_relation,no_relation
 really loves  cause  gets married,<triplet>  really loves  <subj>  gets married <obj> cause,cause
pays the fiddler the gates of the dam can be opened,<triplet>  pays the fiddler <subj> the gates of the dam can be opened <obj> no_relation,no_relation
cleans the house people evacuate the building,<triplet>  cleans the house <subj> people evacuate the building <obj> no_relation,no_relation
"When the door is unlocked
then
it can be opened",<triplet> When the door is unlocked <subj> it can be opened <obj> enable,enable
 takes  life cause is dirty,<triplet>  takes  life <subj> is dirty <obj> cause,cause
The cars battery died go for a walk outside,<triplet> The cars battery died <subj> go for a walk outside <obj> no_relation,no_relation
Staying indoors during a heavy snowstorm or blizzard electrocution or fire hazards caused by short circuits.,<triplet> Staying indoors during a heavy snowstorm or blizzard <subj> electrocution or fire hazards caused by short circuits. <obj> no_relation,no_relation
 pops  in the oven intend food,<triplet>  pops in the oven <subj> food <obj> intend,intend
" Limiting alcohol consumption prevents liver disease, high blood pressure, and other health problems associated with excessive drinking","<triplet> Limiting alcohol consumption <subj> liver disease, high blood pressure, and other health problems associated with excessive drinking <obj> prevent",prevent
"Quitting smoking and avoiding secondhand smoke can help prevent lung cancer, emphysema, and other respiratory diseases.","<triplet> Quitting smoking and avoiding secondhand smoke <subj> lung cancer, emphysema, and other respiratory diseases. <obj> prevent",prevent
