context,triplets
The United Nations has passed a resolution calling for an end to the use of child soldiers in armed conflicts.,<triplet> resolution <subj> end <obj> enable
"As more than 70 percent of the buses have been taken off the road , many passengers had to either postpone their travel or go by trains .",<triplet> more than 70 percent of the buses have been taken off the road <subj> many passengers had to either postpone their travel or go by trains <obj> cause
"Hong Kong ’ s latest political crisis has been brewing for months , with the emergence of a new generation of activists who came of age during the 2014 umbrella movement protests and are now pushing for greater autonomy or outright independence from mainland China .",<triplet> the emergence of a new generation of activists who came of age during the 2014 umbrella movement protests and are now pushing for greater autonomy or outright independence from mainland China <subj> Hong Kong ’ s latest political crisis has been brewing for months <obj> cause
The government has also promised to reduce taxes on businesses to encourage investment and job creation.,<triplet> reduce <subj> encourage <obj> enable
More than 700 people also signed an online petition for the government to step in with extra funding .,<triplet> the government to step in with extra funding <subj> More than 700 people also signed an online petition <obj> cause
"The announcement of the relaxation of the 15% takeover limit was welcomed by Jaguar Chairman Sir John Egan, who saw it as an opportunity for General Motors to increase its stake in the company.",<triplet> relaxation <subj> increase <obj> enable
Although private banks continued to operate as usual majority of trade and industry was hit by the strike by staff of 25 nationalised banks who are demanding revision of wages and a second option for pension among other things .,<triplet> staff of 25 nationalised banks who are demanding revision of wages and a second option for pension among other things <subj> majority of trade and industry was hit by the strike <obj> cause
Although private banks continued to operate as usual majority of trade and industry was hit by the strike by staff of 25 nationalised banks who are demanding revision of wages and a second option for pension among other things .,<triplet> demanding revision of wages and a second option for pension among other things <subj> the strike by staff of 25 nationalised banks <obj> cause
"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.   ",<triplet> asked <subj> carrying <obj> prevent
"President Joe Biden has pledged to work with opposition Republicans on key issues, and as Democrats control the Senate by a single vote, Schumer would need backing from several Republicans to forestall a potential filibuster that could block passage of the legislation.",<triplet> filibuster <subj> legislation <obj> prevent
The United Nations Security Council has unanimously adopted a resolution calling for an immediate end to the conflict in Syria.,<triplet> adopted <subj> end <obj> enable
"The European Union has sought to increase its influence in the region, and has been involved in a number of diplomatic initiatives.",<triplet> influence <subj> involved <obj> enable
"A day after the snap protest by the Karnataka State Reserve Police ( KSRP ) personnel extending support to their chief P. Ravindranath , who has now been transferred , senior officials on Thursday chalked out a strategy to prevent them from continuing the protest by deploying all the 1,200 KSRP personnel on various duties .",<triplet> to prevent them from continuing the protest <subj> senior officials on Thursday chalked out a strategy <obj> cause
"A day after the snap protest by the Karnataka State Reserve Police ( KSRP ) personnel extending support to their chief P. Ravindranath , who has now been transferred , senior officials on Thursday chalked out a strategy to prevent them from continuing the protest by deploying all the 1,200 KSRP personnel on various duties .","<triplet> to prevent them from continuing the protest <subj> deploying all the 1,200 KSRP personnel on various duties <obj> cause"
The Canadian government has announced a new program to help small businesses access capital and credit.,<triplet> program <subj> access <obj> enable
The government passed a law to increase access to educational opportunities in an effort to reduce inequality and promote social mobility.,<triplet> passed <subj> reduce <obj> intend
"The neighbouring State apparently relented after 500 trucks carrying vegetables , eggs , fishes and other perishable items from Andhra Pradesh were detained by BJD activists at various places in Balasore .","<triplet> 500 trucks carrying vegetables , eggs , fishes and other perishable items from Andhra Pradesh were detained by BJD activists at various places in Balasore <subj> The neighbouring State apparently relented <obj> cause"
Sena Flays CM for Keeping Mum While Vidarbha Flag Was Hoisted 03rd May 2016 04:32 PM MUMBAI : Ruling alliance partner Shiv Sena today flayed Maharashtra Chief Minister Devendra Fadnavis for keeping mum when a flag of a separate Vidarbha state was recently hoisted in Nagpur on Maharashtra Day .,<triplet> Keeping Mum While Vidarbha Flag Was Hoisted <subj> Sena Flays CM <obj> cause
Sena Flays CM for Keeping Mum While Vidarbha Flag Was Hoisted 03rd May 2016 04:32 PM MUMBAI : Ruling alliance partner Shiv Sena today flayed Maharashtra Chief Minister Devendra Fadnavis for keeping mum when a flag of a separate Vidarbha state was recently hoisted in Nagpur on Maharashtra Day .,<triplet> keeping mum when a flag of a separate Vidarbha state was recently hoisted in Nagpur on Maharashtra Day <subj> Ruling alliance partner Shiv Sena today flayed Maharashtra Chief Minister Devendra Fadnavis <obj> cause
"“ If peaceful marches that disrupt the road for an afternoon or so don ’ t work , maybe it spills over to blockading more roads , maybe for long .",<triplet> peaceful marches <subj> that disrupt the road for an afternoon or so <obj> cause
"“ If peaceful marches that disrupt the road for an afternoon or so don ’ t work , maybe it spills over to blockading more roads , maybe for long .","<triplet> peaceful marches that disrupt the road for an afternoon or so don ’ t work <subj> maybe it spills over to blockading more roads , maybe for long <obj> cause"
"Vasavi students demand action against principal 03rd August 2010 01:47 AM HYDERABAD : Students of the Vasavi College of Engineering on Monday staged a protest near the college demanding action against the principal , holding him responsible for the death of a civil engineering student .",<triplet> demanding action against the principal <subj> Students of the Vasavi College of Engineering on Monday staged a protest near the college <obj> cause
"Vasavi students demand action against principal 03rd August 2010 01:47 AM HYDERABAD : Students of the Vasavi College of Engineering on Monday staged a protest near the college demanding action against the principal , holding him responsible for the death of a civil engineering student .",<triplet> holding him responsible for the death of a civil engineering student <subj> demanding action against the principal <obj> cause
"However, the company's petroleum services segment, while profitable, was hurt by high financing costs associated with the company's buy-out of a 50% stake in Eastman Christensen Co. from Texas Eastern Corp. last June. ",<triplet> buy-out <subj> hurt <obj> cause
"|PTI GAYA : A 20 - year-old youth was shot dead allegedly by JD(U) MLC Manorama Devi 's son Rocky for overtaking his vehicle near police line in Bihar 's Gaya district , triggering protests in the area .",<triplet> overtaking his vehicle near police line in Bihar 's Gaya district <subj> A 20 - year-old youth was shot dead allegedly by JD(U) MLC Manorama Devi 's son Rocky <obj> cause
"|PTI GAYA : A 20 - year-old youth was shot dead allegedly by JD(U) MLC Manorama Devi 's son Rocky for overtaking his vehicle near police line in Bihar 's Gaya district , triggering protests in the area .",<triplet> A 20 - year-old youth was shot dead allegedly by JD(U) MLC Manorama Devi 's son Rocky <subj> triggering protests in the area <obj> cause
The International Monetary Fund has also approved a loan package to help the country's economy recover from the effects of the global financial crisis.,<triplet> loan <subj> recover <obj> enable
The Organization of American States has called for an end to the violence in Venezuela and for a peaceful resolution to the crisis.,<triplet> called <subj> end <obj> enable
The United States and Canada agreed to a trade deal that would reduce tariffs and increase access to Canadian markets for American companies.,<triplet> agreed <subj> increase <obj> intend
The European Union has also adopted a resolution to promote the rights of refugees and migrants.,<triplet> resolution <subj> promote <obj> enable
"Police are authorised to carry out random spot checks to ensure that quarantine rules are respected, with non-compliance punished with fines of up to 1,500 euros ($1,800).",<triplet> checks <subj> quarantine <obj> enable
"Choudary has never announced a date for his march and area police said he had not contacted them about it, as march organizers are required to do beforehand.",<triplet> required <subj> announced <obj> cause
"28th March 2012 01:49 AM NEW DELHI : The Lok Sabha on Tuesday lashed out against Team Anna members for the intemperate language they used against Members of Parliament , and strongly condemned them for “ lowering the dignity of the House ” with the remarks they made during Anna Hazare ’ s one-day fast at Jantar Mantar on Sunday .",<triplet> the intemperate language they used against Members of Parliament <subj> The Lok Sabha on Tuesday lashed out against Team Anna members <obj> cause
"28th March 2012 01:49 AM NEW DELHI : The Lok Sabha on Tuesday lashed out against Team Anna members for the intemperate language they used against Members of Parliament , and strongly condemned them for “ lowering the dignity of the House ” with the remarks they made during Anna Hazare ’ s one-day fast at Jantar Mantar on Sunday .",<triplet> “ lowering the dignity of the House ” <subj> strongly condemned them <obj> cause
"28th March 2012 01:49 AM NEW DELHI : The Lok Sabha on Tuesday lashed out against Team Anna members for the intemperate language they used against Members of Parliament , and strongly condemned them for “ lowering the dignity of the House ” with the remarks they made during Anna Hazare ’ s one-day fast at Jantar Mantar on Sunday .",<triplet> the remarks they made during Anna Hazare ’ s one-day fast at Jantar Mantar on Sunday <subj> “ lowering the dignity of the House ” <obj> cause
"TAMIL NADU TNGEA members stage demonstration April 29 , 2010 00:00 IST Staff Reporter Tirupur : The Tamil Nadu Government Employees Association ( TNGEA ) members staged a demonstration in front of the Collectorate on Tuesday evening asking the government to scrap the contributory pension scheme , among other demands .","<triplet> asking the government to scrap the contributory pension scheme , among other demands <subj> The Tamil Nadu Government Employees Association ( TNGEA ) members staged a demonstration in front of the Collectorate on Tuesday evening <obj> cause"
"Organisers said almost 300,000 protesters and residents on Saturday afternoon defied a police ban to descend on the town in Hong Kong ’ s western New Territories .","<triplet> to descend on the town in Hong Kong ’ s western New Territories <subj> almost 300,000 protesters and residents on Saturday afternoon defied a police ban <obj> cause"
Four students were injured when police fired rubber bullets during a protest on the campus of the University of the North West in Mafikeng on Monday .,<triplet> police fired rubber bullets during a protest on the campus of the University of the North West in Mafikeng on Monday <subj> Four students were injured <obj> cause
"Dissatisfied with the package , workers staged an all-nigh sit-in .",<triplet> Dissatisfied with the package <subj> workers staged an all-nigh sit-in <obj> cause
Hudson's Bay Co. announced terms of a previously proposed rights issue that is expected to raise about 396 million Canadian dollars (US$337 million) net of expenses.,<triplet> raise <subj> announced <obj> intend
Violence erupted on Tuesday when the Democratic Alliance showed support for the subsidy by marching to Cosatu 's headquarters in Johannesburg .,<triplet> marching to Cosatu 's headquarters in Johannesburg <subj> Violence erupted on Tuesday <obj> cause
Violence erupted on Tuesday when the Democratic Alliance showed support for the subsidy by marching to Cosatu 's headquarters in Johannesburg .,<triplet> the subsidy <subj> the Democratic Alliance showed support <obj> cause
Violence erupted on Tuesday when the Democratic Alliance showed support for the subsidy by marching to Cosatu 's headquarters in Johannesburg .,<triplet> the Democratic Alliance showed support <subj> marching to Cosatu 's headquarters in Johannesburg <obj> cause
"The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural diversity and respect for traditional ways of life.",<triplet> introducing <subj> promote <obj> intend
"The 1966 riots , which were prompted by a 50 per cent increase in cross-harbour ferry fares , took place against the backdrop of a bad economy and widening gap between the government and the people .",<triplet> a 50 per cent increase in cross-harbour ferry fares <subj> The 1966 riots <obj> cause
The United Nations has imposed an arms embargo on Afghanistan in an effort to prevent the spread of extremism.,<triplet> Arms embargo <subj> Spread of extremism <obj> prevent
The government is introducing a new law to protect the rights of workers and ensure fair wages.,<triplet> introducing <subj> protect <obj> intend
The activists of Jaya Karnataka Sanghatane and Manava Hakkugala Horatagarara Parishat also staged separate protests at the Deputy Commissioner ’ s office demanding the State government hand over the probe to the Central Bureau of Investigation .,<triplet> demanding the State government hand over the probe to the Central Bureau of Investigation <subj> The activists of Jaya Karnataka Sanghatane and Manava Hakkugala Horatagarara Parishat also staged separate protests at the Deputy Commissioner ’ s office <obj> cause
"While earlier it was the turn of Telangana Rashtra Samithi ( TRS ) to participate in protests in support to farmers , on Monday it was the Telugu Desam .",<triplet> in support to farmers <subj> Telangana Rashtra Samithi ( TRS ) to participate in protests <obj> cause
"The government is introducing a new law to reduce air pollution, in an effort to improve public health.",<triplet> introducing <subj> improve <obj> intend
Two men have been charged for their murders .,<triplet> their murders <subj> Two men have been charged <obj> cause
The government introduced a new law to protect the rights of people with disabilities in an effort to ensure access to services and resources.,<triplet> protect <subj> ensure <obj> intend
The incident sent shock waves among devotees and archakas who were witness to the attack .,<triplet> who were witness to the attack <subj> The incident sent shock waves among devotees and archakas <obj> cause
"Singh had recently blamed Advani for coming to Gujarat Chief Minister Narendra Modi ’ s rescue and ensured that he was not sacked , in the wake of the riots .",<triplet> coming to Gujarat Chief Minister Narendra Modi ’ s rescue <subj> Singh had recently blamed Advani <obj> cause
"At Balagangamanahalli panchayat in Dharmapuri , residents of Eechampatti village laid siege to the Nallampalli BDO ’ s office in protest against non supply of water .","<triplet> in protest against non supply of water <subj> At Balagangamanahalli panchayat in Dharmapuri , residents of Eechampatti village laid siege to the Nallampalli BDO ’ s office <obj> cause"
The government has implemented a series of measures to prevent the spread of infectious diseases.,<triplet> Measures <subj> Spread <obj> prevent
"The government is introducing a new law to protect the rights of consumers, in an effort to ensure fair prices and quality products.",<triplet> Introducing <subj> ensure <obj> intend
"But some analysts questioned how much of an impact the retirement package will have, because few jobs will end up being eliminated. ",<triplet> eliminated <subj> questioned <obj> cause
The United Nations has imposed a trade embargo on certain countries in an effort to prevent the sale of weapons to terrorist groups.,<triplet> Trade embargo <subj> Sale <obj> prevent
The United Nations has imposed an embargo on certain countries in an effort to prevent the spread of organized crime.,<triplet> Embargo <subj> Crime <obj> prevent
The United States has imposed economic sanctions on Iran in an effort to prevent the government from developing nuclear weapons.,<triplet> sanctions <subj> developing <obj> prevent
"Some analysts have said Courtaulds' moves could boost the company's value by 5% to 10%, because the two entities separately will carry a higher price earnings multiple than they did combined. ",<triplet> carry <subj> boost <obj> cause
"The leopards escaped on April 19 -- with careless cage-cleaners blamed for letting them out -- but the Hangzhou Safari Park hid the breakout for nearly three weeks to avoid bad publicity, police in the city have said.",<triplet> breakout <subj> publicity <obj> prevent
",The government passed a law to increase funding for public transportation, in an effort to reduce traffic congestion.",<triplet> passed <subj> reduce <obj> intend
Traffic was held up for an hour following rasta roko by students who were literally dragged away by police and SRP personnel and whisked away to Azad Maidan police station in police vans .,<triplet> rasta roko by students <subj> Traffic was held up for an hour <obj> cause
Traffic was held up for an hour following rasta roko by students who were literally dragged away by police and SRP personnel and whisked away to Azad Maidan police station in police vans .,<triplet> Traffic was held up for an hour following rasta roko by students <subj> who were literally dragged away by police and SRP personnel and whisked away to Azad Maidan police station in police vans <obj> cause
"The government has implemented a new policy to provide tax credits to businesses that hire new employees, in an effort to reduce unemployment.",<triplet> implemented <subj> reduce <obj> intend
"""The Mohammed Bin Rashid Space Centre has always sought to provide innovative solutions that benefit the scientific community.",<triplet> sought <subj> community <obj> enable
"The capital had been witnessing many protesters making it to the top of trees and other vantage high-rises as an order of the day and threatening to jump down if their demand is not met , but a record was set on Tuesday by one by performing his feat inside the Assembly complex !",<triplet> their demand is not met <subj> many protesters making it to the top of trees and other vantage high-rises as an order of the day and threatening to jump down <obj> cause
"The capital had been witnessing many protesters making it to the top of trees and other vantage high-rises as an order of the day and threatening to jump down if their demand is not met , but a record was set on Tuesday by one by performing his feat inside the Assembly complex !",<triplet> performing his feat inside the Assembly complex <subj> record was set on Tuesday by one <obj> cause
"The debate over how to alleviate those shortages has intensified in recent years, pitching advocates of privatization programs against those who say water is a public good and that its collection and distribution should remain in the public sector.",<triplet> intensified <subj> pitching <obj> cause
"PUBLISHED : Friday , 30 January , 2009 , 12:00am Abode seekers demand action | South China Morning Post Donald Tsang More than 100 abode seekers and their parents yesterday marched to the government headquarters in Central and held a candle-light vigil to mark the 10th anniversary of a court ruling that allowed thousands of them to stay in the city .",<triplet> to mark the 10th anniversary of a court ruling that allowed thousands of them to stay in the city <subj> More than 100 abode seekers and their parents yesterday marched to the government headquarters in Central and held a candle-light vigil <obj> cause
He said there is no chance of ending the strike as the state government did not invite them for talks .,<triplet> the state government did not invite them for talks <subj> there is no chance of ending the strike <obj> cause
Police apparently fired teargas and rubber bullets after students barricaded the main entrance .,<triplet> students barricaded the main entrance <subj> Police apparently fired teargas and rubber bullets <obj> cause
Hazare offers to apologise to Sharad Pawar 24th November 2011 11:24 PM RALEGAN SIDDHI : Anna Hazare Thursday offered to apologise to union Agriculture Minister Sharad Pawar over his comment on an attack on the Nationalist Congress Party leader in Delhi .,<triplet> his comment on an attack on the Nationalist Congress Party leader in Delhi <subj> Anna Hazare Thursday offered to apologise to union Agriculture Minister Sharad Pawar <obj> cause
The United Nations passed a resolution to promote the rights of children and ensure their access to basic services.,<triplet> passed <subj> ensure <obj> intend
The latest period includes gains of $9.1 million from early retirement of debt and tax loss carry-forward.,<triplet> retirement <subj> gains <obj> cause
"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",<triplet> offering <subj> subscribe <obj> enable
The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from supporting terrorist activities.,<triplet> Arms embargo <subj> Terrorist activities <obj> prevent
"In the past two months the nation's 88 junk funds have lost a total of about $6 billion -- more than 15% of assets -- through sales or transfers of junk-fund shares, Dalbar says. ",<triplet> transfers <subj> lost <obj> cause
The World Bank has launched a new initiative to promote economic development in developing countries.,<triplet> initiative <subj> promote <obj> enable
"- Indian Express Express News Service , Express News Service : Mumbai , Thu Dec 18 2008 , 23:43 hrs Slum dwellers residing on the land allocated for the construction of a depot , which is part of the Charkop-Bandra-Mankhurd Metro Rail project , on Wednesday protested Mumbai Regional Development Authority 's ( MMRDA ) move after its officials visited the site for surveying the plot of land .","<triplet> its officials visited the site for surveying the plot of land <subj> Slum dwellers residing on the land allocated for the construction of a depot , which is part of the Charkop-Bandra-Mankhurd Metro Rail project , on Wednesday protested Mumbai Regional Development Authority 's ( MMRDA ) move <obj> cause"
The Pathankot incident too exposed how far the malignant cancer of corruption has spread .,<triplet> The Pathankot incident <subj> too exposed how far the malignant cancer of corruption has spread <obj> cause
"Four-time MP Yadav was arrested in 1999 and convicted for the murder and sentenced to life imprisonment Feb 14 , 2008 .",<triplet> the murder <subj> Four-time MP Yadav was arrested in 1999 and convicted <obj> cause
"Four-time MP Yadav was arrested in 1999 and convicted for the murder and sentenced to life imprisonment Feb 14 , 2008 .","<triplet> the murder <subj> and sentenced to life imprisonment Feb 14 , 2008 <obj> cause"
"TAMIL NADU Activists support Medha Patkar 's cause April 08 , 2006 00:00 IST SOLIDARITY : Activists in Chennai staging fast on Friday in support of Narmada Bachao Andolan leader Medha Patkar 's agitation .",<triplet> Narmada Bachao Andolan leader Medha Patkar 's agitation <subj> Activists in Chennai staging fast on Friday <obj> cause
"Following the telecast of the baseless story linking Reliance with the death of YSR , Reliance outlets across the state were targeted .",<triplet> the telecast of the baseless story linking Reliance with the death of YSR <subj> Reliance outlets across the state were targeted <obj> cause
The government has implemented a series of measures to protect citizens from identity theft.,<triplet> measures <subj> Identity theft <obj> prevent
The African Union has adopted a resolution to promote peace and security in the region.,<triplet> resolution <subj> promote <obj> enable
"Authorities have accused Tohti of playing a role in inciting numerous violent incidents , including a “ terror attack ” near the desert city Kashgar last spring which killed 21 people , and an attack on a police station in Lukqun , a nearby town of 30,000 people , that left dozens of people dead last June .",<triplet> a “ terror attack ” near the desert city Kashgar last spring <subj> which killed 21 people <obj> cause
