corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
GPT3,train1,02,0,enable_GPT_0_02,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.","[""The White House yesterday disclosed that Kuwaits ousted government has formally asked the U.S. to <ARG0>enforce</ARG0> the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin <ARG1>stopping</ARG1> ships carrying Iraqi goods.""]",1
GPT3,train2,03,0,enable_GPT_0_03,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.","[""Prime Minister Margaret Thatcher might, however, be receptive to any <ARG0>request</ARG0> by Jaguar Chairman Sir John Egan for the restrictions early <ARG1>removal</ARG1> to let GM amass more than 15% or mount a friendly suitor bid against Ford.""]",1
GPT3,train3,04,0,enable_GPT_0_04,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.","[""Canadas largest department store operator said the rights <ARG0>offering</ARG0> will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to <ARG1>subscribe</ARG1> for two additional shares for every five shares held at a price of C$25 a share.""]",1
GPT3,train4,05,0,enable_GPT_0_05,DD Acquisition said the extension is to allow this process to be completed.,"[""DD Acquisition said the <ARG0>extension</ARG0> is to allow this process to be <ARG1>completed</ARG1>.""]",1
GPT3,train5,06,0,enable_GPT_0_06,"The government of Prime Minister Brian Mulroney has been under pressure to reduce the deficit, which is expected to reach C$30 billion this year.","[""The government of Prime Minister Brian Mulroney has been under <ARG0>pressure</ARG0> to <ARG1>reduce</ARG1> the deficit, which is expected to reach C$30 billion this year.""]",1
GPT3,train6,07,0,enable_GPT_0_07,The proceeds of the offering will be used to reduce the company's debt and to fund its expansion plans.,"[""The <ARG0>proceeds</ARG0> of the offering will be used to <ARG1>reduce</ARG1> the companys debt and to fund its expansion plans.""]",1
GPT3,train7,08,0,enable_GPT_0_08,"The company has also announced that it will be launching a new loyalty program for its customers, which will offer rewards and discounts for frequent shoppers.","[""The company has also announced that it will be launching a new <ARG0>loyalty</ARG0> program for its customers, which will offer <ARG1>rewards</ARG1> and discounts for frequent shoppers.""]",1
GPT3,train8,09,0,enable_GPT_0_09,The company has also announced that it will be investing in new technology to improve customer service and increase efficiency.,"[""The company has also announced that it will be investing in new <ARG0>technology</ARG0> to <ARG1>improve</ARG1> customer service and increase efficiency.""]",1
GPT3,train9,010,0,enable_GPT_0_010,The company has also announced that it will be investing in new marketing initiatives to increase brand awareness and customer loyalty.,"[""The company has also announced that it will be investing in new <ARG0>marketing</ARG0> initiatives to <ARG1>increase</ARG1> brand awareness and customer loyalty.""]",1
GPT3,train10,011,0,enable_GPT_0_011,The company has also announced that it will be investing in research and development to create new products and services.,"[""The company has also announced that it will be investing in <ARG0>research</ARG0> and development to <ARG1>create</ARG1> new products and services.""]",1
