,corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs,Event1_Type,Event2_Type,relation,stripped_index,type_relation,Average_Similarity
0,cnc,0.0,0.0,0.0,enable_0_0_0,"The official said the central archaeological council had ""unanimously"" approved the shoots.","[""The official said the central archaeological <ARG0>council</ARG0> had  unanimously  approved the <ARG1>shoots</ARG1>.""]",0.0,Government Decision,Archaeological Discovery,enable,enable,Government Decision enable Archaeological Discovery,
1,cnc,1.0,1.0,0.0,enable_1_1_0,The International Monetary Fund has also approved a loan package to help the country's economy recover from the effects of the global financial crisis.,"[""The International Monetary Fund has also approved a <ARG0>loan</ARG0> package to help the country s economy <ARG1>recover</ARG1> from the effects of the global financial crisis.""]",0.0,Financial Assistance,Economic Recovery,enable,enable,Financial Assistance enable Economic Recovery,
2,cnc,1.0,1.0,0.0,prevent_1_1_0,"The government has implemented a series of measures to prevent the exploitation of workers, including minimum wage laws and the enforcement of labor rights.","[""The government has implemented a series of measures to prevent the <ARG1>Exploitation</ARG1> of workers, including minimum wage <ARG0>laws</ARG0> and the enforcement of labor rights.""]",0.0,Labor Rights Protection,Exploitation Prevention,prevent,prevent,Labor Rights Protection prevent Exploitation Prevention,
3,cnc,1.0,1.0,0.0,cause_1_1_0,"That would be a huge problem if it were to continue, because Unisys is betting its business on the assumption that customers want to move away from using operating systems that run on only one manufacturer's equipment and toward systems -- mainly Unix -- that work on almost anyone's machines.    ","[""That would be a huge <ARG1>problem</ARG1> if it were to continue, because Unisys is <ARG0>betting</ARG0> its business on the assumption that customers want to move away from using operating systems that run on only one manufacturer s equipment and toward systems -- mainly Unix -- that work on almost anyone s machines.""]",0.0,Bet,Problem,cause,cause,Bet cause Problem,0.7043338
4,cnc,1.0,1.0,0.0,enable_1_1_0,"The Canadian government has announced a new program to help low-income families with the cost of medical care, providing up to $500 per year in assistance for those who qualify.","[""The Canadian government has announced a new <ARG0>program</ARG0> to <ARG1>help</ARG1> low-income families with the cost of medical care, providing up to $500 per year in assistance for those who qualify.""]",0.0,Government Social Welfare Program,Healthcare Financial Assistance Program,enable,enable,Government Social Welfare Program enable Healthcare Financial Assistance Program,
5,cnc,1.0,1.0,0.0,enable_1_1_0,The United States has imposed tariffs on Chinese imports in an effort to protect American businesses from unfair competition.,"[""The United States has imposed <ARG0>tariffs</ARG0> on Chinese imports in an effort to <ARG1>protect</ARG1> American businesses from unfair competition.""]",0.0,Protectionist Policy,Protectionist Policy,enable,enable,Protectionist Policy enable Protectionist Policy,
6,cnc,1.0,1.0,0.0,enable_1_1_0,The company has also announced that it will be investing in new educational programs to help its employees develop their skills and knowledge.,"[""The company has also announced that it will be <ARG0>investing</ARG0> in new educational programs to help its employees <ARG1>develop</ARG1> their skills and knowledge.""]",0.0,Investment Decision,Employee Development Initiative,enable,enable,Investment Decision enable Employee Development Initiative,
7,cnc,1.0,1.0,0.0,prevent_1_1_0,The United Nations has imposed an arms embargo on Sudan in an effort to prevent further violence and human rights abuses.,"[""The United Nations has imposed an arms <ARG0>Embargo</ARG0> on Sudan in an effort to prevent further <ARG1>Violence</ARG1> and human rights abuses.""]",0.0,Arms Embargo,Human Rights Abuses,prevent,prevent,Arms Embargo prevent Human Rights Abuses,
8,cnc,1.0,1.0,0.0,enable_1_1_0,The United Nations has passed a resolution calling for an end to the use of chemical weapons in Syria.,"[""The United Nations has passed a <ARG0>resolution</ARG0> calling for an <ARG1>end</ARG1> to the use of chemical weapons in Syria.""]",0.0,International Agreement,Arms Control Agreement,enable,enable,International Agreement enable Arms Control Agreement,
9,cnc,1.0,1.0,0.0,cause_1_1_0,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ","[""Ocean Drilling amp Exploration Co. will <ARG1>sell</ARG1> its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the <ARG0>planned</ARG0> sale.""]",0.0,Divestment,Discontinued Operations,cause,cause,Divestment cause Discontinued Operations,0.7043338
10,cnc,1.0,1.0,0.0,enable_1_1_0,The government has introduced a new bill to increase the minimum wage and provide more job security for workers.,"[""The government has introduced a new <ARG0>bill</ARG0> to <ARG1>increase</ARG1> the minimum wage and provide more job security for workers.""]",0.0,Government Policy Change,Labor and Employment,enable,enable,Government Policy Change enable Labor and Employment,
11,cnc,1.0,1.0,0.0,intend_1_1_0,"The government is introducing a new law to protect the rights of the disabled, in an effort to ensure access to services and equal opportunities.","[""The government is <ARG0>introducing</ARG0> a new law to protect the rights of the disabled, in an effort to <ARG1>ensure</ARG1> access to services and equal opportunities.""]",0.0,Legislation Passed,Social Change Initiative,intend,intend,Legislation Passed intend Social Change Initiative,0.78350675
12,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of laws to protect the public from the spread of organized crime.,"[""The government has implemented a series of <ARG0>Laws</ARG0> to protect the public from the <ARG1>Spread of Organized Crime</ARG1>.""]",0.0,Social Unrest,Social Unrest,prevent,prevent,Social Unrest prevent Social Unrest,
13,cnc,1.0,1.0,0.0,cause_1_1_0,"Thomas Spiegel, Columbia's chairman, said in a statement that the thrift was "" disappointed"" by the effects of the accounting changes. ","[""Thomas Spiegel, Columbia s chairman, said in a statement that the thrift was   <ARG1>disappointed</ARG1>  by the effects of the accounting <ARG0>changes</ARG0>.""]",0.0,Reaction to Accounting Change,Reaction to Accounting Change,cause,cause,Reaction to Accounting Change cause Reaction to Accounting Change,0.7043338
14,cnc,1.0,1.0,0.0,enable_1_1_0,The government has also announced that it will be investing in new housing initiatives to provide affordable housing for low-income families.,"[""The government has also announced that it will be <ARG0>investing</ARG0> in new <ARG1>housing</ARG1> initiatives to provide affordable <ARG1>housing</ARG1> for low-income families.""]",0.0,Government Initiative,Housing and Development,enable,enable,Government Initiative enable Housing and Development,
15,cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to increase funding for public education in an effort to improve educational outcomes.,"[""The government <ARG0>passed</ARG0> a law to increase funding for public education in an effort to <ARG1>improve</ARG1> educational outcomes.""]",0.0,Government Policy Change,Education Improvement,intend,intend,Government Policy Change intend Education Improvement,0.78350675
16,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of laws to prevent the abuse of animals.,"[""The government has implemented a series of <ARG0>laws</ARG0> to prevent the <ARG1>abuse</ARG1> of animals.""]",0.0,Animal Abuse,Animal Abuse,prevent,prevent,Animal Abuse prevent Animal Abuse,
17,cnc,1.0,1.0,0.0,enable_1_1_0,"With The Temenos Banking Cloud, we empower banks to digitally transform and massively scale faster than ever.""","[""With The Temenos Banking <ARG0>cloud</ARG0>, we empower banks to digitally transform and massively <ARG1>scale</ARG1> faster than ever.""]",0.0,Product Launch,Scalability Improvement,enable,enable,Product Launch enable Scalability Improvement,
18,cnc,1.0,1.0,0.0,prevent_1_1_0,The United Nations has imposed an arms embargo on certain countries in an effort to prevent the spread of illicit arms.,"[""The United Nations has imposed an <ARG0>Arms embargo</ARG0> on certain countries in an effort to prevent the spread of <ARG1>Illicit arms</ARG1>.""]",0.0,Arms Embargo,Illicit Arms Proliferation,prevent,prevent,Arms Embargo prevent Illicit Arms Proliferation,
19,cnc,1.0,1.0,0.0,prevent_1_1_0,"The government has taken steps to prevent the spread of disease, including introducing new laws to regulate public health.","[""The government has <ARG0>taken</ARG0> steps to prevent the spread of <ARG1>Disease</ARG1>, including introducing new laws to regulate public health.""]",0.0,Government Regulation,Government Regulation,prevent,prevent,Government Regulation prevent Government Regulation,
20,cnc,1.0,1.0,0.0,prevent_1_1_0,"The government has implemented a series of measures to prevent the spread of corruption, including increased transparency and accountability.","[""The government has implemented a series of <ARG0>Measures</ARG0> to prevent the spread of <ARG1>Corruption</ARG1>, including increased transparency and accountability.""]",0.0,Anti-Corruption Effort,Anti-Corruption Effort,prevent,prevent,Anti-Corruption Effort prevent Anti-Corruption Effort,
21,cnc,1.0,1.0,0.0,prevent_1_1_0,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,"[""The United States has imposed <ARG0>Economic sanctions</ARG0> on Iran in an effort to prevent the country from developing <ARG1>Nuclear weapons</ARG1>.""]",0.0,Economic Sanctions,Nuclear Weapons Development,prevent,prevent,Economic Sanctions prevent Nuclear Weapons Development,
22,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of regulations to prevent companies from engaging in deceptive marketing practices.,"[""The government has implemented a series of <ARG0>Regulations</ARG0> to prevent companies from <ARG1>engaging</ARG1> in deceptive marketing practices.""]",0.0,Regulatory Change) triggered by the government implementing new regulations. The second event is a response from businesses (,Regulatory Change) triggered by the government implementing new regulations. The second event is a response from businesses (,prevent,prevent,Regulatory Change) triggered by the government implementing new regulations. The second event is a response from businesses ( prevent Regulatory Change) triggered by the government implementing new regulations. The second event is a response from businesses (,
23,cnc,1.0,1.0,0.0,cause_1_1_0,"By acquiring the shares, Lawrence Group increased its stake in Lawrence Insurance to 93.2% from 91.2%. ","[""By <ARG0>acquiring</ARG0> the shares, Lawrence Group <ARG1>increased</ARG1> its stake in Lawrence Insurance to 93.2% from 91.2%.""]",0.0,Corporate Action,Change in Ownership Structure,cause,cause,Corporate Action cause Change in Ownership Structure,0.7043338
24,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of measures to prevent the spread of misinformation.,"[""The government has implemented a series of <ARG0>measures</ARG0> to prevent the spread of <ARG1>misinformation</ARG1>.""]",0.0,Social Media,Social Media,prevent,prevent,Social Media prevent Social Media,
25,cnc,1.0,1.0,0.0,cause_1_1_0,The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.,"[""The <ARG0>move</ARG0> <ARG1>boosts</ARG1> Intelogic Chairman Asher Edelman s stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.""]",0.0,Corporate Takeover Attempt,Shareholder Increases Stake,cause,cause,Corporate Takeover Attempt cause Shareholder Increases Stake,0.7043338
26,cnc,1.0,1.0,0.0,prevent_1_1_0,"Accidents in small-scale gold-mining, known locally as ""galamsey"", are common in the West African nation and President Nana Akufo-Addo has vowed a crackdown to curb its environmental damage.","[""Accidents in small-scale gold-mining, known locally as  galamsey , are common in the West African nation and President Nana Akufo-Addo has vowed a <ARG0>crackdown</ARG0> to curb its environmental <ARG1>damage</ARG1>.""]",0.0,Government Crackdown,Environmental Damage,prevent,prevent,Government Crackdown prevent Environmental Damage,
27,cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase access to clean water, in an effort to improve public health.","[""The government <ARG0>passed</ARG0> a law to increase access to clean water, in an effort to <ARG1>improve</ARG1> public health.""]",0.0,Government Policy Change,Public Health Improvement,intend,intend,Government Policy Change intend Public Health Improvement,0.78350675
28,cnc,1.0,1.0,0.0,enable_1_1_0,The United Nations has established a new international court to prosecute war crimes and crimes against humanity.,"[""The United Nations has established a new international <ARG0>court</ARG0> to <ARG1>prosecute</ARG1> war crimes and crimes against humanity.""]",0.0,Legal Development,Human Rights,enable,enable,Legal Development enable Human Rights,
29,cnc,1.0,1.0,0.0,prevent_1_1_0,The United States has imposed economic sanctions on Russia in an effort to prevent the country from destabilizing the region.,"[""The United States has imposed <ARG0>Economic sanctions</ARG0> on Russia in an effort to prevent the country from <ARG1>Destabilizing</ARG1> the region.""]",0.0,Economic Sanctions,Geopolitical Tension,prevent,prevent,Economic Sanctions prevent Geopolitical Tension,
30,cnc,1.0,1.0,0.0,prevent_1_1_0,The United States has imposed economic sanctions on Russia in an effort to prevent the country from destabilizing the region.,"[""The United States has imposed <ARG0>Economic sanctions</ARG0> on Russia in an effort to prevent the country from <ARG1>Destabilizing</ARG1> the region.""]",0.0,Economic Sanctions,Geopolitical Tension,prevent,prevent,Economic Sanctions prevent Geopolitical Tension,
31,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of measures to prevent the illegal trafficking of drugs and weapons.,"[""The government has implemented a series of <ARG0>Measures</ARG0> to prevent the illegal <ARG1>Trafficking</ARG1> of drugs and weapons.""]",0.0,Natural Disaster,Law Enforcement Measure,prevent,prevent,Natural Disaster prevent Law Enforcement Measure,
32,cnc,1.0,1.0,0.0,prevent_1_1_0,The United Nations has imposed a no-fly zone over Libya in an effort to prevent further violence in the region.,"[""The United Nations has imposed a <ARG0>No-fly zone</ARG0> over Libya in an effort to prevent further <ARG1>Violence</ARG1> in the region.""]",0.0,Military Intervention,Conflict Escalation,prevent,prevent,Military Intervention prevent Conflict Escalation,
33,cnc,1.0,1.0,0.0,prevent_1_1_0,"In addition to the estimated 45,000 Marines to ultimately bepart of Operation Desert Shield, Stealth fighter planes and theaircraft carrier John F. Kennedy  are  also headed to Saudi Arabia  to protect it from Iraqi expansionism.   ","[""In addition to the estimated 45,000 Marines to ultimately bepart of Operation Desert Shield, Stealth fighter planes and theaircraft carrier John F. Kennedy  are  also <ARG0>headed</ARG0> to Saudi Arabia  to protect it from Iraqi <ARG1>expansionism</ARG1>.""]",0.0,Military Deployment,Expansionism,prevent,prevent,Military Deployment prevent Expansionism,
34,cnc,1.0,1.0,0.0,enable_1_1_0,"Analysts greeted reports that Senate Republicans plan to lift their infrastructure package to $1 trillion, bringing them somewhat closer to President Joe Biden's latest offer costing $1.7 trillion.","[""Analysts greeted reports that Senate Republicans <ARG0>plan</ARG0> to lift their infrastructure package to $1 trillion, bringing them somewhat closer to President Joe Biden s latest <ARG1>offer</ARG1> costing $1.7 trillion.""]",0.0,Political Decision,Economic Policy Change,enable,enable,Political Decision enable Economic Policy Change,
35,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of measures to prevent the illegal smuggling of people and goods.,"[""The government has implemented a series of <ARG0>measures</ARG0> to prevent the illegal <ARG1>smuggling</ARG1> of people and goods.""]",0.0,Natural Disaster,Law Enforcement Measure,prevent,prevent,Natural Disaster prevent Law Enforcement Measure,
36,cnc,1.0,1.0,0.0,intend_1_1_0,The government has implemented a series of reforms to promote media freedom and reduce censorship.,"[""The government has implemented a series of reforms to <ARG0>promote</ARG0> <ARG1>media</ARG1> freedom and reduce censorship.""]",0.0,Government Policy Change,Media Freedom and Censorship,intend,intend,Government Policy Change intend Media Freedom and Censorship,0.78350675
37,cnc,1.0,1.0,0.0,enable_1_1_0,The United Nations has passed a resolution calling for an end to the use of explosive weapons in populated areas.,"[""The United Nations has passed a <ARG0>resolution</ARG0> calling for an end to the use of <ARG1>explosive</ARG1> weapons in populated areas.""]",0.0,Environmental Policy Change,Arms Control Agreement,enable,enable,Environmental Policy Change enable Arms Control Agreement,
38,cnc,1.0,1.0,0.0,cause_1_1_0,"National Intergroup in the year-ago third quarter earned $22.5 million, or 97 cents a share, including a gain of $18 million from the sale of a steel tube company. ","[""National Intergroup in the year-ago third quarter <ARG1>earned</ARG1> $22.5 million, or 97 cents a share, including a gain of $18 million from the <ARG0>sale</ARG0> of a steel tube company.""]",0.0,Sale of Asset,Earnings Report,cause,cause,Sale of Asset cause Earnings Report,0.7043338
39,cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase taxes on the wealthy, in an effort to reduce income inequality.","[""The government <ARG0>passed</ARG0> a law to increase taxes on the wealthy, in an effort to <ARG1>reduce</ARG1> income inequality.""]",0.0,Government Action,Economic Policy Change,intend,intend,Government Action intend Economic Policy Change,0.78350675
