index,text,label
cause_atomic_0_0,PersonX expresses every  cause is exhausted,1
cause_atomic_0_0,PersonX loans PersonY cause is given encouragement,1
cause_atomic_0_0,PersonX delivers newspapers cause gets paid,1
cause_atomic_0_0,PersonX teaches  to write cause Gains loyal surdents,1
cause_atomic_0_0,PersonX feels silly cause Relaxes around PersonX,1
cause_atomic_0_0,PersonX is cheating on PersonY cause has worried thoughts,1
cause_atomic_0_0,PersonX leaves heading to PersonY cause OF ADMIRED,1
cause_atomic_0_0,PersonX lowers the boom cause gauges the levels of the boom,1
cause_atomic_0_0,PersonX stands behind PersonY cause hears a noise,1
cause_atomic_0_0,PersonX protects the  from injury cause are safe again,1
cause_atomic_0_0,PersonX hears  since cause forget about the incident,1
cause_atomic_0_0,PersonX falls asleep early cause gets a good nights rest,1
cause_atomic_0_0,PersonX pays  to the subject cause PersonX gets a job,1
cause_atomic_0_0,PersonX persuades the  to accept cause Gains job security,1
cause_atomic_0_0,PersonX is at summer camp cause plays new activities,1
cause_atomic_0_0,PersonX keeps PersonY on ice cause teeth chatter,1
cause_atomic_0_0,PersonX utilizes every  cause sad,1
cause_atomic_0_0,PersonX is going for a walk cause leaves the house,1
cause_atomic_0_0,PersonX leans towards PersonY cause gets irritate,1
cause_atomic_0_0,PersonX is glad to see the back of  cause runs up to it,1
cause_atomic_0_0,PersonX tries and make cause accomplishes his goal,1
cause_atomic_0_0,PersonX prevents  from arising cause He reads,1
cause_atomic_0_0,PersonX spends the  alone cause needs a change,1
cause_atomic_0_0,PersonX has a broken leg cause PersonX has to get a cast,1
cause_atomic_0_0,PersonX preaches the  to the poor cause start to believe in god,1
cause_atomic_0_0,PersonX boils  on the stove cause it make good understaning,1
cause_atomic_0_0,PersonX burns within PersonY cause TO HARDLY WORK,1
cause_atomic_0_0,PersonX allocates  efficiently cause has to work,1
cause_atomic_0_0,PersonX asks PersonY for help cause gets nervous,1
cause_atomic_0_0,PersonX feels a bit cause screams out loud,1
cause_atomic_0_0,PersonX catches hell cause PersonX screams in pain,1
cause_atomic_0_0,PersonX is taking so long cause becomes tired,1
cause_atomic_0_0,PersonX talks a lot cause gets sore throat,1
cause_atomic_0_0,PersonX looks round the room cause searches for people,1
cause_atomic_0_0,PersonX puts the  to the test cause is told personX is making a mistake,1
cause_atomic_0_0,PersonX eventually fell cause PersonX is overthrown,1
cause_atomic_0_0,PersonX is in a car accident cause gets whiplash,1
cause_atomic_0_0,PersonX is feeling sad cause cried,1
cause_atomic_0_0,PersonX cries every  cause face gets wet,1
cause_atomic_0_0,PersonX starts yelling cause heart attack,1
cause_atomic_0_0,PersonX loves PersonY so much cause Buys flowers,1
cause_atomic_0_0,PersonX plays the lottery cause gets addicted,1
cause_atomic_0_0,PersonX sees a stray dog cause dog jumps on this person,1
cause_atomic_0_0,PersonX wraps paper cause hands cramp up,1
cause_atomic_0_0,PersonX puts  in the tank cause has to pay for the fuel,1
cause_atomic_0_0,PersonX sees PersonY father cause Person y waves,1
cause_atomic_0_0,PersonX loves to play baseball cause thinks about playing,1
cause_atomic_0_0,PersonX sees PersonY immediately cause personY recognizes personX,1
cause_atomic_0_0,PersonX buys PersonY ice cream cause eats ice cream,1
cause_atomic_0_0,PersonX supplies PersonY with food cause stops begging for food,1
cause_atomic_0_0,PersonX gets an f cause fails the class,1
cause_atomic_0_0,PersonX chases  around the house cause falls,1
cause_atomic_0_0,PersonX gives  a haircut cause pay for their haircut,1
cause_atomic_0_0,PersonX joins the army cause enlists,1
cause_atomic_0_0,PersonX turns the  away cause Redirects attention,1
cause_atomic_0_0,PersonX plays a  in the process cause helps again in the future,1
cause_atomic_0_0,PersonX says had never seen cause laughs,1
cause_atomic_0_0,PersonX gets PersonY back cause Must vow revenge,1
cause_atomic_0_0,PersonX sees PersonY today cause returns the smile,1
cause_atomic_0_0,PersonX has a snowball fight cause has fun,1
cause_atomic_0_0,PersonX bakes  in the oven cause smells smoke,1
cause_atomic_0_0,PersonX causes PersonY trouble cause are brought together.,1
cause_atomic_0_0,PersonX gets done today cause sighs in relief,1
cause_atomic_0_0,PersonX sticks the knife in  cause dies,1
cause_atomic_0_0,PersonX goes  outside cause gets cold,1
cause_atomic_0_0,PersonX scares away  cause They leave,1
cause_atomic_0_0,PersonX finally told  cause is praised,1
cause_atomic_0_0,PersonX cleans PersonX cause smiles,1
cause_atomic_0_0,PersonX loosens the apron strings cause PersonX puts on apron,1
cause_atomic_0_0,PersonX answers PersonY questions cause shares his knowledge,1
cause_atomic_0_0,PersonX is behind PersonY cause screams,1
cause_atomic_0_0,PersonX sets sail cause is relaxed,1
cause_atomic_0_0,PersonX makes millions cause His family and loved ones will be happy for him,1
cause_atomic_0_0,PersonX puts the  into practice cause does things differently,1
cause_atomic_0_0,PersonX sees  on the floor cause helps old man off the floor,1
cause_atomic_0_0,PersonX carries PersonY around cause screams in fear,1
cause_atomic_0_0,PersonX goes see a movie cause gets sleepy,1
cause_atomic_0_0,PersonX falls asleep on the couch cause stays quiet,1
cause_atomic_0_0,PersonX swims in the water cause gets wet,1
cause_atomic_0_0,PersonX takes a shot cause starts talking loud,1
cause_atomic_0_0,PersonX comes to PersonY cause gets curious,1
cause_atomic_0_0,PersonX gets caught cause honest,1
cause_atomic_0_0,PersonX pops the question cause Gets married,1
cause_atomic_0_0,PersonX sees in PersonY life cause ignores PersonX,1
cause_atomic_0_0,PersonX pays PersonY bills cause has less money,1
cause_atomic_0_0,PersonX cooks up a storm cause waste a lot of food,1
cause_atomic_0_0,PersonX flies a kite cause to manage the wind,1
cause_atomic_0_0,PersonX hires  to help cause gets a good review,1
cause_atomic_0_0,PersonX fights  with fire cause to fire in the evening,1
cause_atomic_0_0,PersonX asks PersonY to send cause Drives there,1
cause_atomic_0_0,PersonX laughs and talking cause likes hanging out with them,1
cause_atomic_0_0,PersonX comes to PersonY decision cause PersonX decides to go,1
cause_atomic_0_0,PersonX moves slowly cause gets stalled behind personX,1
cause_atomic_0_0,PersonX spills all over PersonX cause is covered in liquid spilled,1
cause_atomic_0_0,PersonX thinks PersonY was cute cause gets married,1
cause_atomic_0_0,PersonX orders  instead cause personx has to pay extra money for the food,1
cause_atomic_0_0,PersonX eats at a nice restaurant cause orders dessert,1
cause_atomic_0_0,PersonX gives PersonY the answer cause is thankful,1
cause_atomic_0_0,PersonX blows PersonY out of the water cause gets an award,1
cause_atomic_0_0,PersonX plays video games together cause They win the video game,1
cause_atomic_0_0,PersonX starts a business cause learns a lot,1
cause_atomic_0_0,PersonX carries the  away cause PersonX gets apprehended,1
cause_atomic_0_0,PersonX trains  to become cause PUT MORE EFFORT,1
cause_atomic_0_0,PersonX needs to be replaced cause Person Y begins work,1
cause_atomic_0_0,PersonX is taken care of cause runs errands for Person X,1
cause_atomic_0_0,PersonX uses every effort cause trust in bank,1
cause_atomic_0_0,PersonX talks to a friend cause gives feedback,1
cause_atomic_0_0,PersonX moves heaven and earth cause waits for the outcome,1
cause_atomic_0_0,PersonX performs well cause practices more,1
cause_atomic_0_0,PersonX takes many photos cause smiles,1
cause_atomic_0_0,PersonX takes another step cause some problem issued so take the other solution,1
cause_atomic_0_0,PersonX plays goalie cause They get broken teeth.,1
cause_atomic_0_0,PersonX starts saving cause buys presents for their partner and parents,1
cause_atomic_0_0,PersonX contacts the seller cause finalize the dealing,1
cause_atomic_0_0,PersonX prepares for the storm cause is ready for the weather,1
cause_atomic_0_0,PersonX is in the right place cause thiings go well,1
cause_atomic_0_0,PersonX gets the  back cause make retribution,1
cause_atomic_0_0,PersonX gives PersonY the feeling cause looked at funny,1
cause_atomic_0_0,"PersonX knows what else to say cause BANK LOSES MONEY,BANK GETS BAD PUBLICITY",1
cause_atomic_0_0,PersonX wants to hear cause hears a secret,1
