context,triplets
",The government has implemented a series of reforms to promote access to clean water and reduce water pollution.",<triplet> promote <subj> reduce <obj> intend
The government passed a law to increase the number of affordable housing units in an effort to reduce homelessness.,<triplet> passed <subj> reduce <obj> intend
The government passed a law to increase access to education in an effort to reduce poverty.,<triplet> passed <subj> reduce <obj> intend
The arctic blast that began last weekend has been blamed for at least seven deaths across the nation.,<triplet> began <subj> blamed <obj> cause
"""We consider that his bid is an acceptable bid,"" said Sandra Kolber, spokeswoman for the independent directors' committee appointed last May to solicit and review bids for the company in the wake of a dispute between Mr. Drabinsky and Cineplex's major shareholder, MCA Inc.    MCA and Cineplex's other major shareholder, Montreal-based financier Charles Bronfman and his associates, have agreed to tender their holdings to an offer by Mr. Drabinsky unless a higher offer is made by another bidder. ","<triplet> appointed <subj> ""We <obj> 0"
He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.',<triplet> wanted <subj> crying <obj> cause
The protests -- on the Shiite Muslim holy day Ashura -- were the deadliest since opposition Iranians took to the streets after the disputed June 12 presidential election.,<triplet> disputed <subj> took <obj> cause
"Thus, administration aides will be trying to calculate whether Saddam Hussein's proposed diplomatic formula for getting out of Kuwait represents the first sign he is searching for a way out or simply is a public relations stunt.   ",<triplet> represents <subj> simply <obj> 0
"The government has implemented a series of measures to prevent the illegal trafficking of drugs, including increased border security and increased penalties.",<triplet> Measures <subj> Trafficking <obj> prevent
"Over 700 financial institutions use Temenos SaaS such as Al Ain Finance, Alpian, Flowbank, Flowe, Itau, Orange Bank and they will now benefit from all the new rich features of The Temenos Banking Cloud.",<triplet> SaaS <subj> cloud <obj> enable
"The ban would prevent Al-Muhajiroun from having meetings or raising money, and it would make attending a meeting or being a member of the group a crime.",<triplet> prevent <subj> attending <obj> prevent
The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from engaging in further acts of aggression.,<triplet> Embargo <subj> Aggression <obj> prevent
The United Nations has imposed an arms embargo on Syria in an effort to prevent the spread of chemical weapons.,<triplet> Arms embargo <subj> Spread <obj> prevent
It has been providing abundant opportunities to enhance competitive edge within the convergence industry centered around biotechnology.,<triplet> opportunities <subj> edge <obj> enable
The United States and Canada agreed to a trade deal that would reduce tariffs and increase access to Canadian markets for American companies.,<triplet> agreed <subj> increase <obj> intend
The government has implemented a series of regulatory reforms to promote competition.,<triplet> regulatory <subj> promote <obj> enable
The United Nations has passed a resolution to prevent the abuse of human rights.,<triplet> resolution <subj> abuse <obj> prevent
The Canadian government has created a new fund to help Indigenous communities access clean drinking water.,<triplet> created <subj> access <obj> enable
"They've been given a mandate from Switzerland"" to expand their U.S. chocolate operations. ",<triplet> given <subj> expand <obj> cause
The government passed a law to protect the rights of indigenous peoples and ensure their access to land and resources.,<triplet> passed <subj> ensure <obj> intend
The government passed a law to protect the rights of immigrants and ensure access to basic services.,<triplet> passed <subj> protect <obj> intend
"The trio, all involved in management of the cable car, are accused of deliberately deactivating the emergency brake that could have stopped it slamming into the side of the Mottarone mountain when the cable snapped on Sunday afternoon.",<triplet> deactivating <subj> slamming <obj> prevent
The United Nations Security Council has imposed an arms embargo on North Korea in an effort to prevent the proliferation of nuclear weapons.,<triplet> embargo <subj> prevent <obj> enable
The government passed a law to increase the availability of public parks and green spaces in an effort to reduce urban sprawl.,<triplet> passed <subj> reduce <obj> intend
"The Temenos Banking Cloud is powered by an Explainable AI engine with advanced data analytics, so banks can test, report and measure product performance, and gain insight to support business decisions and product design.",<triplet> data analytics <subj> decisions <obj> enable
The government passed a law to protect the rights of victims of wage theft and ensure their access to services.,<triplet> passed <subj> protect <obj> intend
The government has implemented a series of measures to prevent the illegal smuggling of drugs.,<triplet> measures <subj> smuggling <obj> prevent
",The United States has increased its military presence in the Middle East in an effort to combat terrorism.",<triplet> increased <subj> combat <obj> intend
The government passed a law to protect the environment in an effort to reduce pollution.,<triplet> passed <subj> reduce <obj> intend
The United Nations has imposed an arms embargo on South Sudan in an effort to prevent further violence and conflict.,<triplet> Arms embargo <subj> conflict <obj> prevent
The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from supporting terrorist activities.,<triplet> Arms embargo <subj> Supporting terrorist activities <obj> prevent
The European Union passed a law to reduce carbon emissions in an effort to combat climate change.,<triplet> passed <subj> combat <obj> intend
The government passed a law to increase access to job opportunities in an effort to reduce unemployment.,<triplet> passed <subj> reduce <obj> intend
"The government has introduced a new law to protect the rights of workers, in an effort to ensure fair wages and working conditions.",<triplet> introduced <subj> ensure <obj> intend
The United States Congress has passed a new bill to provide healthcare to all citizens.,<triplet> bill <subj> provide <obj> enable
"  #COMPUTEXVirtual, the all-new smart online platform, will use AI and automation technology to create an exceptional digital journey for users by providing a personalized interactive experience.",<triplet> experience <subj> journey <obj> enable
The United Kingdom has created a new fund to help Indigenous communities access clean drinking water.,<triplet> fund <subj> access <obj> enable
"The government has introduced a new program to provide job training and employment opportunities for veterans, in an effort to reduce unemployment.",<triplet> introduced <subj> reduce <obj> intend
"The government has implemented a series of measures to prevent the spread of misinformation, including increased regulation of social media platforms and increased investment in media literacy.",<triplet> Measures <subj> Misinformation <obj> prevent
A spokeswoman for Crum amp Forster said employees  were told early this week that numerous staff functions for the personal insurance lines  were going  to  be centralized as a cost-cutting move.,<triplet> that <subj> amp <obj> 0
"Japan registered its biggest year-on-year increase in exports in almost 30 years in January, prompting manufacturers to hire more people who, in turn, spent more.",<triplet> registered <subj> hire <obj> cause
"The government passed a law to increase access to affordable housing, in an effort to reduce homelessness and poverty.",<triplet> passed <subj> reduce <obj> intend
The government has also announced that it will be investing in new renewable energy sources to reduce its reliance on fossil fuels.,<triplet> investing <subj> reduce <obj> enable
The government has implemented a series of laws to prevent the destruction of cultural heritage sites.,<triplet> laws <subj> Destruction <obj> prevent
The European Union has imposed economic sanctions on Russia in an effort to prevent the country from interfering in the internal affairs of other nations.,<triplet> sanctions <subj> interfering <obj> prevent
The European Union has adopted a new policy to reduce the amount of plastic waste in the environment.,<triplet> adopted <subj> reduce <obj> intend
"The government has passed a law to increase access to childcare, in an effort to reduce the burden on working families and promote gender equality.",<triplet> passed <subj> reduce <obj> intend
"The Supreme Court has ruled that certain types of speech are not protected by the First Amendment, in order to prevent the spread of hate speech.",<triplet> ruled <subj> Spread <obj> prevent
"According to department policy, prosecutors must make a strong showing that lawyers' fees came from assets tainted by illegal profits before any attempts at seizure are made.    ",<triplet> tainted <subj> from <obj> 0
"To prevent the proliferation of weapons of mass destruction, the United Nations has imposed an arms embargo on certain countries.",<triplet> arms embargo <subj> Proliferation <obj> prevent
The government has implemented a series of measures to prevent the spread of disease.,<triplet> measures <subj> disease <obj> prevent
"Economists polled by Reuters had forecast an unemployment rate of 5.2 per cent.""",<triplet> by <subj> Economists <obj> 0
"The government passed a law to increase access to childcare, in an effort to support working families.",<triplet> passed <subj> support <obj> intend
The United States has imposed economic sanctions on Russia in an effort to prevent the country from interfering in the internal affairs of other countries.,<triplet> Economic sanctions <subj> Interfering <obj> prevent
The rights offering by Canada's largest department store operator will allow shareholders to purchase two additional shares for every five shares held at a discounted price.,<triplet> offering <subj> purchase <obj> enable
The United States and its allies have imposed a naval blockade on Iraq to prevent Saddam Hussein from importing weapons and military supplies.,<triplet> naval <subj> importing <obj> prevent
The government passed a law to protect the rights of religious minorities and ensure freedom of religion.,<triplet> passed <subj> ensure <obj> intend
"The government has implemented a series of measures to prevent the exploitation of natural resources, including increased regulation and enforcement.",<triplet> measures <subj> exploitation <obj> prevent
"Prime Minister Margaret Thatcher might have been willing to consider any request from Jaguar Chairman Sir John Egan to lift the restrictions early, allowing General Motors to acquire more than 15% or launch a friendly takeover bid against Ford.",<triplet> request <subj> lift <obj> enable
"Since hitting a record 5.6 per cent in July last year, Japan's jobless rate has been falling steadily after it launched an emergency programme to create 100,000 jobs in October to ease the worsening social effects of high unemployment.",<triplet> launched <subj> falling <obj> cause
The restructuring program  is designed  to increase the company's tangible capital ratio.,<triplet> program <subj> increase <obj> intend
"Peter DaPuzzo, head of retail equity trading at Shearson Lehman Hutton, acknowledges that he wasn't troubled by program trading when it began in the pre-crash bull market because it added liquidity and people were pleased to see stock prices rising.    ",<triplet> added <subj> troubled <obj> cause
"According to the filing, Hewlett-Packard acquired 730,070 common shares from Octel as a result of an Aug. 10, 1988, stock purchase agreement. ",<triplet> agreement <subj> acquired <obj> cause
"There was no independentconfirmation of the report by the government-run news agency, whichdid not say when the reported attempt occurred.",<triplet> attempt <subj> by <obj> 0
"The government passed a law to increase access to quality education, in an effort to reduce inequality.",<triplet> passed <subj> reduce <obj> intend
The White House yesterday announced that the United States and Mexico have reached a new agreement that will allow Mexican workers to enter the U.S. legally and work for up to three years.,<triplet> agreement <subj> enter <obj> enable
The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from becoming a safe haven for terrorists.,<triplet> Embargo <subj> Terrorists <obj> prevent
"The government has introduced a new program to provide financial assistance to small businesses, in an effort to reduce economic inequality.",<triplet> introduced <subj> reduce <obj> intend
"The message to the chief of staff was meant to be taken as a suggestionthat Sununu offer to resign, one highly placed source said. ",<triplet> message <subj> taken <obj> intend
The government passed a law to increase access to renewable energy sources and reduce dependence on fossil fuels.,<triplet> passed <subj> reduce <obj> intend
The Canadian government has announced a new policy to increase the number of immigrants allowed into the country each year.,<triplet> policy <subj> increase <obj> enable
",The prime minister proposed a new trade agreement to open up markets and create jobs.",<triplet> Proposed <subj> Open <obj> intend
"The government passed a law to increase access to renewable energy, in an effort to reduce carbon emissions.",<triplet> passed <subj> reduce <obj> intend
The United Nations Security Council has passed a resolution condemning human rights abuses in Syria.,<triplet> resolution <subj> condemning <obj> enable
The government introduced a new law to protect the rights of workers in an effort to ensure fair wages and safe working conditions.,<triplet> introduced <subj> ensure <obj> intend
The government passed a law to increase access to education in an effort to reduce illiteracy.,<triplet> passed <subj> reduce <obj> intend
The government passed a law to protect the rights of victims of discrimination in credit and lending and ensure their access to services.,<triplet> passed <subj> protect <obj> intend
The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from destabilizing the region.,<triplet> Arms embargo <subj> destabilizing <obj> prevent
The government has implemented a series of measures to prevent the proliferation of weapons of mass destruction.,<triplet> measures <subj> proliferation <obj> prevent
The United States has imposed economic sanctions on certain countries in an effort to pressure them to comply with international law.,<triplet> sanctions <subj> comply <obj> enable
