corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
GPT3,train1499,1500,0,intend_GPT_0_01500,",The government has implemented a series of reforms to promote access to clean water and reduce water pollution.","["",The government has implemented a series of reforms to <ARG0>promote</ARG0> access to clean water and <ARG1>reduce</ARG1> water pollution.""]",1
GPT3,train1323,1324,0,intend_GPT_0_01324,The government passed a law to increase the number of affordable housing units in an effort to reduce homelessness.,"[""The government <ARG0>passed</ARG0> a law to increase the number of affordable housing units in an effort to <ARG1>reduce</ARG1> homelessness.""]",1
GPT3,train1317,1318,0,intend_GPT_0_01318,The government passed a law to increase access to education in an effort to reduce poverty.,"[""The government <ARG0>passed</ARG0> a law to increase access to education in an effort to <ARG1>reduce</ARG1> poverty.""]",1
NEWS,train329,330,0,cause_our_data_0_0330,The arctic blast that began last weekend has been blamed for at least seven deaths across the nation.,"[""The arctic blast that <ARG0>began</ARG0> last weekend has been <ARG1>blamed</ARG1> for at least seven deaths across the nation.""]",1
NEWS,train22,23,0,0_our_data_0_023,"""We consider that his bid is an acceptable bid,"" said Sandra Kolber, spokeswoman for the independent directors' committee appointed last May to solicit and review bids for the company in the wake of a dispute between Mr. Drabinsky and Cineplex's major shareholder, MCA Inc.    MCA and Cineplex's other major shareholder, Montreal-based financier Charles Bronfman and his associates, have agreed to tender their holdings to an offer by Mr. Drabinsky unless a higher offer is made by another bidder. ",[],0
NEWS,train304,305,0,cause_our_data_0_0305,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.',"[""He told me he <ARG0>wanted</ARG0> to see his mummy then I started <ARG1>crying</ARG1> and saidI do nt think youre ever going to see your mummy again.""]",1
NEWS,train334,335,0,cause_our_data_0_0335,The protests -- on the Shiite Muslim holy day Ashura -- were the deadliest since opposition Iranians took to the streets after the disputed June 12 presidential election.,"[""The protests -- on the Shiite Muslim holy day Ashura -- were the deadliest since opposition Iranians <ARG1>took</ARG1> to the streets after the <ARG0>disputed</ARG0> June 12 presidential election.""]",1
NEWS,train96,97,0,0_our_data_0_097,"Thus, administration aides will be trying to calculate whether Saddam Hussein's proposed diplomatic formula for getting out of Kuwait represents the first sign he is searching for a way out or simply is a public relations stunt.   ",[],0
GPT3,train459,460,0,prevent_GPT_0_0460,"The government has implemented a series of measures to prevent the illegal trafficking of drugs, including increased border security and increased penalties.","[""The government has implemented a series of <ARG0>Measures</ARG0> to prevent the illegal <ARG1>Trafficking</ARG1> of drugs, including increased border security and increased penalties.""]",1
AFPNEWS,train18,19,0,enable_our_data_0_019,"Over 700 financial institutions use Temenos SaaS such as Al Ain Finance, Alpian, Flowbank, Flowe, Itau, Orange Bank and they will now benefit from all the new rich features of The Temenos Banking Cloud.","[""Over 700 financial institutions use Temenos <ARG0>SaaS</ARG0> such as Al Ain Finance, Alpian, Flowbank, Flowe, Itau, Orange Bank and they will now <SIG0>benefit</SIG0> from all the new rich features of The Temenos Banking <ARG1>cloud</ARG1>.""]",1
NEWS,train290,291,0,prevent_our_data_0_0291,"The ban would prevent Al-Muhajiroun from having meetings or raising money, and it would make attending a meeting or being a member of the group a crime.","[""The ban would <ARG0>prevent</ARG0> Al-Muhajiroun from having meetings or raising money, and it would make <ARG1>attending</ARG1> a meeting or being a member of the group a crime.""]",1
GPT3,train887,888,0,prevent_GPT_0_0888,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from engaging in further acts of aggression.,"[""The United Nations has imposed an arms <ARG0>Embargo</ARG0> on Libya in an effort to prevent the country from engaging in further acts of <ARG1>Aggression</ARG1>.""]",1
GPT3,train871,872,0,prevent_GPT_0_0872,The United Nations has imposed an arms embargo on Syria in an effort to prevent the spread of chemical weapons.,"[""The United Nations has imposed an <ARG0>Arms embargo</ARG0> on Syria in an effort to prevent the <ARG1>Spread</ARG1> of chemical weapons.""]",1
AFPNEWS,train12,13,0,enable_our_data_0_013,It has been providing abundant opportunities to enhance competitive edge within the convergence industry centered around biotechnology.,"[""It has been providing abundant <ARG0>opportunities</ARG0> to <SIG0>enhance</SIG0> competitive <ARG1>edge</ARG1> within the convergence industry centered around biotechnology.""]",1
GPT3,train1252,1253,0,intend_GPT_0_01253,The United States and Canada agreed to a trade deal that would reduce tariffs and increase access to Canadian markets for American companies.,"[""The United States and Canada <ARG0>agreed</ARG0> to a trade deal that would reduce tariffs and <ARG1>increase</ARG1> access to Canadian markets for American companies.""]",1
GPT3,train398,399,0,enable_GPT_0_0399,The government has implemented a series of regulatory reforms to promote competition.,"[""The government has implemented a series of <ARG0>regulatory</ARG0> reforms to <ARG1>promote</ARG1> competition.""]",1
GPT3,train529,530,0,prevent_GPT_0_0530,The United Nations has passed a resolution to prevent the abuse of human rights.,"[""The United Nations has passed a <ARG0>resolution</ARG0> to prevent the <ARG1>abuse</ARG1> of human rights.""]",1
GPT3,train83,84,0,enable_GPT_0_084,The Canadian government has created a new fund to help Indigenous communities access clean drinking water.,"[""The Canadian government has <ARG0>created</ARG0> a new fund to help Indigenous communities <ARG1>access</ARG1> clean drinking water.""]",1
NEWS,train137,138,0,cause_our_data_0_0138,"They've been given a mandate from Switzerland"" to expand their U.S. chocolate operations. ","[""Theyve been <ARG0>given</ARG0> a mandate from Switzerland to <ARG1>expand</ARG1> their U.S. chocolate operations.""]",1
GPT3,train1401,1402,0,intend_GPT_0_01402,The government passed a law to protect the rights of indigenous peoples and ensure their access to land and resources.,"[""The government <ARG0>passed</ARG0> a law to protect the rights of indigenous peoples and <ARG1>ensure</ARG1> their access to land and resources.""]",1
