corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
GPT3,train386,387,0,enable_GPT_0_0387,The United Nations has passed a resolution calling for an end to the use of child soldiers in armed conflicts.,"[""The United Nations has passed a <ARG0>resolution</ARG0> calling for an <ARG1>end</ARG1> to the use of child soldiers in armed conflicts.""]",1
cnc,train_02_208,3040,0,cnc_train_02_208_3040_0,"As more than 70 percent of the buses have been taken off the road , many passengers had to either postpone their travel or go by trains .","['<SIG0>As</SIG0> <ARG0>more than 70 percent of the buses have been taken off the road</ARG0> , <ARG1>many passengers had to either postpone their travel or go by trains</ARG1> .']",1
cnc,train_03_69,716,0,cnc_train_03_69_716_0,"Inaugurating the dharna , State secretary of the Communist Party of India C.K. Chandrappan said the United Democratic Front ( UDF ) government seemed to have declared a war on the people through its revised Budget .",[],0
cnc,train_06_124,850,0,cnc_train_06_124_850_0,"Hong Kong ’ s latest political crisis has been brewing for months , with the emergence of a new generation of activists who came of age during the 2014 umbrella movement protests and are now pushing for greater autonomy or outright independence from mainland China .","['<ARG1>Hong Kong ’ s latest political crisis has been brewing for months</ARG1> , <SIG0>with</SIG0> <ARG0>the emergence of a new generation of activists who came of age during the 2014 umbrella movement protests and are now pushing for greater autonomy or outright independence from mainland China</ARG0> .']",1
GPT3,train251,252,0,enable_GPT_0_0252,The government has also promised to reduce taxes on businesses to encourage investment and job creation.,"[""The government has also promised to <ARG0>reduce</ARG0> taxes on businesses to <ARG1>encourage</ARG1> investment and job creation.""]",1
cnc,train_09_B_52,996,0,cnc_train_09_B_52_996_0,"Soon , the huge posse of advocates started raising defamatory slogans against a few judges .",[],0
cnc,train_03_180,305,0,cnc_train_03_180_305_0,`` The strike is still on . '',[],0
cnc,train_05_290,2587,0,cnc_train_05_290_2587_0,More than 700 people also signed an online petition for the government to step in with extra funding .,['<ARG1>More than 700 people also signed an online petition</ARG1> <SIG0>for</SIG0> <ARG0>the government to step in with extra funding</ARG0> .'],1
GPT3,train145,146,0,enable_GPT_0_0146,"The announcement of the relaxation of the 15% takeover limit was welcomed by Jaguar Chairman Sir John Egan, who saw it as an opportunity for General Motors to increase its stake in the company.","[""The announcement of the <ARG0>relaxation</ARG0> of the 15% takeover limit was welcomed by Jaguar Chairman Sir John Egan, who saw it as an opportunity for General Motors to <ARG1>increase</ARG1> its stake in the company.""]",1
cnc,train_09_B_6,2328,0,cnc_train_09_B_6_2328_0,The journalist who had put out a report to that effect was manhandled .,[],0
cnc,train_02_308,4,0,cnc_train_02_308_4_0,Although private banks continued to operate as usual majority of trade and industry was hit by the strike by staff of 25 nationalised banks who are demanding revision of wages and a second option for pension among other things .,"['Although private banks continued to operate as usual <ARG1>majority of trade and industry was hit by the strike</ARG1> <SIG0>by</SIG0> <ARG0>staff of 25 nationalised banks who are demanding revision of wages and a second option for pension among other things</ARG0> .', 'Although private banks continued to operate as usual majority of trade and industry was hit by <ARG1>the strike by staff of 25 nationalised banks</ARG1> who are <ARG0><SIG0>demanding</SIG0> revision of wages and a second option for pension among other things</ARG0> .']",2
NEWS,train12,13,0,prevent_our_data_0_013,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.   ","[""The White House yesterday disclosed that Kuwaits ousted government has formally <ARG0>asked</ARG0> the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships <ARG1>carrying</ARG1> Iraqi goods.""]",1
