event1,relation,event2,sentence,index,corpus,causal_text_w_pairs,num_rs,doc_id,sent_id,text,eg_id
PersonX throws ___ up in the air,intend,to play around,PersonX throws ___ up in the air intend to play around,intend_atomic_0_0,cnc,"[""<ARG0>PersonX throws ___ up in the air</ARG0> intend <ARG1>to play around</ARG1>""]",0,id,0,PersonX throws  up in the air intend to play around,0
PersonX lends PersonY a hand,intend,to thank PersonX,PersonX lends PersonY a hand intend to thank PersonX,intend_atomic_0_0,cnc,"[""<ARG0>PersonX lends PersonY a hand</ARG0> intend <ARG1>to thank PersonX</ARG1>""]",0,id,0,PersonX lends PersonY a hand intend to thank PersonX,0
PersonX offers to help PersonY,intend,be friends with persony,PersonX offers to help PersonY intend be friends with persony,intend_atomic_0_0,cnc,"[""<ARG0>PersonX offers to help PersonY</ARG0> intend <ARG1>be friends with persony</ARG1>""]",0,id,0,PersonX offers to help PersonY intend be friends with persony,0
PersonX drives ___ to school,intend,to let them out,PersonX drives ___ to school intend to let them out,intend_atomic_0_0,cnc,"[""<ARG0>PersonX drives ___ to school</ARG0> intend <ARG1>to let them out</ARG1>""]",0,id,0,PersonX drives  to school intend to let them out,0
listen to music,intend,entertained,listen to music intend entertained,intend_atomic_0_0,cnc,"[""<ARG0>listen to music</ARG0> intend <ARG1>entertained</ARG1>""]",0,id,0,listen to music intend entertained,0
PersonX rides all the rides,intend,to go home,PersonX rides all the rides intend to go home,intend_atomic_0_0,cnc,"[""<ARG0>PersonX rides all the rides</ARG0> intend <ARG1>to go home</ARG1>""]",0,id,0,PersonX rides all the rides intend to go home,0
PersonX explains the ___ on the basis,intend,to teach something new,PersonX explains the ___ on the basis intend to teach something new,intend_atomic_0_0,cnc,"[""<ARG0>PersonX explains the ___ on the basis</ARG0> intend <ARG1>to teach something new</ARG1>""]",0,id,0,PersonX explains the  on the basis intend to teach something new,0
PersonX changes lanes,intend,to exit the highway,PersonX changes lanes intend to exit the highway,intend_atomic_0_0,cnc,"[""<ARG0>PersonX changes lanes</ARG0> intend <ARG1>to exit the highway</ARG1>""]",0,id,0,PersonX changes lanes intend to exit the highway,0
PersonX runs up to PersonY,intend,to talk to PersonY.,PersonX runs up to PersonY intend to talk to PersonY.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX runs up to PersonY</ARG0> intend <ARG1>to talk to PersonY.</ARG1>""]",0,id,0,PersonX runs up to PersonY intend to talk to PersonY.,0
PersonX avoids ___ at all costs,intend,to stay safe,PersonX avoids ___ at all costs intend to stay safe,intend_atomic_0_0,cnc,"[""<ARG0>PersonX avoids ___ at all costs</ARG0> intend <ARG1>to stay safe</ARG1>""]",0,id,0,PersonX avoids  at all costs intend to stay safe,0
PersonX keeps PersonY awake,intend,shake PersonY,PersonX keeps PersonY awake intend shake PersonY,intend_atomic_0_0,cnc,"[""<ARG0>PersonX keeps PersonY awake</ARG0> intend <ARG1>shake PersonY</ARG1>""]",0,id,0,PersonX keeps PersonY awake intend shake PersonY,0
PersonX pushes PersonY's ___ far,intend,hear person y's reaction,PersonX pushes PersonY's ___ far intend hear person y's reaction,intend_atomic_0_0,cnc,"[""PersonX pushes PersonY s ___ far intend hear person y s reaction""]",0,id,0,PersonX pushes PersonY's  far intend hear person y's reaction,0
PersonX looks after PersonY's interests,intend,thank person x,PersonX looks after PersonY's interests intend thank person x,intend_atomic_0_0,cnc,"[""PersonX looks after PersonY s interests intend <ARG1>thank person x</ARG1>""]",0,id,0,PersonX looks after PersonY's interests intend thank person x,0
PersonX pays ___ back,intend,to be honest,PersonX pays ___ back intend to be honest,intend_atomic_0_0,cnc,"[""<ARG0>PersonX pays ___ back</ARG0> intend <ARG1>to be honest</ARG1>""]",0,id,0,PersonX pays  back intend to be honest,0
PersonX grants PersonY permission,intend,gets satisfied,PersonX grants PersonY permission intend gets satisfied,intend_atomic_0_0,cnc,"[""<ARG0>PersonX grants PersonY permission</ARG0> intend <ARG1>gets satisfied</ARG1>""]",0,id,0,PersonX grants PersonY permission intend gets satisfied,0
PersonX decides to help PersonY,intend,help someone out,PersonX decides to help PersonY intend help someone out,intend_atomic_0_0,cnc,"[""<ARG0>PersonX decides to help PersonY</ARG0> intend <ARG1>help someone out</ARG1>""]",0,id,0,PersonX decides to help PersonY intend help someone out,0
PersonX warns PersonY to stop,intend,to run away,PersonX warns PersonY to stop intend to run away,intend_atomic_0_0,cnc,"[""<ARG0>PersonX warns PersonY to stop</ARG0> intend <ARG1>to run away</ARG1>""]",0,id,0,PersonX warns PersonY to stop intend to run away,0
PersonX takes up PersonY's position,intend,to help in time of need,PersonX takes up PersonY's position intend to help in time of need,intend_atomic_0_0,cnc,"[""PersonX takes up PersonY s position intend <ARG1>to help in time of need</ARG1>""]",0,id,0,PersonX takes up PersonY's position intend to help in time of need,0
PersonX provides ___ in regard,intend,to show loyalty,PersonX provides ___ in regard intend to show loyalty,intend_atomic_0_0,cnc,"[""<ARG0>PersonX provides ___ in regard</ARG0> intend <ARG1>to show loyalty</ARG1>""]",0,id,0,PersonX provides  in regard intend to show loyalty,0
PersonX gets drunk with PersonY's friends,intend,get angry,PersonX gets drunk with PersonY's friends intend get angry,intend_atomic_0_0,cnc,"[""PersonX gets drunk with PersonY s friends intend <ARG1>get angry</ARG1>""]",0,id,0,PersonX gets drunk with PersonY's friends intend get angry,0
PersonX sees PersonY son,intend,to talk with X,PersonX sees PersonY son intend to talk with X,intend_atomic_0_0,cnc,"[""<ARG0>PersonX sees PersonY son</ARG0> intend <ARG1>to talk with X</ARG1>""]",0,id,0,PersonX sees PersonY son intend to talk with X,0
PersonX writes PersonY a ticket,intend,to complain,PersonX writes PersonY a ticket intend to complain,intend_atomic_0_0,cnc,"[""<ARG0>PersonX writes PersonY a ticket</ARG0> intend <ARG1>to complain</ARG1>""]",0,id,0,PersonX writes PersonY a ticket intend to complain,0
PersonX bids PersonY's farewell,intend,to return to normal life,PersonX bids PersonY's farewell intend to return to normal life,intend_atomic_0_0,cnc,"[""PersonX bids PersonY s farewell intend <ARG1>to return to normal life</ARG1>""]",0,id,0,PersonX bids PersonY's farewell intend to return to normal life,0
PersonX recently visited ___,intend,to take pictures,PersonX recently visited ___ intend to take pictures,intend_atomic_0_0,cnc,"[""<ARG0>PersonX recently visited ___</ARG0> intend <ARG1>to take pictures</ARG1>""]",0,id,0,PersonX recently visited  intend to take pictures,0
PersonX looks after PersonX's interests,intend,to regain control over their life,PersonX looks after PersonX's interests intend to regain control over their life,intend_atomic_0_0,cnc,"[""PersonX looks after PersonX s interests intend <ARG1>to regain control over their life</ARG1>""]",0,id,0,PersonX looks after PersonX's interests intend to regain control over their life,0
PersonX has a dog named PersonY,intend,To walk the dog,PersonX has a dog named PersonY intend To walk the dog,intend_atomic_0_0,cnc,"[""<ARG0>PersonX has a dog named PersonY</ARG0> intend <ARG1>To walk the dog</ARG1>""]",0,id,0,PersonX has a dog named PersonY intend To walk the dog,0
PersonX takes pictures of it,intend,to print the pics out,PersonX takes pictures of it intend to print the pics out,intend_atomic_0_0,cnc,"[""<ARG0>PersonX takes pictures of it</ARG0> intend <ARG1>to print the pics out</ARG1>""]",0,id,0,PersonX takes pictures of it intend to print the pics out,0
PersonX gets a hold of PersonY,intend,to catch up with PersonY,PersonX gets a hold of PersonY intend to catch up with PersonY,intend_atomic_0_0,cnc,"[""<ARG0>PersonX gets a hold of PersonY</ARG0> intend <ARG1>to catch up with PersonY</ARG1>""]",0,id,0,PersonX gets a hold of PersonY intend to catch up with PersonY,0
PersonX defines the ___ in terms,intend,to clear up confusion,PersonX defines the ___ in terms intend to clear up confusion,intend_atomic_0_0,cnc,"[""<ARG0>PersonX defines the ___ in terms</ARG0> intend <ARG1>to clear up confusion</ARG1>""]",0,id,0,PersonX defines the  in terms intend to clear up confusion,0
PersonX gets blood out of a stone,intend,to extract information.,PersonX gets blood out of a stone intend to extract information.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX gets blood out of a stone</ARG0> intend <ARG1>to extract information.</ARG1>""]",0,id,0,PersonX gets blood out of a stone intend to extract information.,0
PersonX sends PersonX's ___ to schools,intend,to help others,PersonX sends PersonX's ___ to schools intend to help others,intend_atomic_0_0,cnc,"[""PersonX sends PersonX s ___ to schools intend <ARG1>to help others</ARG1>""]",0,id,0,PersonX sends PersonX's  to schools intend to help others,0
PersonX stops in front of PersonY,intend,to talk to person,PersonX stops in front of PersonY intend to talk to person,intend_atomic_0_0,cnc,"[""<ARG0>PersonX stops in front of PersonY</ARG0> intend <ARG1>to talk to person</ARG1>""]",0,id,0,PersonX stops in front of PersonY intend to talk to person,0
PersonX fixes PersonX's flat tire,intend,to get home,PersonX fixes PersonX's flat tire intend to get home,intend_atomic_0_0,cnc,"[""PersonX fixes PersonX s flat tire intend <ARG1>to get home</ARG1>""]",0,id,0,PersonX fixes PersonX's flat tire intend to get home,0
PersonX almost lost ___,intend,Tell employer it won't happen again.,PersonX almost lost ___ intend Tell employer it won't happen again.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX almost lost ___</ARG0> intend Tell employer it won t happen again.""]",0,id,0,PersonX almost lost  intend Tell employer it won't happen again.,0
PersonX takes PersonX's friends,intend,to leave them there,PersonX takes PersonX's friends intend to leave them there,intend_atomic_0_0,cnc,"[""PersonX takes PersonX s friends intend <ARG1>to leave them there</ARG1>""]",0,id,0,PersonX takes PersonX's friends intend to leave them there,0
PersonX needs extra cash,intend,to get a new job,PersonX needs extra cash intend to get a new job,intend_atomic_0_0,cnc,"[""<ARG0>PersonX needs extra cash</ARG0> intend <ARG1>to get a new job</ARG1>""]",0,id,0,PersonX needs extra cash intend to get a new job,0
PersonX has a birthday party,intend,to enjoy the party,PersonX has a birthday party intend to enjoy the party,intend_atomic_0_0,cnc,"[""<ARG0>PersonX has a birthday party</ARG0> intend <ARG1>to enjoy the party</ARG1>""]",0,id,0,PersonX has a birthday party intend to enjoy the party,0
PersonX takes a family trip,intend,to have a good time,PersonX takes a family trip intend to have a good time,intend_atomic_0_0,cnc,"[""<ARG0>PersonX takes a family trip</ARG0> intend <ARG1>to have a good time</ARG1>""]",0,id,0,PersonX takes a family trip intend to have a good time,0
PersonX induces ___ in cells,intend,to see personX's reaction,PersonX induces ___ in cells intend to see personX's reaction,intend_atomic_0_0,cnc,"[""<ARG0>PersonX induces ___ in cells</ARG0> intend to see personX s reaction""]",0,id,0,PersonX induces  in cells intend to see personX's reaction,0
PersonX spends ___ together,intend,to go to sleep,PersonX spends ___ together intend to go to sleep,intend_atomic_0_0,cnc,"[""<ARG0>PersonX spends ___ together</ARG0> intend <ARG1>to go to sleep</ARG1>""]",0,id,0,PersonX spends  together intend to go to sleep,0
PersonX establishes PersonY program,intend,to help person y,PersonX establishes PersonY program intend to help person y,intend_atomic_0_0,cnc,"[""<ARG0>PersonX establishes PersonY program</ARG0> intend <ARG1>to help person y</ARG1>""]",0,id,0,PersonX establishes PersonY program intend to help person y,0
PersonX asks my neighbor,intend,to answer the question,PersonX asks my neighbor intend to answer the question,intend_atomic_0_0,cnc,"[""<ARG0>PersonX asks my neighbor</ARG0> intend <ARG1>to answer the question</ARG1>""]",0,id,0,PersonX asks my neighbor intend to answer the question,0
PersonX makes plans,intend,to go somewhere,PersonX makes plans intend to go somewhere,intend_atomic_0_0,cnc,"[""<ARG0>PersonX makes plans</ARG0> intend <ARG1>to go somewhere</ARG1>""]",0,id,0,PersonX makes plans intend to go somewhere,0
PersonX prevents a ___ from forming,intend,to disrupt a group,PersonX prevents a ___ from forming intend to disrupt a group,intend_atomic_0_0,cnc,"[""<ARG0>PersonX prevents a ___ from forming</ARG0> intend <ARG1>to disrupt a group</ARG1>""]",0,id,0,PersonX prevents a  from forming intend to disrupt a group,0
PersonX brings PersonY to tears,intend,to tell PersonY to go to their room,PersonX brings PersonY to tears intend to tell PersonY to go to their room,intend_atomic_0_0,cnc,"[""<ARG0>PersonX brings PersonY to tears</ARG0> intend <ARG1>to tell PersonY to go to their room</ARG1>""]",0,id,0,PersonX brings PersonY to tears intend to tell PersonY to go to their room,0
PersonX waters PersonX's plants,intend,to keep the plants healthy,PersonX waters PersonX's plants intend to keep the plants healthy,intend_atomic_0_0,cnc,"[""PersonX waters PersonX s plants intend <ARG1>to keep the plants healthy</ARG1>""]",0,id,0,PersonX waters PersonX's plants intend to keep the plants healthy,0
PersonX makes ___ in school,intend,to turn in the project,PersonX makes ___ in school intend to turn in the project,intend_atomic_0_0,cnc,"[""<ARG0>PersonX makes ___ in school</ARG0> intend <ARG1>to turn in the project</ARG1>""]",0,id,0,PersonX makes  in school intend to turn in the project,0
PersonX has just moved into a new house,intend,to decorate the house,PersonX has just moved into a new house intend to decorate the house,intend_atomic_0_0,cnc,"[""<ARG0>PersonX has just moved into a new house</ARG0> intend <ARG1>to decorate the house</ARG1>""]",0,id,0,PersonX has just moved into a new house intend to decorate the house,0
PersonX needs a new phone,intend,to go to the store,PersonX needs a new phone intend to go to the store,intend_atomic_0_0,cnc,"[""<ARG0>PersonX needs a new phone</ARG0> intend <ARG1>to go to the store</ARG1>""]",0,id,0,PersonX needs a new phone intend to go to the store,0
PersonX eats great food,intend,to pay for the meal,PersonX eats great food intend to pay for the meal,intend_atomic_0_0,cnc,"[""<ARG0>PersonX eats great food</ARG0> intend <ARG1>to pay for the meal</ARG1>""]",0,id,0,PersonX eats great food intend to pay for the meal,0
PersonX gets better ___,intend,to get back to work,PersonX gets better ___ intend to get back to work,intend_atomic_0_0,cnc,"[""<ARG0>PersonX gets better ___</ARG0> intend <ARG1>to get back to work</ARG1>""]",0,id,0,PersonX gets better  intend to get back to work,0
PersonX meets the ___ for permanence,intend,to be a good employee,PersonX meets the ___ for permanence intend to be a good employee,intend_atomic_0_0,cnc,"[""<ARG0>PersonX meets the ___ for permanence</ARG0> intend <ARG1>to be a good employee</ARG1>""]",0,id,0,PersonX meets the  for permanence intend to be a good employee,0
PersonX clears the ___ away,intend,to dust the rest of their things,PersonX clears the ___ away intend to dust the rest of their things,intend_atomic_0_0,cnc,"[""<ARG0>PersonX clears the ___ away</ARG0> intend <ARG1>to dust the rest of their things</ARG1>""]",0,id,0,PersonX clears the  away intend to dust the rest of their things,0
PersonX plays a ___ in life,intend,to participate,PersonX plays a ___ in life intend to participate,intend_atomic_0_0,cnc,"[""<ARG0>PersonX plays a ___ in life</ARG0> intend <ARG1>to participate</ARG1>""]",0,id,0,PersonX plays a  in life intend to participate,0
PersonX begins to speak,intend,to thank the audience,PersonX begins to speak intend to thank the audience,intend_atomic_0_0,cnc,"[""<ARG0>PersonX begins to speak</ARG0> intend <ARG1>to thank the audience</ARG1>""]",0,id,0,PersonX begins to speak intend to thank the audience,0
PersonX grabs PersonY arm,intend,to tell PersonY  a secret,PersonX grabs PersonY arm intend to tell PersonY  a secret,intend_atomic_0_0,cnc,"[""<ARG0>PersonX grabs PersonY arm</ARG0> intend <ARG1>to tell PersonY  a secret</ARG1>""]",0,id,0,PersonX grabs PersonY arm intend to tell PersonY  a secret,0
PersonX gives PersonY medicine,intend,person Y to recover,PersonX gives PersonY medicine intend person Y to recover,intend_atomic_0_0,cnc,"[""<ARG0>PersonX gives PersonY medicine</ARG0> intend <ARG1>person Y to recover</ARG1>""]",0,id,0,PersonX gives PersonY medicine intend person Y to recover,0
PersonX makes a huge mistake,intend,to explain to their customers what happened,PersonX makes a huge mistake intend to explain to their customers what happened,intend_atomic_0_0,cnc,"[""<ARG0>PersonX makes a huge mistake</ARG0> intend <ARG1>to explain to their customers what happened</ARG1>""]",0,id,0,PersonX makes a huge mistake intend to explain to their customers what happened,0
PersonX contributes to PersonY's understanding,intend,PersonY to really understand something,PersonX contributes to PersonY's understanding intend PersonY to really understand something,intend_atomic_0_0,cnc,"[""PersonX contributes to PersonY s understanding intend <ARG1>PersonY to really understand something</ARG1>""]",0,id,0,PersonX contributes to PersonY's understanding intend PersonY to really understand something,0
PersonX reads PersonY mind,intend,to cry,PersonX reads PersonY mind intend to cry,intend_atomic_0_0,cnc,"[""<ARG0>PersonX reads PersonY mind</ARG0> intend <ARG1>to cry</ARG1>""]",0,id,0,PersonX reads PersonY mind intend to cry,0
PersonX puts ___ on the floor,intend,to decorate a room,PersonX puts ___ on the floor intend to decorate a room,intend_atomic_0_0,cnc,"[""<ARG0>PersonX puts ___ on the floor</ARG0> intend <ARG1>to decorate a room</ARG1>""]",0,id,0,PersonX puts  on the floor intend to decorate a room,0
PersonX asks PersonX's parents for one,intend,to have something,PersonX asks PersonX's parents for one intend to have something,intend_atomic_0_0,cnc,"[""PersonX asks PersonX s parents for one intend <ARG1>to have something</ARG1>""]",0,id,0,PersonX asks PersonX's parents for one intend to have something,0
PersonX plants a garden,intend,to harvest fruits,PersonX plants a garden intend to harvest fruits,intend_atomic_0_0,cnc,"[""<ARG0>PersonX plants a garden</ARG0> intend <ARG1>to harvest fruits</ARG1>""]",0,id,0,PersonX plants a garden intend to harvest fruits,0
PersonX picks ___ at random,intend,Take a card correctly,PersonX picks ___ at random intend Take a card correctly,intend_atomic_0_0,cnc,"[""<ARG0>PersonX picks ___ at random</ARG0> intend <ARG1>Take a card correctly</ARG1>""]",0,id,0,PersonX picks  at random intend Take a card correctly,0
PersonX violates every ___,intend,to find PersonX,PersonX violates every ___ intend to find PersonX,intend_atomic_0_0,cnc,"[""<ARG0>PersonX violates every ___</ARG0> intend <ARG1>to find PersonX</ARG1>""]",0,id,0,PersonX violates every  intend to find PersonX,0
PersonX takes PersonX's hours,intend,to encourage PersonX to rest,PersonX takes PersonX's hours intend to encourage PersonX to rest,intend_atomic_0_0,cnc,"[""PersonX takes PersonX s hours intend <ARG1>to encourage PersonX to rest</ARG1>""]",0,id,0,PersonX takes PersonX's hours intend to encourage PersonX to rest,0
PersonX looks cute,intend,ask person X on a date,PersonX looks cute intend ask person X on a date,intend_atomic_0_0,cnc,"[""<ARG0>PersonX looks cute</ARG0> intend <ARG1>ask person X on a date</ARG1>""]",0,id,0,PersonX looks cute intend ask person X on a date,0
PersonX makes PersonY headway,intend,to keep going with PersonY,PersonX makes PersonY headway intend to keep going with PersonY,intend_atomic_0_0,cnc,"[""<ARG0>PersonX makes PersonY headway</ARG0> intend <ARG1>to keep going with PersonY</ARG1>""]",0,id,0,PersonX makes PersonY headway intend to keep going with PersonY,0
PersonX pays a lot of money,intend,pay bills,PersonX pays a lot of money intend pay bills,intend_atomic_0_0,cnc,"[""<ARG0>PersonX pays a lot of money</ARG0> intend <ARG1>pay bills</ARG1>""]",0,id,0,PersonX pays a lot of money intend pay bills,0
PersonX vacuums the floor,intend,to clean the floor,PersonX vacuums the floor intend to clean the floor,intend_atomic_0_0,cnc,"[""<ARG0>PersonX vacuums the floor</ARG0> intend <ARG1>to clean the floor</ARG1>""]",0,id,0,PersonX vacuums the floor intend to clean the floor,0
PersonX surprises PersonY with a trip,intend,say thank you,PersonX surprises PersonY with a trip intend say thank you,intend_atomic_0_0,cnc,"[""<ARG0>PersonX surprises PersonY with a trip</ARG0> intend <ARG1>say thank you</ARG1>""]",0,id,0,PersonX surprises PersonY with a trip intend say thank you,0
PersonX drives to PersonY,intend,to go to an appointment,PersonX drives to PersonY intend to go to an appointment,intend_atomic_0_0,cnc,"[""<ARG0>PersonX drives to PersonY</ARG0> intend <ARG1>to go to an appointment</ARG1>""]",0,id,0,PersonX drives to PersonY intend to go to an appointment,0
PersonX is good enough for PersonY,intend,persony to accept them,PersonX is good enough for PersonY intend persony to accept them,intend_atomic_0_0,cnc,"[""<ARG0>PersonX is good enough for PersonY</ARG0> intend <ARG1>persony to accept them</ARG1>""]",0,id,0,PersonX is good enough for PersonY intend persony to accept them,0
PersonX is in the car with PersonX's mom,intend,to check if mom is wearing seatbelt,PersonX is in the car with PersonX's mom intend to check if mom is wearing seatbelt,intend_atomic_0_0,cnc,"[""PersonX is in the car with PersonX s mom intend <ARG1>to check if mom is wearing seatbelt</ARG1>""]",0,id,0,PersonX is in the car with PersonX's mom intend to check if mom is wearing seatbelt,0
PersonX moves everything,intend,to finish unpacking,PersonX moves everything intend to finish unpacking,intend_atomic_0_0,cnc,"[""<ARG0>PersonX moves everything</ARG0> intend <ARG1>to finish unpacking</ARG1>""]",0,id,0,PersonX moves everything intend to finish unpacking,0
PersonX raises PersonY's standard,intend,to set the bar,PersonX raises PersonY's standard intend to set the bar,intend_atomic_0_0,cnc,"[""PersonX raises PersonY s standard intend <ARG1>to set the bar</ARG1>""]",0,id,0,PersonX raises PersonY's standard intend to set the bar,0
PersonX controls PersonY's environment,intend,to make sure that PersonY is healthy.,PersonX controls PersonY's environment intend to make sure that PersonY is healthy.,intend_atomic_0_0,cnc,"[""PersonX controls PersonY s environment intend <ARG1>to make sure that PersonY is healthy.</ARG1>""]",0,id,0,PersonX controls PersonY's environment intend to make sure that PersonY is healthy.,0
PersonX leaves PersonX's mom,intend,To venture out on their own,PersonX leaves PersonX's mom intend To venture out on their own,intend_atomic_0_0,cnc,"[""PersonX leaves PersonX s mom intend <ARG1>To venture out on their own</ARG1>""]",0,id,0,PersonX leaves PersonX's mom intend To venture out on their own,0
PersonX blows a kiss,intend,to say hello,PersonX blows a kiss intend to say hello,intend_atomic_0_0,cnc,"[""<ARG0>PersonX blows a kiss</ARG0> intend <ARG1>to say hello</ARG1>""]",0,id,0,PersonX blows a kiss intend to say hello,0
PersonX eats at the restaurant,intend,get leftovers,PersonX eats at the restaurant intend get leftovers,intend_atomic_0_0,cnc,"[""<ARG0>PersonX eats at the restaurant</ARG0> intend <ARG1>get leftovers</ARG1>""]",0,id,0,PersonX eats at the restaurant intend get leftovers,0
PersonX gets away with murder,intend,track PersonX down,PersonX gets away with murder intend track PersonX down,intend_atomic_0_0,cnc,"[""<ARG0>PersonX gets away with murder</ARG0> intend <ARG1>track PersonX down</ARG1>""]",0,id,0,PersonX gets away with murder intend track PersonX down,0
PersonX sees PersonY's grandma,intend,to walk over and speak with them,PersonX sees PersonY's grandma intend to walk over and speak with them,intend_atomic_0_0,cnc,"[""PersonX sees PersonY s grandma intend <ARG1>to walk over and speak with them</ARG1>""]",0,id,0,PersonX sees PersonY's grandma intend to walk over and speak with them,0
PersonX gives PersonY's mom ___,intend,his mom to like him,PersonX gives PersonY's mom ___ intend his mom to like him,intend_atomic_0_0,cnc,"[""PersonX gives PersonY s mom ___ intend <ARG1>his mom to like him</ARG1>""]",0,id,0,PersonX gives PersonY's mom  intend his mom to like him,0
PersonX accidentally dropped,intend,he want to go to office and dropped to play,PersonX accidentally dropped intend he want to go to office and dropped to play,intend_atomic_0_0,cnc,"[""<ARG0>PersonX accidentally dropped</ARG0> intend <ARG1>he want to go to office and dropped to play</ARG1>""]",0,id,0,PersonX accidentally dropped intend he want to go to office and dropped to play,0
PersonX wins the day,intend,to celebrate,PersonX wins the day intend to celebrate,intend_atomic_0_0,cnc,"[""<ARG0>PersonX wins the day</ARG0> intend <ARG1>to celebrate</ARG1>""]",0,id,0,PersonX wins the day intend to celebrate,0
PersonX declares ___ on russia,intend,protest,PersonX declares ___ on russia intend protest,intend_atomic_0_0,cnc,"[""<ARG0>PersonX declares ___ on russia</ARG0> intend <ARG1>protest</ARG1>""]",0,id,0,PersonX declares  on russia intend protest,0
PersonX comes to PersonY,intend,to listen to PersonX,PersonX comes to PersonY intend to listen to PersonX,intend_atomic_0_0,cnc,"[""<ARG0>PersonX comes to PersonY</ARG0> intend <ARG1>to listen to PersonX</ARG1>""]",0,id,0,PersonX comes to PersonY intend to listen to PersonX,0
PersonX spills soda,intend,to wipe it up,PersonX spills soda intend to wipe it up,intend_atomic_0_0,cnc,"[""<ARG0>PersonX spills soda</ARG0> intend <ARG1>to wipe it up</ARG1>""]",0,id,0,PersonX spills soda intend to wipe it up,0
PersonX fails the test,intend,to salvage their grade,PersonX fails the test intend to salvage their grade,intend_atomic_0_0,cnc,"[""<ARG0>PersonX fails the test</ARG0> intend <ARG1>to salvage their grade</ARG1>""]",0,id,0,PersonX fails the test intend to salvage their grade,0
