corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs,Event1_Type,Event2_Type,relation,stripped_index,type_relation,Max_Similarity,Relation
cnc,1.0,1.0,0.0,intend_1_1_0,The United States and its allies launched a military campaign to liberate Kuwait and restore its sovereignty.,"[""The United States and its allies <ARG0>launched</ARG0> a military campaign to <ARG1>liberate</ARG1> Kuwait and restore its sovereignty.""]",0.0,Military Intervention,Liberation of Kuwait,intend,intend,Military Intervention intend Liberation of Kuwait,0.7579324245452881,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government has passed a law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.","[""The government has <ARG0>passed</ARG0> a law to protect the rights of workers, in an effort to <ARG1>ensure</ARG1> fair wages and safe working conditions.""]",0.0,Legislation Passed,Labor Rights Protection,intend,intend,Legislation Passed intend Labor Rights Protection,0.7581683397293091,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to protect the rights of minorities in an effort to promote equality and justice.,"[""The government <ARG0>passed</ARG0> a law to protect the rights of minorities in an effort to <ARG1>promote</ARG1> equality and justice.""]",0.0,Government Passes Law,Promote Equality and Justice,intend,intend,Government Passes Law intend Promote Equality and Justice,0.7860491871833801,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to protect the rights of workers in an effort to ensure fair wages and working conditions.,"[""The government <ARG0>passed</ARG0> a law to protect the rights of workers in an effort to <ARG1>ensure</ARG1> fair wages and working conditions.""]",0.0,Legislation Passed,Labor Rights Protection,intend,intend,Legislation Passed intend Labor Rights Protection,0.7581683397293091,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government has implemented a series of reforms to promote access to healthcare and reduce health disparities.,"[""The government has implemented a series of reforms to <ARG0>promote</ARG0> access to healthcare and <ARG1>reduce</ARG1> health disparities.""]",0.0,Healthcare Reform,Health Disparities Reduction,intend,intend,Healthcare Reform intend Health Disparities Reduction,0.7959140539169312,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to increase funding for public education and improve educational outcomes.,"[""The government <ARG0>passed</ARG0> a law to <ARG1>increase</ARG1> funding for public education and improve educational outcomes.""]",0.0,Legislation Passed,Increase in Funding,intend,intend,Legislation Passed intend Increase in Funding,0.745002269744873,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The Bushadministration considers the sanctions essential to keepingSaddam Hussein under control should he survive the war.,"[""The Bushadministration considers the <ARG0>sanctions</ARG0> essential to <ARG1>keeping</ARG1>Saddam Hussein under control should he survive the war.""]",0.0,Economic Sanction,Political Control,intend,intend,Economic Sanction intend Political Control,0.7915497422218323,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government has passed a new law to increase the availability of public transportation, in an effort to reduce traffic congestion and air pollution.","[""The government has <ARG0>passed</ARG0> a new law to increase the availability of public transportation, in an effort to <ARG1>reduce</ARG1> traffic congestion and air pollution.""]",0.0,Transportation Infrastructure Expansion,"<re.Match object; span=(1387, 1440), match='Event 2 Type: Transportation Infrastructure Expan>",intend,intend,"Transportation Infrastructure Expansion intend <re.Match object; span=(1387, 1440), match='Event 2 Type: Transportation Infrastructure Expan>",0.7731435894966125,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to protect the rights of workers, in an effort to ensure fair wages and working conditions.","[""The government <ARG0>passed</ARG0> a law to protect the rights of workers, in an effort to <ARG1>ensure</ARG1> fair wages and working conditions.""]",0.0,Legislation Passed,Labor Rights Protection,intend,intend,Legislation Passed intend Labor Rights Protection,0.7581683397293091,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government has passed a law to protect the rights of immigrants, in an effort to promote diversity and inclusion.","[""The government has <ARG0>passed</ARG0> a law to protect the rights of immigrants, in an effort to <ARG1>promote</ARG1> diversity and inclusion.""]",0.0,Government Passes Law,Promote Diversity and Inclusion,intend,intend,Government Passes Law intend Promote Diversity and Inclusion,0.771090030670166,intend
