context,triplets
UPA criticised Demonstrations were held in front of the bank branches and the insurance company premises denouncing the failure of the UPA government in holding the price line .,<triplet> denouncing the failure of the UPA government in holding the price line <subj> Demonstrations were held in front of the bank branches and the insurance company premises <obj> cause
"Sena legislators protest against Yedyurappa 01st April 2010 10:08 PM MUMBAI : Shiv Sena workers , including some legislators , today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here , protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city .","<triplet> protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city <subj> Shiv Sena workers , including some legislators , today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here <obj> cause"
"Sena legislators protest against Yedyurappa 01st April 2010 10:08 PM MUMBAI : Shiv Sena workers , including some legislators , today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here , protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city .","<triplet> against Karnataka Chief Minister B S Yeddyurappa <subj> Shiv Sena workers , including some legislators , today staged demonstrations <obj> cause"
"The Patels have been seeking quota under the OBC category through a pitched 10 - month-old agitation across the state , and this proved to be a key factor for the exit of Anandiben Patel as the Chief Minister .",<triplet> The Patels have been seeking quota under the OBC category through a pitched 10 - month-old agitation across the state <subj> the exit of Anandiben Patel as the Chief Minister <obj> cause
"The protestors accused the Government of reneging on its commitment when the Chief Minister had himself announced , during an election rally , allocation of funds for the proposed Sureswari irrigation project here .","<triplet> the Chief Minister had himself announced , during an election rally , allocation of funds for the proposed Sureswari irrigation project here <subj> The protestors accused the Government of reneging on its commitment <obj> cause"
"The protestors accused the Government of reneging on its commitment when the Chief Minister had himself announced , during an election rally , allocation of funds for the proposed Sureswari irrigation project here .",<triplet> the proposed Sureswari irrigation project here <subj> allocation of funds <obj> cause
"Trinamool activist dies in police custody in Hooghly , cadres go on rampage",<triplet> Trinamool activist dies in police custody in Hooghly <subj> cadres go on rampage <obj> cause
"But in spite of its controversial nature , the CSAT was not removed until April 2015 , and that too after massive protests , ” said Anupama Karthik , an aspirant from Hyderabad .",<triplet> its controversial nature <subj> the CSAT was not removed until April 2015 <obj> cause
"But in spite of its controversial nature , the CSAT was not removed until April 2015 , and that too after massive protests , ” said Anupama Karthik , an aspirant from Hyderabad .",<triplet> massive protests <subj> the CSAT was not removed until April 2015 <obj> cause
"""Indonesia's economy struggled to gain any momentum in the first quarter of the year and a failure to contain the virus will hold back the recovery in the quarters ahead,"" Gareth Leather, Senior Asia Economist from Capital Economics said.",<triplet> failure <subj> recovery <obj> prevent
"The company's confidence in its VzLinux distro has led to an in-house conversion of more than 200+ CentOS servers, ensuring Virtuozzo's infrastructure is future-proofed well beyond December 2021 when CentOS is slated for end-of-life.",<triplet> VzLinux <subj> future-proofed <obj> enable
The clashes erupted after a youth belonging to a minority Muslim sect was allegedly severely injured in a thrashing by a youth from the majority sect following an altercation .,<triplet> a youth belonging to a minority Muslim sect was allegedly severely injured in a thrashing by a youth from the majority sect <subj> The clashes erupted <obj> cause
The clashes erupted after a youth belonging to a minority Muslim sect was allegedly severely injured in a thrashing by a youth from the majority sect following an altercation .,<triplet> an altercation <subj> a youth belonging to a minority Muslim sect was allegedly severely injured in a thrashing by a youth from the majority sect <obj> cause
The workers went on strike five weeks ago demanding a minimum pay of R9000 a month .,<triplet> demanding a minimum pay of R9000 a month <subj> The workers went on strike five weeks ago <obj> cause
"Thomas Spiegel, Columbia's chairman, said in a statement that the thrift was "" disappointed"" by the effects of the accounting changes. ",<triplet> changes <subj> disappointed <obj> cause
"Ralston Purina Co. reported a 47% decline in fourth-quarter earnings, reflecting restructuring costs as well as a more difficult pet food market.    ",<triplet> costs <subj> decline <obj> cause
"With more than 450 junior doctors staying off duty , the functioning of the Departments and critical units have been affected seriously .",<triplet> more than 450 junior doctors staying off duty <subj> the functioning of the Departments and critical units have been affected seriously <obj> cause
It was a surprise move that could clear the way for a strong run by ultraconservative judiciary chief Ebrahim Raisi.,<triplet> move <subj> run <obj> enable
Congress is protesting the recent hike in railway passenger fares and freight rates announced by the Centre .,<triplet> the recent hike in railway passenger fares and freight rates announced by the Centre <subj> Congress is protesting <obj> cause
"High drama was witnessed outside the civil court in Bangalore when unruly lawyers attacked mediapersons and pelted stones damaging OB vans , leaving at least 20 scribes and police personnel injured .","<triplet> unruly lawyers attacked mediapersons and pelted stones damaging OB vans , leaving at least 20 scribes and police personnel injured <subj> High drama was witnessed outside the civil court in Bangalore <obj> cause"
"High drama was witnessed outside the civil court in Bangalore when unruly lawyers attacked mediapersons and pelted stones damaging OB vans , leaving at least 20 scribes and police personnel injured .","<triplet> unruly lawyers attacked mediapersons and pelted stones damaging OB vans , <subj> leaving at least 20 scribes and police personnel injured <obj> cause"
"National Freedom Party spokesman , Sabelo Sigudu , said : `` The National Freedom Party ( NFP ) wishes to express words of condolence on the sad shooting and killing of Mr Sithole , the Municipality Manager of Richmond Local Municipality , which took place this morning . ''","<triplet> the sad shooting and killing of Mr Sithole , the Municipality Manager of Richmond Local Municipality <subj> The National Freedom Party ( NFP ) wishes to express words of condolence <obj> cause"
`` At the moment residents have blocked roads in Boitumelong and we ca n't enter the township .,<triplet> At the moment residents have blocked roads in Boitumelong <subj> we ca n't enter the township <obj> cause
He has been on indefinite hunger strike since August 25 in support of united Andhra Pradesh .,<triplet> in support of united Andhra Pradesh <subj> He has been on indefinite hunger strike since August 25 <obj> cause
Authorities denied him food for 10 days in March after a band of knife-wielding Uighurs executed a brutal terror attack at a southern Chinese train station .,<triplet> a band of knife-wielding Uighurs executed a brutal terror attack at a southern Chinese train station <subj> Authorities denied him food for 10 days in March <obj> cause
"`` We would like to put it on record that this is the same substation where our staff members were chased away by the community earlier because of the protest action that happened today in Tshwane , '' Eskom said in a statement .",<triplet> the protest action that happened today in Tshwane <subj> our staff members were chased away by the community earlier <obj> cause
"The Maoists hit back with a vengeance within 48 hours , butchering 76 security personnel .",<triplet> The Maoists hit back with a vengeance within 48 hours <subj> butchering 76 security personnel <obj> cause
"Credit was lavish and praise unwavering , making even the judges comment that the riots might have occurred somewhere else .",<triplet> Credit was lavish and praise unwavering <subj> making even the judges comment that the riots might have occurred somewhere else <obj> cause
"While the spark for the current wave of protests was an attempt by chief executive Carrie Lam to pass the Beijing-backed extradition law , the demonstrations have morphed into a wider movement against Lam ’ s administration and Beijing .",<triplet> an attempt by chief executive Carrie Lam to pass the Beijing-backed extradition law <subj> the current wave of protests <obj> cause
"While the spark for the current wave of protests was an attempt by chief executive Carrie Lam to pass the Beijing-backed extradition law , the demonstrations have morphed into a wider movement against Lam ’ s administration and Beijing .",<triplet> against Lam ’ s administration and Beijing <subj> the demonstrations have morphed into a wider movement <obj> cause
"Meanwhile , the Salem Range DIG , Sanjay Kumar , said that a special team has been formed to nab the assailants who murdered Ramesh .",<triplet> to nab the assailants who murdered Ramesh <subj> a special team has been formed <obj> cause
"In the C -6 ward meant for emergency and orthopaedic patients , three operations that were scheduled for Monday were cancelled soon after the faculty decided to intensify their agitation .",<triplet> the faculty decided to intensify their agitation <subj> three operations that were scheduled for Monday were cancelled <obj> cause
"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ",<triplet> use <subj> establishing <obj> intend
"Organisers said almost 300,000 protesters and residents on Saturday afternoon defied a police ban to descend on the town in Hong Kong ’ s western New Territories .","<triplet> to descend on the town in Hong Kong ’ s western New Territories <subj> almost 300,000 protesters and residents on Saturday afternoon defied a police ban <obj> cause"
"Newsprint results continued to be depressed, the company added, because of industrywide price discounting.    ",<triplet> discounting <subj> continued <obj> cause
