,pred,gt,texts
0,"('Rahul Gandhi', 'position held', 'Congress Vice President')","('Hundreds of Youth Congress and NSUI supporters Saturday welcomed the elevation of Rahul Gandhi as the Congress Vice President', 'cause', ""bursting crackers and beating drums outside the venue of the'Chintan Shivir'here"")","Crackers, drumbeats welcome Rahul ascendancy to Vice President 19th January 2013 09:25 PM Hundreds of Youth Congress and NSUI supporters Saturday welcomed the elevation of Rahul Gandhi as the Congress Vice President by bursting crackers and beating drums outside the venue of the'Chintan Shivir'here."
1,"('Congress Vice President', 'officeholder', 'Rahul Gandhi')","('they tried to illegally cross into Vietnam via Honghe county', 'cause', 'local police arrested Tohtunyaz, Ehet and Muhammad')","Two days before the attack, local police arrested Tohtunyaz, Ehet and Muhammad as they tried to illegally cross into Vietnam via Honghe county, the court said."
2,"('Honghe county', 'country', 'Vietnam')","('demanding that the police arrest those who masterminded the murder', 'cause', 'the victim ’ s wife and relatives staged a hunger strike')","26th April 2014 09:26 AM Nearly three months after an AIADMK functionary was chased and hacked to death in full public view near the busy Chengalpattu government hospital, the victim ’ s wife and relatives staged a hunger strike demanding that the police arrest those who masterminded the murder."
3,"('chased and hacked to death', 'location', 'Chengalpattu')","('in connection with the murder and eight others turned themselves in', 'cause', 'the police arrested six persons')","Subsequently, the police arrested six persons in connection with the murder and eight others turned themselves in."
4,"('police arrested six persons in connection with the murder', 'has part', 'eight others turned themselves in')","('reaching', 'cause', 'agreed')","In a statement prepared by lawyers for the university and Connaught, the parties said they agreed that as a result of reaching a C415 million research accord, ""It is unnecessary that there be a judgment on the merits {of the case} at this time.""    "
5,"('eight others turned themselves in', 'part of', 'police arrested six persons in connection with the murder')","('He has been accused of using a slingshot during the # FeesMustFall protests in Durban', 'cause', 'was arrested during running battles with police on September 27 last year')",He has been accused of using a slingshot during the # FeesMustFall protests in Durban and was arrested during running battles with police on September 27 last year.
6,"('University of Alberta', 'located in the administrative territorial entity', 'Edmonton')","('the government appearing to be in no mood to meet the demand of the doctors of the health service', 'cause', 'the Kerala Government Medical Officers Association spearheading the hunger strike in front of the state secretariat has called for intensifying the agitation in the coming days')","15th September 2015 05:49 AM THIRUVANANTHAPURAM : With the government appearing to be in no mood to meet the demand of the doctors of the health service, the Kerala Government Medical Officers Association spearheading the hunger strike in front of the state secretariat has called for intensifying the agitation in the coming days."
7,"('Edmonton', 'located in the administrative territorial entity', 'Alberta')","('spoken', 'cause', 'conducted')",Investigators have spoken with consumers and conducted preliminary field work.
8,"('# FeesMustFall', 'point in time', 'September 27 last year')","('transition', 'prevent', 'exodus')","Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    "
9,"('THIRUVANANTHAPURAM', 'located in the administrative territorial entity', 'Kerala')","('expressing concern at the growing violence against Muslims by vigilante groups and has urged the Minister to work towards creating a sense of security amongst the minorities', 'cause', 'National Commission for Minorities ( NCM ) chairperson Naseem Ahmad has written to Union Home Minister Rajnath Singh')","September 22, 2016 00:00 IST Ahmad writes to Rajnath on violence by vigilante groups National Commission for Minorities ( NCM ) chairperson Naseem Ahmad has written to Union Home Minister Rajnath Singh, expressing concern at the growing violence against Muslims by vigilante groups and has urged the Minister to work towards creating a sense of security amongst the minorities."
10,"('Consumer Protection Act', 'has part', 'Consumer Protection Act Watchdog')","('the growing violence against Muslims by vigilante groups', 'cause', 'expressing concern')","September 22, 2016 00:00 IST Ahmad writes to Rajnath on violence by vigilante groups National Commission for Minorities ( NCM ) chairperson Naseem Ahmad has written to Union Home Minister Rajnath Singh, expressing concern at the growing violence against Muslims by vigilante groups and has urged the Minister to work towards creating a sense of security amongst the minorities."
