Text,Max_Similarity,Relation,Average_Similarity,relation
"The government is introducing a new law to protect the rights of minorities, in an effort to promote social inclusion and combat racism.",,intend,0.7782904,intend
The United States and its allies launched a military campaign to liberate Kuwait and restore its sovereignty.,,intend,0.7340354,intend
The government passed a law to increase access to financial services in an effort to promote economic growth.,,intend,0.7908903,intend
"The government passed a law to increase access to voting rights, in an effort to ensure equal representation.",,intend,0.7933111,intend
"The government passed a law to increase funding for research and development, in an effort to promote technological innovation.",,intend,0.78480446,intend
"The government has passed a law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.746964,intend
The government passed a law to protect the rights of minorities in an effort to promote equality and justice.,,intend,0.7702226,intend
The government passed a law to protect the rights of workers in an effort to ensure fair wages and working conditions.,,intend,0.746964,intend
The government has implemented a series of reforms to promote access to healthcare and reduce health disparities.,,intend,0.77539957,intend
"The government passed a law to increase access to healthcare, in an effort to reduce health disparities.",,intend,0.78807914,intend
The government passed a law to increase funding for public education and improve educational outcomes.,,intend,0.7146977,intend
The Bushadministration considers the sanctions essential to keepingSaddam Hussein under control should he survive the war.,,intend,0.7861363,intend
"The government has passed a new law to increase the availability of public transportation, in an effort to reduce traffic congestion and air pollution.",,intend,0.7040174,intend
"The government passed a law to protect the rights of workers, in an effort to ensure fair wages and working conditions.",,intend,0.746964,intend
"The government has passed a law to protect the rights of immigrants, in an effort to promote diversity and inclusion.",,intend,0.76466405,intend
The government passed a law to provide incentives for businesses to invest in renewable energy sources.,,intend,0.79501224,intend
"The government passed a law to increase funding for research and development, in an effort to promote innovation.",,intend,0.7878351,intend
"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.77296907,intend
The United Nations Security Council passed a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.,,intend,0.7614415,intend
"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.77296907,intend
The government passed a new law to protect the rights of immigrants in an effort to promote diversity.,,intend,0.75596476,intend
The government has implemented a series of reforms to improve the quality of education and access to higher education.,,intend,0.77402127,intend
The government passed a new law to protect the rights of women in an effort to promote gender equality.,,intend,0.73956645,intend
"The gross proceeds from the sale of the notes, which will be due on Nov. 1, 2004, will be used to reduce existing debt and for general corporate purposes, the company said. ",,intend,0.7969534,intend
Bush's chief objective in his meeting with Hussein was to pressthe king  to shut down Iraq's food and oil supply route from Aqabaon the Red Sea.,,intend,0.7782462,intend
The SEC has alleged that Mr. Antar aimed to pump up the company's stock price through false financial statements in order to sell his stake and reap huge profits.,,intend,0.727389,intend
The government has implemented a series of reforms to promote public health and reduce the spread of disease.,,intend,0.77809536,intend
"The United Nations passed a resolution calling for an end to the use of nuclear weapons, in an effort to protect the world from the dangers of nuclear warfare.",,intend,0.73387766,intend
Rally's Inc. said it adopted a shareholders rights plan to protect shareholders from an inadequately priced takeover offer.,,intend,0.7986058,intend
The government passed a law to increase the number of anti-discrimination laws in an effort to promote equality.,,intend,0.7865402,intend
The government passed a law to increase access to healthcare in an effort to reduce mortality rates.,,intend,0.7786935,intend
"Mr. Lortie's departure, while sudden, was seen as inevitable in light of the shift in strategy. ",,intend,0.7778616,intend
The United States passed a law to impose sanctions on Iran in an effort to pressure the government to end its nuclear weapons program.,,intend,0.6898308,intend
The United Nations passed a resolution to impose economic sanctions on North Korea in an effort to pressure the government to end its nuclear weapons program.,,intend,0.77295053,intend
The United Nations passed a resolution to increase international cooperation in order to combat terrorism.,,intend,0.700813,intend
"The government passed a law to increase funding for renewable energy projects, in an effort to reduce carbon emissions and combat climate change.",,intend,0.76046926,intend
The government has implemented a series of reforms to protect the rights of workers and promote labor rights.,,intend,0.7469896,intend
"The government is introducing a new law to protect the rights of women, in an effort to promote gender equality and combat discrimination.",,intend,0.76587236,intend
The United Nations passed a resolution to impose an arms embargo on Libya in an effort to pressure the government to end its civil war.,,intend,0.7028173,intend
"The government has passed a law to increase funding for renewable energy sources, in an effort to reduce dependence on fossil fuels.",,intend,0.7389556,intend
"The government is introducing a new tax to help fund the national health service, in an effort to reduce the burden on taxpayers.",,intend,0.76018846,intend
The government passed a law to protect the rights of immigrants and refugees.,,intend,0.7911315,intend
"The government passed a law to increase access to healthcare, in an effort to improve public health.",,intend,0.7624222,intend
"Upjohn Co. said it will offer an early retirement package to as many as 1,100 employees in a cost-cutting move expected to result in a fourth-quarter charge.    ",,intend,0.7227129,intend
"The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime.",,intend,0.68487173,intend
The United States has increased its military presence in the Middle East in an effort to combat terrorism.,,intend,0.777746,intend
The United Nations Security Council imposed economic sanctions on North Korea in an effort to curb its nuclear weapons program.,,intend,0.6898308,intend
"The government is introducing a new law to protect the rights of religious minorities, in an effort to promote freedom of religion.",,intend,0.749053,intend
The government passed a law to strengthen gun control and reduce gun violence.,,intend,0.7356855,intend
The Senate passed a bill to increase funding for public education.,,intend,0.7146977,intend
"Mr. Edelman declined to specify what prompted the recent moves, saying they are meant only to benefit shareholders when ""the company is on a roll."" ",,intend,0.7612544,intend
The government launched a new initiative to promote access to healthcare.,,intend,0.79205185,intend
"The government passed a law to increase funding for public health services, in an effort to improve health outcomes.",,intend,0.78333616,intend
The government passed a law to protect the rights of indigenous peoples.,,intend,0.7911315,intend
"The government has introduced a new law to protect the rights of workers, in an effort to ensure fair wages and working conditions.",,intend,0.77296907,intend
