corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
NEWS,train0,01,0,prevent_our_data_0_01,"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ","[""Subcontractors  will  be offered a <ARG0>settlement</ARG0> and a swift transition to new management  is expected  to avert an <ARG1>exodus</ARG1> of skilled workers from Waertsilae Marines two big shipyards, government officials said.""]",1
NEWS,train1,02,0,prevent_our_data_0_02,"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ","[""Subcontractors  will  be offered a settlement and a swift <ARG0>transition</ARG0> to new management  is expected  to avert an <ARG1>exodus</ARG1> of skilled workers from Waertsilae Marines two big shipyards, government officials said.""]",1
NEWS,train2,03,0,prevent_our_data_0_03,The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.,"[""The <ARG0>move</ARG0> boosts Intelogic Chairman Asher Edelmans stake to 20% from 16.2% and may help prevent Martin Ackerman from <ARG1>making</ARG1> a run at the computer-services concern.""]",1
NEWS,train4,05,0,prevent_our_data_0_05,The university had sought an injunction blocking Connaught's board from recommending or supporting an offer for the company by Merieux.,"[""The university had <ARG0>sought</ARG0> an injunction <ARG1>blocking</ARG1> Connaughts board from recommending or supporting an offer for the company by Merieux.""]",1
NEWS,train5,06,0,prevent_our_data_0_06,The university had sought an injunction blocking Connaught's board from recommending or supporting an offer for the company by Merieux.,"[""The university had <ARG0>sought</ARG0> an injunction blocking Connaughts board from <ARG1>recommending</ARG1> or supporting an offer for the company by Merieux.""]",1
NEWS,train6,07,0,prevent_our_data_0_07,"In addition to the estimated 45,000 Marines to ultimately bepart of Operation Desert Shield, Stealth fighter planes and theaircraft carrier John F. Kennedy  are  also headed to Saudi Arabia  to protect it from Iraqi expansionism.   ","[""In addition to the estimated 45,000 Marines to ultimately bepart of Operation Desert Shield, Stealth fighter planes and theaircraft carrier John F. Kennedy  are  also <ARG0>headed</ARG0> to Saudi Arabia  to protect it from Iraqi <ARG1>expansionism</ARG1>.""]",1
NEWS,train7,08,0,prevent_our_data_0_08,The government is sharpening its newest weapon against white-collar defendants: the power to prevent them from paying their legal bills.,"[""The government is <ARG0>sharpening</ARG0> its newest weapon against white-collar defendants: the power to prevent them from <ARG1>paying</ARG1> their legal bills.""]",1
NEWS,train8,09,0,prevent_our_data_0_09,"""The people who suffer in the short run are defendants, but the people who suffer in the long run are all of the people, because there wo n't be a vigorous private bar to defend the Bill of Rights,"" says Gerald Lefcourt, a criminal defense attorney who says he has turned down a number of cases to avoid possible fee seizures.    ","[""The people who suffer in the short run are defendants, but the people who suffer in the long run are all of the people, because there wo nt be a vigorous private bar to defend the Bill of Rights, says Gerald Lefcourt, a criminal defense attorney who says he has <ARG0>turned</ARG0> down a number of cases to avoid possible fee <ARG1>seizures</ARG1>.""]",1
NEWS,train9,010,0,prevent_our_data_0_010,But even continued military success carries political anddiplomatic risks for President Bush and the U.S. The alliedrejection of the last-minute Soviet-led diplomatic effort to avoid the ground war enabled Mr. Bush to seize the initiativefrom an Iraq seemingly bent on dictating peace terms.,"[""But even continued military success carries political anddiplomatic risks for President Bush and the U.S. The alliedrejection of the last-minute Soviet-led diplomatic <ARG0>effort</ARG0> to avoid the ground <ARG1>war</ARG1> enabled Mr. Bush to seize the initiativefrom an Iraq seemingly bent on dictating peace terms.""]",1
NEWS,train10,011,0,prevent_our_data_0_011,"Mr. Bush forestalled further diplomatic maneuvering byissuing an ultimatum on behalf of the allies demanding thatIraq withdraw within a week, starting at noon Saturday.","[""Mr. Bush forestalled further diplomatic <ARG1>maneuvering</ARG1> by<ARG0>issuing</ARG0> an ultimatum on behalf of the allies demanding thatIraq withdraw within a week, starting at noon Saturday.""]",1
