context,triplets
"Two days before the attack , local police arrested Tohtunyaz , Ehet and Muhammad as they tried to illegally cross into Vietnam via Honghe county , the court said .","<triplet> they tried to illegally cross into Vietnam via Honghe county <subj> local police arrested Tohtunyaz , Ehet and Muhammad <obj> cause"
"In a statement prepared by lawyers for the university and Connaught, the parties said they agreed that as a result of reaching a C415 million research accord, ""It is unnecessary that there be a judgment on the merits {of the case} at this time.""    ",<triplet> reaching <subj> agreed <obj> cause
The police also arrested 79 persons at Surandai and 80 others at Paavoorchathram when they tried to tap toddy .,<triplet> they tried to tap toddy <subj> The police also arrested 79 persons at Surandai and 80 others at Paavoorchathram <obj> cause
He has been accused of using a slingshot during the # FeesMustFall protests in Durban and was arrested during running battles with police on September 27 last year .,<triplet> He has been accused of using a slingshot during the # FeesMustFall protests in Durban <subj> was arrested during running battles with police on September 27 last year <obj> cause
"15th September 2015 05:49 AM THIRUVANANTHAPURAM : With the government appearing to be in no mood to meet the demand of the doctors of the health service , the Kerala Government Medical Officers Association spearheading the hunger strike in front of the state secretariat has called for intensifying the agitation in the coming days .",<triplet> the government appearing to be in no mood to meet the demand of the doctors of the health service <subj> the Kerala Government Medical Officers Association spearheading the hunger strike in front of the state secretariat has called for intensifying the agitation in the coming days <obj> cause
Investigators have spoken with consumers and conducted preliminary field work.,<triplet> spoken <subj> conducted <obj> cause
"The department said teachers who joined the protest march would face disciplinary action and that the no-work , no-pay rule would apply .",<triplet> teachers who joined the protest march <subj> would face disciplinary action <obj> cause
"Lalu , Rabri upbeat after success of shutdown 29th January 2010 01:40 PM An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others during a protest against inflation in Patna .",<triplet> against inflation in Patna <subj> An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others during a protest <obj> cause
"Lalu , Rabri upbeat after success of shutdown 29th January 2010 01:40 PM An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others during a protest against inflation in Patna .",<triplet> during a protest against inflation in Patna <subj> An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others <obj> cause
"Although the government said the economy grew an estimated 2.5% in the third quarter, in line with expectations, analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter.    ",<triplet> grew <subj> disappointments <obj> cause
"The latest results include some unusual write-downs, which had an after-tax impact of $4.9 million. ",<triplet> write-downs <subj> results <obj> cause
"In Friday 's memorandum , the Health and Other Service Personnel Trade Union ( Hospersa ) accused the department of denying cancer patients treatment , '' causing some of them to move from being treatable to terminal '' .",<triplet> the department of denying cancer patients treatment <subj> some of them to move from being treatable to terminal <obj> cause
They reacted angrily when mayor James Nxumalo was not available to accept their memorandum .,<triplet> mayor James Nxumalo was not available to accept their memorandum <subj> They reacted angrily <obj> cause
"Meanwhile , political activists continued their protest in several places in Tamil Nadu , particularly districts fed by the Mullaperiyar waters , to protest Kerala 's refusal to raise the storage level in the dam .","<triplet> to protest Kerala 's refusal to raise the storage level in the dam <subj> political activists continued their protest in several places in Tamil Nadu , particularly districts fed by the Mullaperiyar waters <obj> cause"
"But the caste violence that wrecked the lives of over a thousand Dalits earlier this month has forever tainted the image of Dharmapuri district as a former Naxal stronghold that , even a decade ago , had no place for caste or class differences .",<triplet> the caste violence <subj> wrecked the lives of over a thousand Dalits earlier this month <obj> cause
"24th March 2016 05:23 AM THOOTHUKUDI : In recent days , particularly after the attack on Nadar Outfit leader , Subash Pannayar , police ‘ activism ’ in the form of torture has allegedly increased and the place that has been allegedly chosen for such torture is the shooting range on Vallanadu Hills .","<triplet> the attack on Nadar Outfit leader , Subash Pannayar <subj> police ‘ activism ’ in the form of torture has allegedly increased <obj> cause"
People invaded the land in Rus-ter-vaal in the previous weeks and the Emfuleni Municipality had obtained a court order to evict them .,<triplet> People invaded the land in Rus-ter-vaal in the previous weeks <subj> the Emfuleni Municipality had obtained a court order to evict them <obj> cause
On Tuesday we went to picket at the Western Cape Provincial Legislature after we had gone over a month without teachers .,<triplet> we had gone over a month without teachers <subj> On Tuesday we went to picket at the Western Cape Provincial Legislature <obj> cause
"The episode, a ""distributed denial-of-service"" attack, is a common type of cyberincident in which hackers saturate a system by sending a huge flood of requests, overwhelming the system and slowing or freezing operations.",<triplet> attack <subj> operations <obj> prevent
"19th December 2013 11:20 AM Cheque transactions worth more than ` 2,200 crore were hit as more than 1,400 bank branches remained closed as bank employees went on a day-long strike to protest against banking sector reforms and non-implementation of wage revision for more than a year .","<triplet> more than 1,400 bank branches remained closed <subj> Cheque transactions worth more than ` 2,200 crore were hit <obj> cause"
"19th December 2013 11:20 AM Cheque transactions worth more than ` 2,200 crore were hit as more than 1,400 bank branches remained closed as bank employees went on a day-long strike to protest against banking sector reforms and non-implementation of wage revision for more than a year .","<triplet> bank employees went on a day-long strike <subj> more than 1,400 bank branches remained closed <obj> cause"
"19th December 2013 11:20 AM Cheque transactions worth more than ` 2,200 crore were hit as more than 1,400 bank branches remained closed as bank employees went on a day-long strike to protest against banking sector reforms and non-implementation of wage revision for more than a year .",<triplet> to protest against banking sector reforms and non-implementation of wage revision for more than a year <subj> bank employees went on a day-long strike <obj> cause
"On Tuesday , shops in Madukkarai area remained closed in protest against the damage to the idol .",<triplet> in protest against the damage to the idol <subj> shops in Madukkarai area remained closed <obj> cause
"Security measures tightened 12th September 2011 12:39 AM KOCHI : In the wake of the recent Delhi bomb blasts , security measures have been tightened in the city to prevent any untoward happening , said City Police Commissioner , M R Ajith Kumar .",<triplet> the recent Delhi bomb blasts <subj> security measures have been tightened in the city to prevent any untoward happening <obj> cause
"Security measures tightened 12th September 2011 12:39 AM KOCHI : In the wake of the recent Delhi bomb blasts , security measures have been tightened in the city to prevent any untoward happening , said City Police Commissioner , M R Ajith Kumar .",<triplet> to prevent any untoward happening <subj> security measures have been tightened in the city <obj> cause
"Meanwhile , the forest staffers under the banner of Odisha Non-Gazetted Forest Service Association ( ONGFSA ) are sitting on an indefinite strike demanding enhancement of pay scale of forest guards as per the Sixth Pay Commission , regularisation of contractual foresters and forest guards and post upgradation of forest guards , foresters and deputy rangers .","<triplet> demanding enhancement of pay scale of forest guards as per the Sixth Pay Commission , regularisation of contractual foresters and forest guards and post upgradation of forest guards , foresters and deputy rangers <subj> the forest staffers under the banner of Odisha Non-Gazetted Forest Service Association ( ONGFSA ) are sitting on an indefinite strike <obj> cause"
"Meanwhile , the forest staffers under the banner of Odisha Non-Gazetted Forest Service Association ( ONGFSA ) are sitting on an indefinite strike demanding enhancement of pay scale of forest guards as per the Sixth Pay Commission , regularisation of contractual foresters and forest guards and post upgradation of forest guards , foresters and deputy rangers .",<triplet> the Sixth Pay Commission <subj> demanding enhancement of pay scale of forest guards <obj> cause
