Text,Max_Similarity,Relation,Average_Similarity
"That would be a huge problem if it were to continue, because Unisys is betting its business on the assumption that customers want to move away from using operating systems that run on only one manufacturer's equipment and toward systems -- mainly Unix -- that work on almost anyone's machines.    ",,cause,0.7931344
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.7440782
"The government is introducing a new law to protect the rights of the disabled, in an effort to ensure access to services and equal opportunities.",,intend,0.80783165
"Thomas Spiegel, Columbia's chairman, said in a statement that the thrift was "" disappointed"" by the effects of the accounting changes. ",,cause,0.78429705
The government passed a law to increase funding for public education in an effort to improve educational outcomes.,,intend,0.8779724
"By acquiring the shares, Lawrence Group increased its stake in Lawrence Insurance to 93.2% from 91.2%. ",,cause,0.8480426
The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.,,cause,0.7821107
"The government passed a law to increase access to clean water, in an effort to improve public health.",,intend,0.8769058
The government has implemented a series of reforms to promote media freedom and reduce censorship.,,intend,0.80459654
"National Intergroup in the year-ago third quarter earned $22.5 million, or 97 cents a share, including a gain of $18 million from the sale of a steel tube company. ",,cause,0.7632527
"The government passed a law to increase taxes on the wealthy, in an effort to reduce income inequality.",,intend,0.9092226
"Replied State Department deputy spokesman Richard Boucher, ``Wehave n't  really analyzed the statement in detail but it appears tobe just another example of his outlandish rhetoric and his attempts to distort the truth.   ",,intend,0.92871886
"The government has passed a law to increase access to clean air, in an effort to reduce air pollution and improve public health.",,intend,0.83652896
"The government is introducing a new law to protect the rights of minorities, in an effort to promote social inclusion and combat racism.",,intend,0.7782904
The United States and its allies launched a military campaign to liberate Kuwait and restore its sovereignty.,,intend,0.7340354
"The government passed a law to increase access to education, in an effort to reduce inequality and promote social mobility.",,intend,0.93969554
His move was aimed at increasing public awareness of the need for political reform.,,intend,0.9242364
The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.,,cause,0.85574806
The government passed a law to increase the availability of renewable energy sources in order to reduce air pollution and conserve natural resources.,,intend,0.8789374
The prime minister proposed a new trade agreement to open up markets and create jobs.,,intend,0.85379684
"Columbia also added $227.3 million to reserves for losses on the portfolio, increasing general reserves to $300 million, or about 6.7% of the total portfolio, as of Sept. 30. ",,cause,0.82605916
"The government is introducing a new law to protect the rights of consumers, in an effort to ensure fair pricing and quality products.",,intend,0.8124326
"The government is introducing a new law to protect the rights of immigrants, in an effort to ensure fair treatment and access to services.",,intend,0.8967638
"The government has introduced a new program to provide free education to all children, in an effort to reduce inequality and promote social mobility.",,intend,0.86732996
The government passed a law to protect the rights of religious minorities and ensure equal access to public services.,,intend,0.9253197
"At a news conference, Mr. Fournier accused Paribas of planning to pay for the takeover by selling parts of the company, whose interests include insurance, banking, tuna canning, sugar and orange juice.    ",,cause,0.84022075
The government passed a law to increase access to job training and reduce unemployment.,,intend,0.9654047
"The government passed a law to increase the number of job training programs, in an effort to increase employment opportunities.",,intend,0.8648246
"Valley Federal Savings amp Loan Association took an $89.9 million charge as it reported a third-quarter loss of $70.7 million, or $12.09 a share.    ",,cause,0.7899124
The government has implemented a series of reforms to promote free and fair elections and reduce political interference.,,intend,0.93205965
The government has implemented a series of reforms to strengthen the rule of law and promote judicial independence.,,intend,0.95061386
The government passed a law to protect the environment in an effort to reduce pollution.,,intend,0.9701456
"It's an ideal example of how an individual voice can be magnified to create awareness for a good cause and ignite action among millions by using a site like Facebook. """,,cause,0.7954476
Courtaulds PLC announced plans to spin off its textiles operations to existing shareholders in a restructuring to boost shareholder value.,,intend,0.91609704
The government passed a law to protect the rights of people with disabilities and ensure their access to services.,,intend,0.92253494
The government passed a law to increase access to financial services in an effort to promote economic growth.,,intend,0.7908903
The government passed a law to increase access to financial services in an effort to reduce inequality.,,intend,0.96908796
"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ",,intend,0.87882215
"The government is introducing a new law to protect the environment, in an effort to reduce pollution and promote sustainable development.",,intend,0.9701456
The president has declared a state of emergency in response to the recent outbreak of violence in the region.,,intend,0.8139064
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.8514593
"The government passed a law to increase the number of tax incentives for businesses, in an effort to stimulate economic growth.",,intend,0.8788587
"Concern about declines in other markets, especially New York, caused selling pressure.    ",,cause,0.799774
The government passed a law to increase access to healthcare in an effort to reduce infant mortality.,,intend,0.85570204
The government passed a law to protect the rights of victims of discrimination in housing and ensure their access to services.,,intend,0.93080294
"The government passed a law to reduce the number of hours worked, in an effort to reduce unemployment.",,intend,0.8694674
The government launched a campaign to reduce discrimination in the workplace.,,intend,0.9474165
"The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls.",,cause,0.83162194
"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",,cause,0.802024
The government has implemented a series of reforms to promote gender equality and reduce gender-based violence.,,intend,0.9198839
"The government has introduced a new law to protect the rights of the elderly, in an effort to ensure access to quality healthcare and social services.",,intend,0.84821874
"The government has passed a law to increase access to healthcare, in an effort to reduce health disparities.",,intend,0.86989564
"The government passed a law to increase access to voting rights, in an effort to ensure equal representation.",,intend,0.7933111
The earnings growth also was fueled by the company's ability to cut net financing spending by half to around 15 million guilders.,,cause,0.8217324
The World Bank has launched a program to provide financial assistance to developing countries in order to reduce poverty.,,intend,0.80795443
"The government has implemented a new policy to provide tax incentives to businesses that hire veterans, in an effort to reduce veteran unemployment.",,intend,0.8781327
"The government passed a law to increase funding for research and development, in an effort to promote technological innovation.",,intend,0.78480446
"The government is introducing a new law to protect the environment, in an effort to reduce air and water pollution.",,intend,0.88061506
The government passed a law to increase access to education in an effort to reduce illiteracy.,,intend,0.8743323
"The government is introducing a new law to protect the rights of the elderly, in an effort to ensure access to quality care and support.",,intend,0.89574224
The government passed a law to increase access to renewable energy sources and reduce reliance on fossil fuels.,,intend,0.8464912
"In the past two months the nation's 88 junk funds have lost a total of about $6 billion -- more than 15% of assets -- through sales or transfers of junk-fund shares, Dalbar says. ",,cause,0.8159822
"A few people do think he is a real character, particularly with the tour of his house on'Baker Street' adding fuel to the fire so to speak, "" Mark Di-Toro from Visit Britain said.""",,cause,0.848673
"Ralston Purina Co. reported a 47% decline in fourth-quarter earnings, reflecting restructuring costs as well as a more difficult pet food market.    ",,cause,0.8079196
"The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion.",,intend,0.87008077
"The government has passed a new law to increase the minimum wage, in an effort to reduce poverty and improve the standard of living for low-income workers.",,intend,0.8994422
The government passed a law to increase access to mental health services and reduce stigma.,,intend,0.9701456
The government passed a law to increase access to clean energy in an effort to reduce carbon emissions.,,intend,0.83652896
"Mr. Stronach, founder and controlling shareholder of Magna, resigned as chief executive officer last year to seek, unsuccessfully, a seat in Canada's Parliament.",,intend,0.8466552
"The government of Brazil has passed a law to increase the number of job training programs, in an effort to reduce unemployment.",,intend,0.9267396
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.7489321
"The government has passed a law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.746964
"DPC, an investor group led by New York-based Crescott Investment Associates, had itself filed a suit in state court in Los Angeles seeking to nullify the agreement. ",,cause,0.9167963
The government announced a new policy to reduce carbon emissions.,,intend,0.9476532
The government passed a law to increase access to mental health services and reduce the stigma associated with mental illness.,,intend,0.80783165
The United Nations passed a resolution to promote the rights of children and ensure their access to basic services.,,intend,0.95463926
The government passed a law to increase access to public transportation and reduce traffic congestion.,,intend,0.9701456
The government has implemented a new policy to increase access to healthcare in an effort to improve public health.,,intend,0.84690094
The government passed a law to protect the rights of minorities in an effort to promote equality and justice.,,intend,0.7702226
The government passed a law to protect the rights of workers in an effort to ensure fair wages and working conditions.,,intend,0.746964
The government passed a law to protect the rights of consumers and ensure their access to accurate information about products and services.,,intend,0.96908796
"And to protect their reduced capital investment from eroding further, market makers became quicker to lower price quotes when sell programs are in progress. ",,cause,0.8179045
The president proposed a new tax plan that would reduce taxes for the middle class and increase taxes for the wealthy.,,intend,0.9625266
"The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion and improve air quality.",,intend,0.8621033
The government passed a law to increase access to education and reduce the cost of tuition.,,intend,0.93969554
"Choudary has never announced a date for his march and area police said he had not contacted them about it, as march organizers are required to do beforehand.",,cause,0.86504954
"Anheuser-Busch Cos. said it plans to aggressively discount its major beer brands, setting the stage for a potentially bruising price war as the maturing industry's growth continues to slow.    ",,cause,0.8176799
"The government passed a law to increase funding for small business loans, in an effort to promote entrepreneurship.",,intend,0.8843398
The government introduced a new law to protect the rights of consumers in an effort to promote fair trade and competition.,,intend,0.96908796
"The government passed a law to increase access to financial services, in an effort to reduce poverty.",,intend,0.8488289
The government launched a new initiative to promote economic growth and job creation.,,intend,0.9625266
The United States passed a law to increase funding for renewable energy sources in an effort to reduce greenhouse gas emissions.,,intend,0.8215559
The government has implemented a series of reforms to promote access to healthcare and reduce health disparities.,,intend,0.77539957
The government passed a new law to protect the rights of the elderly in an effort to ensure their dignity.,,intend,0.84821874
"The sale of shares to the McAlpine family along with the recent sale of 750,000 shares of Meridian stock to Haden MacLellan Holding PLC of Surrey, England and a recent public offering have increased Meridian's net worth to $8.5 million, said William Feniger, chief executive officer of Toledo, Ohio-based Meridian. ",,cause,0.80525553
The government passed a law to increase the minimum wage in order to improve the standard of living for low-income workers.,,intend,0.8994422
The government has implemented a series of reforms to promote religious freedom and reduce discrimination.,,intend,0.849187
"The government passed a law to increase funding for job training programs, in an effort to reduce unemployment.",,intend,0.8843398
The government passed a law to increase access to healthcare services in an effort to reduce health disparities.,,intend,0.85570204
"The government is introducing a new law to protect the rights of the elderly, in an effort to ensure access to quality healthcare and social services.",,intend,0.84821874
The government passed a law to increase access to clean water in an effort to protect the environment.,,intend,0.88061506
"The government passed a law to increase the number of job fairs, in an effort to increase employment opportunities.",,intend,0.9267396
The government passed a law to protect the rights of victims of age discrimination and ensure their access to services.,,intend,0.93080294
"The government is introducing a new law to protect the rights of victims of sexual assault, in an effort to ensure their safety and access to justice.",,intend,0.90682477
"As the census gets underway, Prewitt said trying to count everyone, as mandated by the Constitution, should be the top concern.""",,cause,0.8147532
The slowdown raises questions about the economy's strength because spending fueled much of the third-quarter GNP growth.,,cause,0.8355087
"Such selling could erode prices of high-yield junk bonds, already weakened by a rash of corporate credit problems.    ",,cause,0.82308567
"The government is introducing a new law to protect the rights of women, in an effort to ensure gender equality and access to justice.",,intend,0.89129627
"The government has passed a law to increase funding for research and development, in an effort to promote innovation and economic growth.",,intend,0.9654047
The United Nations has adopted a resolution calling for an end to the conflict in Yemen.,,intend,0.9472192
"Instead, Sununusought to prove to the president that his supporters outnumber his critics andthat he should remain in his post.;   One senior official Monday described theWhite House as ""a collection of small groups of aides holding their breaths,""waiting to see whether Sununu survives. ",,cause,0.7915081
"Property/casualty insurance has been a tough business in recent quarters, as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake  have resulted in huge payments. ",,cause,0.9826118
"""As we regain our leadership level where we have been, and as we continue to put new products into the marketplace and need additional capacity, we will look at resuming our involvement with our plan,"" he said.    ",,cause,0.8432907
The government passed a law to protect the rights of immigrants and ensure access to basic services.,,intend,0.9701456
The government passed a law to increase access to clean energy sources in an effort to reduce greenhouse gas emissions and combat climate change.,,intend,0.83652896
"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """,,cause,0.84103644
"The government has passed a law to increase access to affordable housing, in an effort to reduce homelessness.",,intend,0.9654047
"The government has implemented a new policy to provide tax credits to businesses that hire veterans, in an effort to reduce veteran unemployment.",,intend,0.8781327
"The government is introducing a new policy to reduce carbon emissions, in an effort to combat climate change and protect the environment.",,intend,0.88061506
"The government has passed a law to protect the rights of workers and ensure fair wages, in an effort to reduce income inequality.",,intend,0.9701456
The government passed a new law to protect the rights of children in an effort to promote their welfare.,,intend,0.9701456
"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered.",,cause,0.71458066
"The government passed a law to increase access to healthcare, in an effort to reduce health disparities.",,intend,0.78807914
"The government has passed a law to increase access to childcare, in an effort to reduce the burden on working families and promote gender equality.",,intend,0.9156164
"The government is introducing a new law to protect the rights of minorities, in an effort to ensure equal access to services and opportunities.",,intend,0.8235835
The government passed a new law to protect the rights of disabled persons in an effort to promote inclusion.,,intend,0.8371356
"The government has passed a law to protect the rights of religious minorities, in an effort to promote tolerance and acceptance.",,intend,0.9009935
Lawmakers have been accused of carving district lines around the constituents that will give their party an advantage and secure political gains.,,cause,0.931816
"The government passed a law to increase access to healthcare, in an effort to improve public health.",,intend,0.8319155
"Another 16 members of the Brazilian-led peacekeeping force deployed in Haiti are confirmed dead, U.N. Secretary-General Ban Ki-moon said Wednesday night -- three Jordanian police officers, one Argentinean and one Chadian police officer, and 11 Brazilian peacekeepers.",,cause,0.72633636
The thrift and the holders had suspended their lawsuits as part of the agreement.,,cause,0.9240095
The government passed a law to increase funding for public education and improve educational outcomes.,,intend,0.7146977
The government passed a law to protect the rights of victims of religious discrimination and ensure their access to services.,,intend,0.92253494
It also was considering a restructuring to help boost the stock price.,,intend,0.91609704
The United Nations passed a resolution to promote the rights of LGBT people and ensure their access to equal rights and protections.,,intend,0.8631989
"The government has introduced a new program to provide job training and education services to those who are unemployed, in an effort to reduce long-term unemployment.",,intend,0.9267396
The president signed an executive order to protect the environment from pollution.,,intend,0.9654047
"After cabling world leadersabout his intention to give Saddam Hussein a final deadlineto exit Kuwait, he offered him a week to withdraw fully  , instead of the four days he originally considered, because ofobjections from some European partners that four days seemedpunitive and unrealistic.   ",,cause,0.7812921
"The government has passed a law to increase taxes on the wealthy, in an effort to reduce income inequality.",,intend,0.9092226
"The government passed a law to increase access to legal services, in an effort to reduce discrimination.",,intend,0.85732716
The government passed a law to protect the rights of minorities and ensure equal access to opportunities.,,intend,0.92253494
"The government has passed a law to increase access to housing, in an effort to reduce homelessness and improve living conditions.",,intend,0.89821756
The charges were offset in part by a gain from the sale of the company's construction division.,,cause,0.9483243
"However, its equity in the net income of National Steel declined to $6.3 million from $10.9 million as a result of softer demand and lost orders following prolonged labor talks and a threatened strike. ",,cause,0.8116584
"The government passed a law to increase access to renewable energy sources, in an effort to reduce carbon emissions.",,intend,0.9476532
The government passed a law to protect the rights of victims of hate crimes and promote justice.,,intend,0.8740776
The Bushadministration considers the sanctions essential to keepingSaddam Hussein under control should he survive the war.,,intend,0.7861363
"The results made net income for the year ended Aug. 31 C$2.7 million, or 20 Canadian cents a share, down from C$9.7 million, or 70 Canadian cents a share last year. ",,cause,0.9425079
