corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs,relation
GPT3,train386,387,0,enable_GPT_0_0387,The United Nations has passed a resolution calling for an end to the use of child soldiers in armed conflicts.,"[""The United Nations has passed a <ARG0>resolution</ARG0> calling for an <ARG1>end</ARG1> to the use of child soldiers in armed conflicts.""]",1,enable
cnc,train_02_208,3040,0,cnc_train_02_208_3040_0,"As more than 70 percent of the buses have been taken off the road , many passengers had to either postpone their travel or go by trains .","['<SIG0>As</SIG0> <ARG0>more than 70 percent of the buses have been taken off the road</ARG0> , <ARG1>many passengers had to either postpone their travel or go by trains</ARG1> .']",1,cause
cnc,train_03_69,716,0,cnc_train_03_69_716_0,"Inaugurating the dharna , State secretary of the Communist Party of India C.K. Chandrappan said the United Democratic Front ( UDF ) government seemed to have declared a war on the people through its revised Budget .",[],0,0
cnc,train_06_124,850,0,cnc_train_06_124_850_0,"Hong Kong ’ s latest political crisis has been brewing for months , with the emergence of a new generation of activists who came of age during the 2014 umbrella movement protests and are now pushing for greater autonomy or outright independence from mainland China .","['<ARG1>Hong Kong ’ s latest political crisis has been brewing for months</ARG1> , <SIG0>with</SIG0> <ARG0>the emergence of a new generation of activists who came of age during the 2014 umbrella movement protests and are now pushing for greater autonomy or outright independence from mainland China</ARG0> .']",1,cause
GPT3,train251,252,0,enable_GPT_0_0252,The government has also promised to reduce taxes on businesses to encourage investment and job creation.,"[""The government has also promised to <ARG0>reduce</ARG0> taxes on businesses to <ARG1>encourage</ARG1> investment and job creation.""]",1,enable
cnc,train_09_B_52,996,0,cnc_train_09_B_52_996_0,"Soon , the huge posse of advocates started raising defamatory slogans against a few judges .",[],0,0
cnc,train_03_180,305,0,cnc_train_03_180_305_0,`` The strike is still on . '',[],0,0
cnc,train_05_290,2587,0,cnc_train_05_290_2587_0,More than 700 people also signed an online petition for the government to step in with extra funding .,['<ARG1>More than 700 people also signed an online petition</ARG1> <SIG0>for</SIG0> <ARG0>the government to step in with extra funding</ARG0> .'],1,cause
GPT3,train145,146,0,enable_GPT_0_0146,"The announcement of the relaxation of the 15% takeover limit was welcomed by Jaguar Chairman Sir John Egan, who saw it as an opportunity for General Motors to increase its stake in the company.","[""The announcement of the <ARG0>relaxation</ARG0> of the 15% takeover limit was welcomed by Jaguar Chairman Sir John Egan, who saw it as an opportunity for General Motors to <ARG1>increase</ARG1> its stake in the company.""]",1,enable
cnc,train_09_B_6,2328,0,cnc_train_09_B_6_2328_0,The journalist who had put out a report to that effect was manhandled .,[],0,0
cnc,train_02_308,4,0,cnc_train_02_308_4_0,Although private banks continued to operate as usual majority of trade and industry was hit by the strike by staff of 25 nationalised banks who are demanding revision of wages and a second option for pension among other things .,"['Although private banks continued to operate as usual <ARG1>majority of trade and industry was hit by the strike</ARG1> <SIG0>by</SIG0> <ARG0>staff of 25 nationalised banks who are demanding revision of wages and a second option for pension among other things</ARG0> .', 'Although private banks continued to operate as usual majority of trade and industry was hit by <ARG1>the strike by staff of 25 nationalised banks</ARG1> who are <ARG0><SIG0>demanding</SIG0> revision of wages and a second option for pension among other things</ARG0> .']",2,cause
NEWS,train12,13,0,prevent_our_data_0_013,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.   ","[""The White House yesterday disclosed that Kuwaits ousted government has formally <ARG0>asked</ARG0> the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships <ARG1>carrying</ARG1> Iraqi goods.""]",1,prevent
NEWS,train9,10,0,0_our_data_0_010,"This quarter's loss includes pretax charges of $4.9 million on the proposed discontinuation of the company's troubled British subsidiary, and $3.7 million of other write-offs the company said were non-recurring and principally related to inventory, publishing advances and pre-publication costs. ",[],0,0
AFPNEWS,train141,142,0,prevent_our_data_0_0142,"President Joe Biden has pledged to work with opposition Republicans on key issues, and as Democrats control the Senate by a single vote, Schumer would need backing from several Republicans to forestall a potential filibuster that could block passage of the legislation.","[""President Joe Biden has pledged to work with opposition Republicans on key issues, and as Democrats <SIG0>control</SIG0> the Senate by a single vote, Schumer would need backing from several Republicans to forestall a potential <ARG0>filibuster</ARG0> that could block passage of the <ARG1>legislation</ARG1>.""]",1,prevent
GPT3,train296,297,0,enable_GPT_0_0297,The United Nations Security Council has unanimously adopted a resolution calling for an immediate end to the conflict in Syria.,"[""The United Nations Security Council has unanimously <ARG0>adopted</ARG0> a resolution calling for an immediate <ARG1>end</ARG1> to the conflict in Syria.""]",1,enable
GPT3,train417,418,0,enable_GPT_0_0418,"The European Union has sought to increase its influence in the region, and has been involved in a number of diplomatic initiatives.","[""The European Union has sought to increase its <ARG0>influence</ARG0> in the region, and has been <ARG1>involved</ARG1> in a number of diplomatic initiatives.""]",1,enable
cnc,train_04_246,2103,0,cnc_train_04_246_2103_0,"A day after the snap protest by the Karnataka State Reserve Police ( KSRP ) personnel extending support to their chief P. Ravindranath , who has now been transferred , senior officials on Thursday chalked out a strategy to prevent them from continuing the protest by deploying all the 1,200 KSRP personnel on various duties .","['A day after the snap protest by the Karnataka State Reserve Police ( KSRP ) personnel extending support to their chief P. Ravindranath , who has now been transferred , <ARG1>senior officials on Thursday chalked out a strategy</ARG1> <ARG0><SIG0>to</SIG0> prevent them from continuing the protest</ARG0> by deploying all the 1,200 KSRP personnel on various duties .', 'A day after the snap protest by the Karnataka State Reserve Police ( KSRP ) personnel extending support to their chief P. Ravindranath , who has now been transferred , senior officials on Thursday chalked out a strategy <ARG0>to prevent them from continuing the protest</ARG0> <SIG0>by</SIG0> <ARG1>deploying all the 1,200 KSRP personnel on various duties</ARG1> .']",2,cause
GPT3,train181,182,0,enable_GPT_0_0182,The Canadian government has announced a new program to help small businesses access capital and credit.,"[""The Canadian government has announced a new <ARG0>program</ARG0> to help small businesses <ARG1>access</ARG1> capital and credit.""]",1,enable
GPT3,train1094,1095,0,intend_GPT_0_01095,The government passed a law to increase access to educational opportunities in an effort to reduce inequality and promote social mobility.,"[""The government <ARG0>passed</ARG0> a law to increase access to educational opportunities in an effort to <ARG1>reduce</ARG1> inequality and promote social mobility.""]",1,intend
cnc,train_01_44,2620,0,cnc_train_01_44_2620_0,"The neighbouring State apparently relented after 500 trucks carrying vegetables , eggs , fishes and other perishable items from Andhra Pradesh were detained by BJD activists at various places in Balasore .","['<ARG1>The neighbouring State apparently relented</ARG1> after <ARG0>500 trucks carrying vegetables , eggs , fishes and other perishable items from Andhra Pradesh were detained by BJD activists at various places in Balasore</ARG0> .']",1,cause
cnc,train_09_A_75,2874,0,cnc_train_09_A_75_2874_0,Sena Flays CM for Keeping Mum While Vidarbha Flag Was Hoisted 03rd May 2016 04:32 PM MUMBAI : Ruling alliance partner Shiv Sena today flayed Maharashtra Chief Minister Devendra Fadnavis for keeping mum when a flag of a separate Vidarbha state was recently hoisted in Nagpur on Maharashtra Day .,"['<ARG1>Sena Flays CM</ARG1> <SIG0>for</SIG0> <ARG0>Keeping Mum While Vidarbha Flag Was Hoisted</ARG0> 03rd May 2016 04:32 PM MUMBAI : Ruling alliance partner Shiv Sena today flayed Maharashtra Chief Minister Devendra Fadnavis for keeping mum when a flag of a separate Vidarbha state was recently hoisted in Nagpur on Maharashtra Day .', 'Sena Flays CM for Keeping Mum While Vidarbha Flag Was Hoisted 03rd May 2016 04:32 PM MUMBAI : <ARG1>Ruling alliance partner Shiv Sena today flayed Maharashtra Chief Minister Devendra Fadnavis</ARG1> <SIG0>for</SIG0> <ARG0>keeping mum when a flag of a separate Vidarbha state was recently hoisted in Nagpur on Maharashtra Day</ARG0> .']",2,cause
cnc,train_01_227,3356,0,cnc_train_01_227_3356_0,"“ If peaceful marches that disrupt the road for an afternoon or so don ’ t work , maybe it spills over to blockading more roads , maybe for long .","['“ If <ARG0>peaceful marches</ARG0> <ARG1><SIG0>that disrupt</SIG0> the road for an afternoon or so</ARG1> don ’ t work , maybe it spills over to blockading more roads , maybe for long .', '“ <SIG0>If</SIG0> <ARG0>peaceful marches that disrupt the road for an afternoon or so don ’ t work</ARG0> , <ARG1>maybe it spills over to blockading more roads , maybe for long</ARG1> .']",2,cause
cnc,train_08_320,597,0,cnc_train_08_320_597_0,Uttar Pradesh ’ s Director General of Police Javed Ahmed said that there was unprovoked firing from the members of an offshoot of the Jai Gurudev sect .,[],0,0
cnc,train_05_167,2416,0,cnc_train_05_167_2416_0,"Vasavi students demand action against principal 03rd August 2010 01:47 AM HYDERABAD : Students of the Vasavi College of Engineering on Monday staged a protest near the college demanding action against the principal , holding him responsible for the death of a civil engineering student .","['Vasavi students demand action against principal 03rd August 2010 01:47 AM HYDERABAD : <ARG1>Students of the Vasavi College of Engineering on Monday staged a protest near the college</ARG1> <ARG0><SIG0>demanding</SIG0> action against the principal</ARG0> , holding him responsible for the death of a civil engineering student .', 'Vasavi students demand action against principal 03rd August 2010 01:47 AM HYDERABAD : Students of the Vasavi College of Engineering on Monday staged a protest near the college <ARG1>demanding action against the principal</ARG1> , <ARG0><SIG0>holding</SIG0> him responsible for the death of a civil engineering student</ARG0> .']",2,cause
NEWS,train252,253,0,cause_our_data_0_0253,"However, the company's petroleum services segment, while profitable, was hurt by high financing costs associated with the company's buy-out of a 50% stake in Eastman Christensen Co. from Texas Eastern Corp. last June. ","[""However, the companys petroleum services segment, while profitable, was <ARG1>hurt</ARG1> by high financing costs associated with the companys <ARG0>buy-out</ARG0> of a 50% stake in Eastman Christensen Co. from Texas Eastern Corp. last June.""]",1,cause
cnc,train_03_192,2295,0,cnc_train_03_192_2295_0,"|PTI GAYA : A 20 - year-old youth was shot dead allegedly by JD(U) MLC Manorama Devi 's son Rocky for overtaking his vehicle near police line in Bihar 's Gaya district , triggering protests in the area .","[""|PTI GAYA : <ARG1>A 20 - year-old youth was shot dead allegedly by JD(U) MLC Manorama Devi 's son Rocky</ARG1> <SIG0>for</SIG0> <ARG0>overtaking his vehicle near police line in Bihar 's Gaya district</ARG0> , triggering protests in the area ."", ""|PTI GAYA : <ARG0>A 20 - year-old youth was shot dead allegedly by JD(U) MLC Manorama Devi 's son Rocky</ARG0> for overtaking his vehicle near police line in Bihar 's Gaya district , <ARG1><SIG0>triggering</SIG0> protests in the area</ARG1> .""]",2,cause
cnc,train_08_57,78,0,cnc_train_08_57_78_0,The march got under way with Leader of the Opposition Oommen Chandy handing over the party flag to Mr. Chennithala at a public function here in the evening .,[],0,0
GPT3,train210,211,0,enable_GPT_0_0211,The International Monetary Fund has also approved a loan package to help the country's economy recover from the effects of the global financial crisis.,"[""The International Monetary Fund has also approved a <ARG0>loan</ARG0> package to help the countrys economy <ARG1>recover</ARG1> from the effects of the global financial crisis.""]",1,enable
