context,triplets,subject,object,relation
 pays  bill cause is thanked,<triplet>  pays  bill <subj> is thanked <obj> cause,pays  bill,is thanked,cause
 needs a change cause frowns,<triplet>  needs a change <subj> frowns <obj> cause,needs a change,frowns,cause
 becomes a professional gamer cause gets popular,<triplet>  becomes a professional gamer <subj> gets popular <obj> cause,becomes a professional gamer,gets popular,cause
 finds a stray dog cause gets bitten,<triplet>  finds a stray dog <subj> gets bitten <obj> cause,finds a stray dog,gets bitten,cause
 turns  towards  cause to towards the moving,<triplet>  turns towards  <subj> to towards the moving <obj> cause,turns towards,to towards the moving,cause
 loves the song cause cries,<triplet>  loves the song <subj> cries <obj> cause,loves the song,cries,cause
 cleans the basement cause gets dirty,<triplet>  cleans the basement <subj> gets dirty <obj> cause,cleans the basement,gets dirty,cause
 gives  some water cause no effect,<triplet>  gives  some water <subj> no effect <obj> cause,gives  some water,no effect,cause
 rents and managing properties for a fee cause  gets job experience,<triplet>  rents and managing properties for a fee <subj>  gets job experience <obj> cause,rents and managing properties for a fee,gets job experience,cause
 sends  instead cause  sends a card instead of a gift,<triplet>  sends instead <subj>  sends a card instead of a gift <obj> cause,sends instead,sends a card instead of a gift,cause
 pays a visit cause grin,<triplet>  pays a visit <subj> grin <obj> cause,pays a visit,grin,cause
 notices a bad smell cause Opens door,<triplet>  notices a bad smell <subj> Opens door <obj> cause,notices a bad smell,Opens door,cause
 faces every  cause give a speech,<triplet>  faces every  <subj> give a speech <obj> cause,faces every,give a speech,cause
 gets a band aid cause cringes,<triplet>  gets a band aid <subj> cringes <obj> cause,gets a band aid,cringes,cause
 mounts  response cause has their question answered,<triplet>  mounts  response <subj> has their question answered <obj> cause,mounts  response,has their question answered,cause
 surprises  with a trip cause gets a hug,<triplet>  surprises with a trip <subj> gets a hug <obj> cause,surprises with a trip,gets a hug,cause
 goes halfsies cause has to share item,<triplet>  goes halfsies <subj> has to share item <obj> cause,goes halfsies,has to share item,cause
 works all summer cause becomes productive,<triplet>  works all summer <subj> becomes productive <obj> cause,works all summer,becomes productive,cause
 shoots first and ask questions later cause harms someone,<triplet>  shoots first and ask questions later <subj> harms someone <obj> cause,shoots first and ask questions later,harms someone,cause
 goes  after school cause is nervous,<triplet>  goes after school <subj> is nervous <obj> cause,goes after school,is nervous,cause
 regulates  with nations cause gets income from business,<triplet>  regulates with nations <subj> gets income from business <obj> cause,regulates with nations,gets income from business,cause
 fights another day cause makes everyone fear him,<triplet>  fights another day <subj> makes everyone fear him <obj> cause,fights another day,makes everyone fear him,cause
 swings  hard cause clenches muscles in anger,<triplet>  swings hard <subj> clenches muscles in anger <obj> cause,swings hard,clenches muscles in anger,cause
 yells for help cause people come over,<triplet>  yells for help <subj> people come over <obj> cause,yells for help,people come over,cause
 swings hard cause gets hungry,<triplet>  swings hard <subj> gets hungry <obj> cause,swings hard,gets hungry,cause
 gets a standing ovation cause thinks about the show,<triplet>  gets a standing ovation <subj> thinks about the show <obj> cause,gets a standing ovation,thinks about the show,cause
 takes a hot bath cause Dries off,<triplet>  takes a hot bath <subj> Dries off <obj> cause,takes a hot bath,Dries off,cause
 cleans the yard cause gets paid,<triplet>  cleans the yard <subj> gets paid <obj> cause,cleans the yard,gets paid,cause
 gets near  cause  feels close to ,<triplet>  gets near  <subj>  feels close to  <obj> cause,gets near,feels close to,cause
 teaches the class cause They clarify points in the lecture,<triplet>  teaches the class <subj> They clarify points in the lecture <obj> cause,teaches the class,They clarify points in the lecture,cause
 puts  in the car cause  provides safety to baby,<triplet>  puts in the car <subj>  provides safety to baby <obj> cause,puts in the car,provides safety to baby,cause
 carries the  alone cause sadness,<triplet>  carries the alone <subj> sadness <obj> cause,carries the alone,sadness,cause
 works with kids cause Children play games and complete tasks,<triplet>  works with kids <subj> Children play games and complete tasks <obj> cause,works with kids,Children play games and complete tasks,cause
 is a little boy cause becomes man,<triplet>  is a little boy <subj> becomes man <obj> cause,is a little boy,becomes man,cause
 has lost weight cause feels good,<triplet>  has lost weight <subj> feels good <obj> cause,has lost weight,feels good,cause
 returns the dog cause smiles,<triplet>  returns the dog <subj> smiles <obj> cause,returns the dog,smiles,cause
 taps  cause jump in shock,<triplet>  taps  <subj> jump in shock <obj> cause,taps,jump in shock,cause
 has a bowl of cereal cause tastes the cereal flavor,<triplet>  has a bowl of cereal <subj> tastes the cereal flavor <obj> cause,has a bowl of cereal,tastes the cereal flavor,cause
 lives far away cause takes roadtrips,<triplet>  lives far away <subj> takes roadtrips <obj> cause,lives far away,takes roadtrips,cause
 talks to a friend cause smiles and laughs,<triplet>  talks to a friend <subj> smiles and laughs <obj> cause,talks to a friend,smiles and laughs,cause
 makes it snappy cause angry to other,<triplet>  makes it snappy <subj> angry to other <obj> cause,makes it snappy,angry to other,cause
