Text,Max_Similarity,Relation,Average_Similarity
"That would be a huge problem if it were to continue, because Unisys is betting its business on the assumption that customers want to move away from using operating systems that run on only one manufacturer's equipment and toward systems -- mainly Unix -- that work on almost anyone's machines.    ",,cause,0.76741755
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.7221428
"The government is introducing a new law to protect the rights of the disabled, in an effort to ensure access to services and equal opportunities.",,intend,0.7766579
"Thomas Spiegel, Columbia's chairman, said in a statement that the thrift was "" disappointed"" by the effects of the accounting changes. ",,cause,0.7649197
The government passed a law to increase funding for public education in an effort to improve educational outcomes.,,intend,0.70525295
"By acquiring the shares, Lawrence Group increased its stake in Lawrence Insurance to 93.2% from 91.2%. ",,cause,0.744036
The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.,,cause,0.770463
"The government passed a law to increase access to clean water, in an effort to improve public health.",,intend,0.75457704
The government has implemented a series of reforms to promote media freedom and reduce censorship.,,intend,0.7636387
"National Intergroup in the year-ago third quarter earned $22.5 million, or 97 cents a share, including a gain of $18 million from the sale of a steel tube company. ",,cause,0.687405
"The government passed a law to increase taxes on the wealthy, in an effort to reduce income inequality.",,intend,0.7172693
"Replied State Department deputy spokesman Richard Boucher, ``Wehave n't  really analyzed the statement in detail but it appears tobe just another example of his outlandish rhetoric and his attempts to distort the truth.   ",,intend,0.71690005
"The government has passed a law to increase access to clean air, in an effort to reduce air pollution and improve public health.",,intend,0.7651415
"The government is introducing a new law to protect the rights of minorities, in an effort to promote social inclusion and combat racism.",,intend,0.7968809
The United States and its allies launched a military campaign to liberate Kuwait and restore its sovereignty.,,intend,0.7125458
"The government passed a law to increase access to education, in an effort to reduce inequality and promote social mobility.",,intend,0.7523425
His move was aimed at increasing public awareness of the need for political reform.,,intend,0.7624717
The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.,,cause,0.67261297
The government passed a law to increase the availability of renewable energy sources in order to reduce air pollution and conserve natural resources.,,intend,0.7854525
The prime minister proposed a new trade agreement to open up markets and create jobs.,,intend,0.73686516
"Columbia also added $227.3 million to reserves for losses on the portfolio, increasing general reserves to $300 million, or about 6.7% of the total portfolio, as of Sept. 30. ",,cause,0.7230126
"The government is introducing a new law to protect the rights of consumers, in an effort to ensure fair pricing and quality products.",,intend,0.7870022
"The government is introducing a new law to protect the rights of immigrants, in an effort to ensure fair treatment and access to services.",,intend,0.7930218
"The government has introduced a new program to provide free education to all children, in an effort to reduce inequality and promote social mobility.",,intend,0.7734574
The government passed a law to protect the rights of religious minorities and ensure equal access to public services.,,intend,0.76430625
"At a news conference, Mr. Fournier accused Paribas of planning to pay for the takeover by selling parts of the company, whose interests include insurance, banking, tuna canning, sugar and orange juice.    ",,cause,0.75772244
The government passed a law to increase access to job training and reduce unemployment.,,intend,0.7363819
"The government passed a law to increase the number of job training programs, in an effort to increase employment opportunities.",,intend,0.7251393
"Valley Federal Savings amp Loan Association took an $89.9 million charge as it reported a third-quarter loss of $70.7 million, or $12.09 a share.    ",,cause,0.70177543
The government has implemented a series of reforms to promote free and fair elections and reduce political interference.,,intend,0.7868961
The government has implemented a series of reforms to strengthen the rule of law and promote judicial independence.,,intend,0.7557039
The government passed a law to protect the environment in an effort to reduce pollution.,,intend,0.73994136
"It's an ideal example of how an individual voice can be magnified to create awareness for a good cause and ignite action among millions by using a site like Facebook. """,,cause,0.84613
Courtaulds PLC announced plans to spin off its textiles operations to existing shareholders in a restructuring to boost shareholder value.,,intend,0.756018
The government passed a law to protect the rights of people with disabilities and ensure their access to services.,,intend,0.76339686
The government passed a law to increase access to financial services in an effort to promote economic growth.,,intend,0.7471174
The government passed a law to increase access to financial services in an effort to reduce inequality.,,intend,0.7453411
"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ",,intend,0.76559687
"The government is introducing a new law to protect the environment, in an effort to reduce pollution and promote sustainable development.",,intend,0.7764658
The president has declared a state of emergency in response to the recent outbreak of violence in the region.,,intend,0.70396125
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.7221428
"The government passed a law to increase the number of tax incentives for businesses, in an effort to stimulate economic growth.",,intend,0.73216295
"Concern about declines in other markets, especially New York, caused selling pressure.    ",,cause,0.75622547
The government passed a law to increase access to healthcare in an effort to reduce infant mortality.,,intend,0.7508038
The government passed a law to protect the rights of victims of discrimination in housing and ensure their access to services.,,intend,0.76633847
"The government passed a law to reduce the number of hours worked, in an effort to reduce unemployment.",,intend,0.7214274
The government launched a campaign to reduce discrimination in the workplace.,,intend,0.74392915
"The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls.",,cause,0.7318131
"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",,cause,0.7529794
The government has implemented a series of reforms to promote gender equality and reduce gender-based violence.,,intend,0.78081113
"The government has introduced a new law to protect the rights of the elderly, in an effort to ensure access to quality healthcare and social services.",,intend,0.7836707
"The government has passed a law to increase access to healthcare, in an effort to reduce health disparities.",,intend,0.747687
"The government passed a law to increase access to voting rights, in an effort to ensure equal representation.",,intend,0.75874007
