corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,id1,01,0,prevents_our_data_0_01,The government has implemented a series of laws to protect workers from unfair labor practices.,"[""The government has implemented a series of <ARG0>Laws</ARG0> to protect workers from <ARG1>Unfair Labor Practices</ARG1>.""]",1
cnc,id2,02,0,prevents_our_data_0_02,The government has implemented a series of laws to protect the environment from pollution.,"[""The government has implemented a series of <ARG0>Laws</ARG0> to protect the environment from <ARG1>Pollution</ARG1>.""]",1
cnc,id3,03,0,prevents_our_data_0_03,The government has implemented a series of laws to protect the public from dangerous products.,"[""The government has implemented a series of <ARG0>Laws</ARG0> to protect the public from <ARG1>Dangerous Products</ARG1>.""]",1
cnc,id4,04,0,prevents_our_data_0_04,The government has implemented a series of laws to protect the public from fraudulent financial practices.,"[""The government has implemented a series of <ARG0>Laws</ARG0> to protect the public from <ARG1>Fraudulent Financial Practices</ARG1>.""]",1
cnc,id5,05,0,prevents_our_data_0_05,"The government has implemented a series of measures to prevent the illegal trafficking of drugs, including increased border security and increased penalties.","[""The government has implemented a series of <ARG0>Measures</ARG0> to prevent the illegal <ARG1>Trafficking</ARG1> of drugs, including increased border security and increased penalties.""]",1
cnc,id6,06,0,prevents_our_data_0_06,"The government has implemented a series of measures to prevent the illegal trafficking of people, including increased border security and increased penalties.","[""The government has implemented a series of measures to prevent the illegal <ARG1>Trafficking</ARG1> of people, including increased border <ARG0>Security</ARG0> and increased penalties.""]",1
cnc,id7,07,0,prevents_our_data_0_07,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.,"[""The United States has imposed economic <ARG0>Sanctions</ARG0> on North Korea in an effort to prevent the country from developing <ARG1>Nuclear</ARG1> weapons.""]",1
cnc,id8,08,0,prevents_our_data_0_08,The United Nations has imposed an arms embargo on Sudan in an effort to prevent further violence and human rights abuses.,"[""The United Nations has imposed an arms <ARG0>Embargo</ARG0> on Sudan in an effort to prevent further <ARG1>Violence</ARG1> and human rights abuses.""]",1
cnc,id9,09,0,prevents_our_data_0_09,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from destabilizing the region.,"[""The United Nations has imposed an <ARG0>Arms embargo</ARG0> on Libya in an effort to prevent the country from <ARG1>Destabilizing</ARG1> the region.""]",1
cnc,id10,010,0,prevents_our_data_0_010,The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,"[""The United States has imposed <ARG0>Economic sanctions</ARG0> on Iran in an effort to prevent the country from developing <ARG1>Nuclear weapons</ARG1>.""]",1
