corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
AFPNEWS,train0,01,0,enable_our_data_0_01,"""But the minute there's a new international arrest warrant from Italy, which was approved by the Supreme Federal Court of Brazil, the Brazilian federal police can no longer order the expulsion"" he explained.","[""But the minute theres a new international <ARG0>arrest</ARG0> warrant from Italy, which was <SIG0>approve</SIG0>d by the Supreme Federal Court of Brazil, the Brazilian federal police can no longer order the <ARG1>expulsion</ARG1> he explained.""]",1
AFPNEWS,train1,02,0,enable_our_data_0_02,Banks using The Temenos Banking Cloud have benefited from instant and massive scalability.,"[""Banks using The Temenos Banking <ARG0>cloud</ARG0> have <SIG0>benefit</SIG0>ed from instant and massive <ARG1>scalability</ARG1>.""]",1
AFPNEWS,train2,03,0,enable_our_data_0_03,We continue to rapidly grow our partner network and since 2020 have certified more than a thousand consultants as o9 implementers.,"[""We continue to rapidly grow our partner <ARG0>network</ARG0> and since 2020 have certified more than a thousand consultants as o9 <ARG1>implementers</ARG1>.""]",1
AFPNEWS,train3,04,0,enable_our_data_0_04,It was a surprise move that could clear the way for a strong run by ultraconservative judiciary chief Ebrahim Raisi.,"[""It was a surprise <ARG0>move</ARG0> that could <SIG0>clear</SIG0> the way for a strong <ARG1>run</ARG1> by ultraconservative judiciary chief Ebrahim Raisi.""]",1
AFPNEWS,train4,05,0,enable_our_data_0_05,"With The Temenos Banking Cloud, we empower banks to digitally transform and massively scale faster than ever.""","[""With The Temenos Banking <ARG0>cloud</ARG0>, we <SIG0>empower</SIG0> banks to digitally transform and massively <ARG1>scale</ARG1> faster than ever.""]",1
AFPNEWS,train5,06,0,enable_our_data_0_06,"The Sandbox includes access to Temenos Banking Services, Temenos MarketPlace, example data, and integration tools to enable banks to configure new products.","[""The <ARG0>Sandbox</ARG0> includes access to Temenos Banking Services, Temenos MarketPlace, example data, and integration tools to <SIG0>enable</SIG0> banks to <ARG1>configure</ARG1> new products.""]",1
AFPNEWS,train6,07,0,enable_our_data_0_07,"Among individual companies, Amazon edged up 0.1 percent after announcing it would acquire the storied MGM studios for $8.45 billion, giving the US tech giant a vast library to further its ambitions in streaming.","[""Among individual companies, Amazon edged up 0.1 percent after announcing it would <ARG0>acquire</ARG0> the storied MGM studios for $8.45 billion, giving the US tech giant a vast library to further its <ARG1>ambitions</ARG1> in streaming.""]",1
AFPNEWS,train7,08,0,enable_our_data_0_08,"Migrant workers in Lebanon have been hit hard by its multiple crises and half of them left jobless, the UN warned Wednesday, calling for voluntary returns to be scaled up.","[""Migrant workers in Lebanon have been hit hard by its multiple <ARG0>crises</ARG0> and half of them left <ARG1>jobless</ARG1>, the UN warned Wednesday, calling for voluntary returns to be scaled up.""]",1
AFPNEWS,train8,09,0,enable_our_data_0_09,"Analysts greeted reports that Senate Republicans plan to lift their infrastructure package to $1 trillion, bringing them somewhat closer to President Joe Biden's latest offer costing $1.7 trillion.","[""Analysts greeted reports that Senate Republicans <ARG0>plan</ARG0> to <SIG0>lift</SIG0> their infrastructure package to $1 trillion, bringing them somewhat closer to President Joe Bidens latest <ARG1>offer</ARG1> costing $1.7 trillion.""]",1
AFPNEWS,train9,010,0,enable_our_data_0_010,"This is the second time the fragmented centre-left opposition has failed to pass a no-confidence motion against him, their first attempt having fallen in February.","[""This is the second time the fragmented centre-left <ARG0>opposition</ARG0> has failed to <SIG0>pass</SIG0> a no-confidence <ARG1>motion</ARG1> against him, their first attempt having fallen in February.""]",1
AFPNEWS,train10,011,0,enable_our_data_0_011,"The US State Department said it had been advised, including by public health professionals in Britain, that its health protocols ""would permit us to continue with our G7 activities as planned"".","[""The US State Department said it had been advised, including by public health professionals in Britain, that its health <ARG0>protocols</ARG0> would <SIG0>permit</SIG0> us to continue with our G7 <ARG1>activities</ARG1> as planned.""]",1
AFPNEWS,train11,012,0,enable_our_data_0_012,"For students and educators, AWS will provide higher education institutions and their educators with cloud computing courses to prepare students to pursue industry-recognized certifications and careers in cloud. computing.","[""For students and educators, AWS will provide higher education institutions and their educators with cloud computing <ARG0>courses</ARG0> to <SIG0>prepare</SIG0> students to pursue industry-recognized certifications and <ARG1>careers</ARG1> in cloud. computing.""]",1
AFPNEWS,train12,013,0,enable_our_data_0_013,It has been providing abundant opportunities to enhance competitive edge within the convergence industry centered around biotechnology.,"[""It has been providing abundant <ARG0>opportunities</ARG0> to <SIG0>enhance</SIG0> competitive <ARG1>edge</ARG1> within the convergence industry centered around biotechnology.""]",1
AFPNEWS,train14,015,0,enable_our_data_0_015,"The Temenos Banking Cloud is powered by an Explainable AI engine with advanced data analytics, so banks can test, report and measure product performance, and gain insight to support business decisions and product design.","[""The Temenos Banking Cloud is powered by an Explainable AI engine with advanced <ARG0>data analytics</ARG0>, so banks can test, report and measure product performance, and gain insight to <SIG0>support</SIG0> business <ARG1>decisions</ARG1> and product design.""]",1
AFPNEWS,train15,016,0,enable_our_data_0_016,"At the same time the EASA said it did not believe the safety concern relating to the incident comprised an ""unsafe condition"" that would warrant a safety directive which would force airlines to comply.","[""At the same time the EASA said it did not believe the safety concern relating to the incident comprised an unsafe condition that would <SIG0>warrant</SIG0> a safety <ARG0>directive</ARG0> which would force airlines to <ARG1>comply</ARG1>.""]",1
AFPNEWS,train16,017,0,enable_our_data_0_017,"But this list was accompanied by new demands which France's fisheries ministry has said were not arranged or discussed with Paris, effectively creating new zoning rules for the waters near Jersey.","[""But this list was accompanied by new <ARG0>demands</ARG0> which Frances fisheries ministry has said were not <SIG0>arrange</SIG0>d or discussed with Paris, effectively creating new zoning <ARG1>rules</ARG1> for the waters near Jersey.""]",1
AFPNEWS,train17,018,0,enable_our_data_0_018,"Police are authorised to carry out random spot checks to ensure that quarantine rules are respected, with non-compliance punished with fines of up to 1,500 euros ($1,800).","[""Police are <SIG0>authorise</SIG0>d to carry out random spot <ARG0>checks</ARG0> to ensure that <ARG1>quarantine</ARG1> rules are respected, with non-compliance punished with fines of up to 1,500 euros ($1,800).""]",1
AFPNEWS,train18,019,0,enable_our_data_0_019,"Over 700 financial institutions use Temenos SaaS such as Al Ain Finance, Alpian, Flowbank, Flowe, Itau, Orange Bank and they will now benefit from all the new rich features of The Temenos Banking Cloud.","[""Over 700 financial institutions use Temenos <ARG0>SaaS</ARG0> such as Al Ain Finance, Alpian, Flowbank, Flowe, Itau, Orange Bank and they will now <SIG0>benefit</SIG0> from all the new rich features of The Temenos Banking <ARG1>cloud</ARG1>.""]",1
AFPNEWS,train19,020,0,enable_our_data_0_020,National electricity company spokesman Mostafa Rajabi Mashhadi said on Saturday that licensed cryptocurrency-mining farms had already voluntarily shut down operations to ease the burden.,"[""National electricity company spokesman Mostafa Rajabi Mashhadi said on Saturday that licensed cryptocurrency-mining farms had already voluntarily shut down <ARG0>operations</ARG0> to <SIG0>ease</SIG0> the <ARG1>burden</ARG1>.""]",1
AFPNEWS,train20,021,0,enable_our_data_0_021,"Through this acquisition, Amazon would empower MGM to continue to do what they do best: great storytelling.""","[""Through this <ARG0>acquisition</ARG0>, Amazon would <SIG0>empower</SIG0> MGM to continue to do what they do best: great <ARG1>storytelling</ARG1>.""]",1
AFPNEWS,train23,024,0,enable_our_data_0_024,"We are putting banks in control of their business models and innovation cycles, giving them the agility and speed to build great customer products and profitable businesses.","[""We are putting banks in <ARG0>control</ARG0> of their business models and innovation cycles, giving them the agility and speed to build great customer products and profitable <ARG1>businesses</ARG1>.""]",1
AFPNEWS,train24,025,0,enable_our_data_0_025,China's central bank also granted a $1.5 billion currency swap to finance imports from China in February as the rupee hit a record low of 202.73 to the dollar.,"[""Chinas central <ARG0>bank</ARG0> also <SIG0>grant</SIG0>ed a $1.5 billion currency swap to <ARG1>finance</ARG1> imports from China in February as the rupee hit a record low of 202.73 to the dollar.""]",1
AFPNEWS,train25,026,0,enable_our_data_0_026,Hyper-Personalized Recommendations will also help increase the matchmaking accuracy and enable companies to seize business opportunities effectively.,"[""<ARG0>Hyper-Personalized</ARG0> Recommendations will also <SIG0>help</SIG0> increase the <ARG1>matchmaking</ARG1> accuracy and enable companies to seize business opportunities effectively.""]",1
AFPNEWS,train26,027,0,enable_our_data_0_027,"These clients also invest 51% of their IT budget on growth and innovation versus maintenance, which is double the industry average, proving the banks' IT investment is adding tangible value to their business.","[""These <ARG0>clients</ARG0> also <SIG0>invest</SIG0> 51% of their IT budget on growth and innovation versus maintenance, which is double the industry average, proving the banks IT <SIG0>invest</SIG0>ment is adding tangible <ARG1>value</ARG1> to their business.""]",1
