corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,id166944,166944,0,cause_atomic_0_0,PersonX expresses every  cause is exhausted,"[""<ARG0>PersonX expresses every </ARG0> cause <ARG1>is exhausted</ARG1>""]",1
cnc,id344744,344744,0,cause_atomic_0_0,PersonX loans PersonY cause is given encouragement,"[""<ARG0>PersonX loans PersonY</ARG0> cause <ARG1>is given encouragement</ARG1>""]",1
cnc,id154722,154722,0,cause_atomic_0_0,PersonX delivers newspapers cause gets paid,"[""<ARG0>PersonX delivers newspapers</ARG0> cause <ARG1>gets paid</ARG1>""]",1
cnc,id311231,311231,0,cause_atomic_0_0,PersonX teaches  to write cause Gains loyal surdents,"[""<ARG0>PersonX teaches to write</ARG0> cause <ARG1>Gains loyal surdents</ARG1>""]",1
cnc,id169082,169082,0,cause_atomic_0_0,PersonX feels silly cause Relaxes around PersonX,"[""<ARG0>PersonX feels silly</ARG0> cause <ARG1>Relaxes around PersonX</ARG1>""]",1
cnc,id343338,343338,0,cause_atomic_0_0,PersonX is cheating on PersonY cause has worried thoughts,"[""<ARG0>PersonX is cheating on PersonY</ARG0> cause <ARG1>has worried thoughts</ARG1>""]",1
cnc,id228165,228165,0,cause_atomic_0_0,PersonX leaves heading to PersonY cause OF ADMIRED,"[""<ARG0>PersonX leaves heading to PersonY</ARG0> cause <ARG1>OF ADMIRED</ARG1>""]",1
cnc,id235880,235880,0,cause_atomic_0_0,PersonX lowers the boom cause gauges the levels of the boom,"[""<ARG0>PersonX lowers the boom</ARG0> cause <ARG1>gauges the levels of the boom</ARG1>""]",1
cnc,id293561,293561,0,cause_atomic_0_0,PersonX stands behind PersonY cause hears a noise,"[""<ARG0>PersonX stands behind PersonY</ARG0> cause <ARG1>hears a noise</ARG1>""]",1
cnc,id263421,263421,0,cause_atomic_0_0,PersonX protects the  from injury cause are safe again,"[""<ARG0>PersonX protects the from injury</ARG0> cause <ARG1>are safe again</ARG1>""]",1
cnc,id204429,204429,0,cause_atomic_0_0,PersonX hears  since cause forget about the incident,"[""<ARG0>PersonX hears since</ARG0> cause <ARG1>forget about the incident</ARG1>""]",1
cnc,id167310,167310,0,cause_atomic_0_0,PersonX falls asleep early cause gets a good nights rest,"[""<ARG0>PersonX falls asleep early</ARG0> cause <ARG1>gets a good nights rest</ARG1>""]",1
cnc,id253419,253419,0,cause_atomic_0_0,PersonX pays  to the subject cause PersonX gets a job,"[""<ARG0>PersonX pays to the subject</ARG0> cause <ARG1>PersonX gets a job</ARG1>""]",1
cnc,id254827,254827,0,cause_atomic_0_0,PersonX persuades the  to accept cause Gains job security,"[""<ARG0>PersonX persuades the to accept</ARG0> cause <ARG1>Gains job security</ARG1>""]",1
cnc,id212386,212386,0,cause_atomic_0_0,PersonX is at summer camp cause plays new activities,"[""<ARG0>PersonX is at summer camp</ARG0> cause <ARG1>plays new activities</ARG1>""]",1
cnc,id221420,221420,0,cause_atomic_0_0,PersonX keeps PersonY on ice cause teeth chatter,"[""<ARG0>PersonX keeps PersonY on ice</ARG0> cause <ARG1>teeth chatter</ARG1>""]",1
cnc,id322625,322625,0,cause_atomic_0_0,PersonX utilizes every  cause sad,"[""<ARG0>PersonX utilizes every </ARG0> cause <ARG1>sad</ARG1>""]",1
cnc,id214193,214193,0,cause_atomic_0_0,PersonX is going for a walk cause leaves the house,"[""<ARG0>PersonX is going for a walk</ARG0> cause <ARG1>leaves the house</ARG1>""]",1
cnc,id226477,226477,0,cause_atomic_0_0,PersonX leans towards PersonY cause gets irritate,"[""<ARG0>PersonX leans towards PersonY</ARG0> cause <ARG1>gets irritate</ARG1>""]",1
cnc,id214170,214170,0,cause_atomic_0_0,PersonX is glad to see the back of  cause runs up to it,"[""<ARG0>PersonX is glad to see the back of </ARG0> cause <ARG1>runs up to it</ARG1>""]",1
cnc,id318442,318442,0,cause_atomic_0_0,PersonX tries and make cause accomplishes his goal,"[""<ARG0>PersonX tries and make</ARG0> cause <ARG1>accomplishes his goal</ARG1>""]",1
cnc,id262145,262145,0,cause_atomic_0_0,PersonX prevents  from arising cause He reads,"[""<ARG0>PersonX prevents from arising</ARG0> cause <ARG1>He reads</ARG1>""]",1
cnc,id292615,292615,0,cause_atomic_0_0,PersonX spends the  alone cause needs a change,"[""<ARG0>PersonX spends the alone</ARG0> cause <ARG1>needs a change</ARG1>""]",1
cnc,id200289,200289,0,cause_atomic_0_0,PersonX has a broken leg cause PersonX has to get a cast,"[""<ARG0>PersonX has a broken leg</ARG0> cause <ARG1>PersonX has to get a cast</ARG1>""]",1
cnc,id261327,261327,0,cause_atomic_0_0,PersonX preaches the  to the poor cause start to believe in god,"[""<ARG0>PersonX preaches the to the poor</ARG0> cause <ARG1>start to believe in god</ARG1>""]",1
cnc,id132548,132548,0,cause_atomic_0_0,PersonX boils  on the stove cause it make good understaning,"[""<ARG0>PersonX boils on the stove</ARG0> cause <ARG1>it make good understaning</ARG1>""]",1
cnc,id136090,136090,0,cause_atomic_0_0,PersonX burns within PersonY cause TO HARDLY WORK,"[""<ARG0>PersonX burns within PersonY</ARG0> cause <ARG1>TO HARDLY WORK</ARG1>""]",1
cnc,id122045,122045,0,cause_atomic_0_0,PersonX allocates  efficiently cause has to work,"[""<ARG0>PersonX allocates efficiently</ARG0> cause <ARG1>has to work</ARG1>""]",1
cnc,id124912,124912,0,cause_atomic_0_0,PersonX asks PersonY for help cause gets nervous,"[""<ARG0>PersonX asks PersonY for help</ARG0> cause <ARG1>gets nervous</ARG1>""]",1
