corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs,label
cnc,train_10_127,3086,0,cnc_train_10_127_3086_0,"Crackers , drumbeats welcome Rahul ascendancy to Vice President 19th January 2013 09:25 PM Hundreds of Youth Congress and NSUI supporters Saturday welcomed the elevation of Rahul Gandhi as the Congress Vice President by bursting crackers and beating drums outside the venue of the ' Chintan Shivir ' here .",[],0,0
cnc,train_01_161,1462,0,cnc_train_01_161_1462_0,"Two days before the attack , local police arrested Tohtunyaz , Ehet and Muhammad as they tried to illegally cross into Vietnam via Honghe county , the court said .","['Two days before the attack , <ARG1>local police arrested Tohtunyaz , Ehet and Muhammad</ARG1> <SIG0>as</SIG0> <ARG0>they tried to illegally cross into Vietnam via Honghe county</ARG0> , the court said .']",1,1
cnc,train_05_265,972,0,cnc_train_05_265_972_0,"26th April 2014 09:26 AM Nearly three months after an AIADMK functionary was chased and hacked to death in full public view near the busy Chengalpattu government hospital , the victim ’ s wife and relatives staged a hunger strike demanding that the police arrest those who masterminded the murder .","['26th April 2014 09:26 AM Nearly three months after an AIADMK functionary was chased and hacked to death in full public view near the busy Chengalpattu government hospital , <ARG1>the victim ’ s wife and relatives staged a hunger strike</ARG1> <ARG0><SIG0>demanding</SIG0> that the police arrest those who masterminded the murder</ARG0> .']",1,2
cnc,train_05_268,1656,0,cnc_train_05_268_1656_0,"Subsequently , the police arrested six persons in connection with the murder and eight others turned themselves in .","['Subsequently , <ARG1>the police arrested six persons</ARG1> <ARG0><SIG0>in connection with</SIG0> the murder and eight others turned themselves in</ARG0> .']",1,3
NEWS,train139,140,0,cause_our_data_0_0140,"In a statement prepared by lawyers for the university and Connaught, the parties said they agreed that as a result of reaching a C415 million research accord, ""It is unnecessary that there be a judgment on the merits {of the case} at this time.""    ",[],0,0
cnc,train_08_46,500,0,cnc_train_08_46_500_0,The police also arrested 79 persons at Surandai and 80 others at Paavoorchathram when they tried to tap toddy .,['<ARG1>The police also arrested 79 persons at Surandai and 80 others at Paavoorchathram</ARG1> when <ARG0>they tried to tap toddy</ARG0> .'],1,0
cnc,train_03_183,3119,0,cnc_train_03_183_3119_0,"Taking strong exception to the inordinate delay in release of the promised compensation for crop loss in the August 2005 floods , nearly 50 farmers , led by the Telugu Desam Party MPTC member Gurumurthy and local CPI - ( M ) leaders Krishna Babu and Kondala Babu , squatted before the MRO .","['<ARG0><SIG0>Taking</SIG0> strong exception to the inordinate delay in release of the promised compensation for crop loss in the August 2005 floods</ARG0> , <ARG1>nearly 50 farmers , led by the Telugu Desam Party MPTC member Gurumurthy and local CPI - ( M ) leaders Krishna Babu and Kondala Babu , squatted before the MRO</ARG1> .']",1,0
cnc,train_05_136,1797,0,cnc_train_05_136_1797_0,He has been accused of using a slingshot during the # FeesMustFall protests in Durban and was arrested during running battles with police on September 27 last year .,['<ARG0>He has been accused of using a slingshot during the # FeesMustFall protests in Durban</ARG0> and <ARG1>was arrested during running battles with police on September 27 last year</ARG1> .'],1,0
cnc,train_06_179,1472,0,cnc_train_06_179_1472_0,"15th September 2015 05:49 AM THIRUVANANTHAPURAM : With the government appearing to be in no mood to meet the demand of the doctors of the health service , the Kerala Government Medical Officers Association spearheading the hunger strike in front of the state secretariat has called for intensifying the agitation in the coming days .","['15th September 2015 05:49 AM THIRUVANANTHAPURAM : <SIG0>With</SIG0> <ARG0>the government appearing to be in no mood to meet the demand of the doctors of the health service</ARG0> , <ARG1>the Kerala Government Medical Officers Association spearheading the hunger strike in front of the state secretariat has called for intensifying the agitation in the coming days</ARG1> .']",1,0
NEWS,train323,324,0,cause_our_data_0_0324,Investigators have spoken with consumers and conducted preliminary field work.,[],0,0
NEWS,train1,2,0,prevent_our_data_0_02,"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ","[""Subcontractors  will  be offered a settlement and a swift <ARG0>transition</ARG0> to new management  is expected  to avert an <ARG1>exodus</ARG1> of skilled workers from Waertsilae Marines two big shipyards, government officials said.""]",1,0
cnc,train_07_205,1253,0,cnc_train_07_205_1253_0,"September 22 , 2016 00:00 IST Ahmad writes to Rajnath on violence by vigilante groups National Commission for Minorities ( NCM ) chairperson Naseem Ahmad has written to Union Home Minister Rajnath Singh , expressing concern at the growing violence against Muslims by vigilante groups and has urged the Minister to work towards creating a sense of security amongst the minorities .","['September 22 , 2016 00:00 IST Ahmad writes to Rajnath on violence by vigilante groups <ARG1>National Commission for Minorities ( NCM ) chairperson Naseem Ahmad has written to Union Home Minister Rajnath Singh</ARG1> , <ARG0>expressing concern at the growing violence against Muslims by vigilante groups and has urged the Minister to work towards creating a sense of security amongst the minorities</ARG0> .', 'September 22 , 2016 00:00 IST Ahmad writes to Rajnath on violence by vigilante groups National Commission for Minorities ( NCM ) chairperson Naseem Ahmad has written to Union Home Minister Rajnath Singh , <ARG1>expressing concern</ARG1> <SIG0>at</SIG0> <ARG0>the growing violence against Muslims by vigilante groups</ARG0> and has urged the Minister to work towards creating a sense of security amongst the minorities .']",2,0
cnc,train_02_18,2121,0,cnc_train_02_18_2121_0,The traffic on Rohtak-Jhajjar highway remained disrupted prompting police to divert vehicles to other routes .,['<ARG0>The traffic on Rohtak-Jhajjar highway remained disrupted</ARG0> <ARG1><SIG0>prompting</SIG0> police to divert vehicles to other routes</ARG1> .'],1,0
cnc,train_01_190,473,0,cnc_train_01_190_473_0,"Tiruvannamalai : Cab drivers , owners take out rally May 22 , 2012 00:00 IST Tourist cab drivers and owners took out a rally here on Monday demanding to scrap lifetime tax system introduced by Tamil Nadu government .","['Tiruvannamalai : Cab drivers , owners take out rally May 22 , 2012 00:00 IST <ARG1>Tourist cab drivers and owners took out a rally here on Monday</ARG1> <ARG0><SIG0>demanding to</SIG0> scrap lifetime tax system introduced by Tamil Nadu government</ARG0> .']",1,0
NEWS,train314,315,0,cause_our_data_0_0315,"The reality is that there is more demand than supply, and the increase in demand and decrease in supply is growing, so it makes a big difference how we're going to decide who's going to allocate water. ""","[""The reality is that there is more demand than supply, and the increase in demand and decrease in supply is <ARG0>growing</ARG0>, so it makes a big difference how were going to <ARG1>decide</ARG1> whos going to allocate water.""]",1,0
cnc,train_06_24,199,0,cnc_train_06_24_199_0,"Soon after the meeting , BJP legislators staged a dharna demanding Bhardwaj ’ s recall for his “ undemocratic conduct ” , even as the state Cabinet urged him to accord permission to convene a 10 - day legislature session from June 2 .","['Soon after the meeting , <ARG1>BJP legislators staged a dharna demanding Bhardwaj ’ s recall for his “ undemocratic conduct ”</ARG1> , <SIG0>even as</SIG0> <ARG0>the state Cabinet urged him to accord permission to convene a 10 - day legislature session from June 2</ARG0> .', 'Soon after the meeting , <ARG1>BJP legislators staged a dharna</ARG1> <ARG0><SIG0>demanding</SIG0> Bhardwaj ’ s recall for his “ undemocratic conduct ”</ARG0> , even as the state Cabinet urged him to accord permission to convene a 10 - day legislature session from June 2 .']",2,0
cnc,train_07_250,2676,0,cnc_train_07_250_2676_0,"The department said teachers who joined the protest march would face disciplinary action and that the no-work , no-pay rule would apply .","['The department said <ARG0>teachers who joined the protest march</ARG0> <ARG1>would face disciplinary action</ARG1> and that the no-work , no-pay rule would apply .']",1,0
cnc,train_03_109,632,0,cnc_train_03_109_632_0,The CPM workers too came out of the building to confront the protesters and a minor scuffle ensued .,['<ARG1>The CPM workers too came out of the building</ARG1> <ARG0><SIG0>to</SIG0> confront the protesters and a minor scuffle ensued</ARG0> .'],1,0
cnc,train_06_125,2643,0,cnc_train_06_125_2643_0," - Indian Express Express News Service , Express News Service : Sat Jul 14 2012 , 04:14 hrs On the continuing Naxal violence in the state , Patil admitted that despite heavy deployment of forces including the CRPF in Gadchiroli and other Naxal-hit areas , incidents of residents and policemen being killed have continued .",[],0,0
