,corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
0,atomic,id,0,0,intend_our_data_0_0,"PersonX abandons conventional career expectations altogether, intends to find a new job for him.","[""PersonX <ARG0>abandons</ARG0> conventional career expectations altogether, intends to <ARG1>find</ARG1> a new job for him.""]",0
1,atomic,id,0,0,intend_our_data_0_0,"PersonX abandons traditional gender roles altogether, intends to support them.","[""PersonX <ARG0>abandons</ARG0> traditional gender roles altogether, intends to <ARG1>support</ARG1> them.""]",0
2,atomic,id,0,0,cause_our_data_0_0,PersonX abandons conformity altogether cause Begins the process of change.,"[""PersonX <ARG0>abandons</ARG0> conformity altogether cause <ARG1>Begins</ARG1> the process of change.""]",0
3,atomic,id,0,0,intend_our_data_0_0,"PersonX abandons outdated business practices altogether, intends to put a stop to unethical exploitation.","[""PersonX <ARG0>abandons</ARG0> outdated business practices altogether, intends to <ARG1>put</ARG1> a stop to unethical exploitation.""]",0
4,atomic,id,0,0,intend_our_data_0_0,PersonX abandons conventional farming practices altogether intends to sell his land.,"[""PersonX <ARG0>abandons</ARG0> conventional farming practices altogether intends to <ARG1>Sell</ARG1> his land.""]",0
5,atomic,id,0,0,intend_our_data_0_0,PersonX abandons conventional expectations altogether intend to start something new.,"[""PersonX <ARG0>abandons</ARG0> conventional expectations altogether intend to <ARG1>start</ARG1> something new.""]",0
6,atomic,id,0,0,intend_our_data_0_0,PersonX abandons traditional expectations altogether intend to start fresh.,"[""PersonX <ARG0>abandons</ARG0> traditional expectations altogether intend to <ARG1>start</ARG1> fresh.""]",0
7,atomic,id,0,0,intend_our_data_0_0,PersonX abandons conventional career path altogether intend to find a new job.,"[""PersonX <ARG0>abandons</ARG0> conventional career path altogether intend to <ARG1>find</ARG1> a new job.""]",0
8,atomic,id,0,0,intend_our_data_0_0,PersonX abandons traditional lifestyle choices altogether intends to pursue alternative life paths as well.,"[""PersonX <ARG0>aban<ARG1>do</ARG1>ns</ARG0> traditional lifestyle choices altogether intends to pursue alternative life paths as well.""]",0
9,atomic,id,0,0,intend_our_data_0_0,"PersonX abandons traditional societal expectations altogether, intends to find something better.","[""PersonX <ARG0>abandons</ARG0> traditional societal expectations altogether, intends to <ARG1>find</ARG1> something better.""]",0
10,atomic,id,0,0,cause_our_data_0_0,"PersonX abandons traditional societal norms and expectations altogether, seeking a different alternative for their search.","[""PersonX <ARG0>abandons</ARG0> traditional societal norms and expectations altogether, seeking a different alternative for their <ARG1>search</ARG1>.""]",0
11,atomic,id,0,0,intend_our_data_0_0,"PersonX abandons traditional lifestyle altogether intends to find a new place, suggesting a desire for a fresh start or a change in personal circumstances.","[""PersonX <ARG0>abandons</ARG0> traditional lifestyle altogether intends to <ARG1>find</ARG1> a new place, suggesting a desire for a fresh start or a change in personal circumstances.""]",0
12,atomic,id,0,0,intend_our_data_0_0,PersonX abandons the conventional career path altogether intends to find something else to do.,"[""PersonX <ARG0>abandons</ARG0> the conventional career path altogether intends to <ARG1>find</ARG1> something else to do.""]",0
