Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,tag,label,tag_2,trigger1_index,trigger2_index,event1,event2
0,0,120,51,"The dividend increase was Du Pont's second this year, an affirmation of statements by top executives that they intend to increase rewards to shareholders. ",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0,intend,0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0,2,0,increase,The
1,1,336,267,The Nikkei index was pressured down by profit-taking triggered by sharp advances made through this week and fell 151.20 points to 35527.29.,0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,4,The,pressured
2,2,405,336,Israel criticized Turkey Monday for a Turkish television series that it said depicted Israeli intelligence agents as baby-snatchers.,0 effect 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0,cause,0 effect 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0,12,1,depicted,criticized
3,3,293,224,"Nonetheless, concern about the chip may have been responsible for a decline of 87.5 cents in Intel's stock to $32 a share yesterday in over-the-counter trading, on volume of 3,609,800 shares, and partly responsible for a drop in Compaq's stock in New York Stock Exchange composite trading on Wednesday. ",0 0 cause 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 trigger1 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,12,concern,decline
4,4,85,16,LIN Broadcasting surged 4 5/8 to 112 5/8; LIN and BellSouth sweetened their merger agreement in an attempt to keep shareholders from tendering their shares to McCaw Cellular Communications.,0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,12,23,sweetened,tendering
5,5,81,12,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.   ",0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,12,40,asked,carrying
6,6,507,3,It was a surprise move that could clear the way for a strong run by ultraconservative judiciary chief Ebrahim Raisi.,0 0 0 0 condition 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,enable,0 0 0 0 trigger1 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,4,13,move,run
7,7,318,249,"It received more offers, but the auction was surprisingly won by IMA, which bid $28 a share and asked Mr. Gilleland to stay on as an equity participant. ",0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,15,won,bid
8,8,287,218,Thatwould undermine any chances of rebuilding either Iraq or itsarmed forces in short order as long as Saddam Hussein remainsin power.,0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,1,Thatwould,undermine
9,9,347,278,"Mr. Vaux said that if no agreement is reached, other buyers will be sought by bid or auction. ",0 0 0 0 0 0 cause 0 0 0 0 0 0 0 effect 0 0 0 0 0,cause,0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 effect 0 0 0 0 0,6,14,agreement,sought
10,10,536,32,The US top diplomat already met with Israeli and Palestinian leaders to throw Washington's support behind the Friday truce that ended 11 days of heavy Israeli bombing of Gaza and rocket fire from the enclave into Israel.,0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,enable,0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,5,27,met,bombing
11,11,502,74,"""But this will prevent the European prosecutor from starting work,"" he insisted.",0 0 prevention 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent,0 0 trigger1 0 0 0 0 0 0 0 effect 0 0 0 0 0,2,10,this,work
12,12,505,1,Banks using The Temenos Banking Cloud have benefited from instant and massive scalability.,0 0 0 0 0 condition 0 0 0 0 0 0 effect 0,enable,0 0 0 0 0 trigger1 0 0 0 0 0 0 effect 0,5,12,Cloud,scalability
13,13,447,18,The move has been seen as part of efforts to shield the increasingly unpopular ruling United Russia party from real competition ahead of parliamentary elections in September.,0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,prevent,0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,1,20,move,competition
14,14,323,254,But the new pact will force huge debt on the new firm and could still fail to thwart rival suitor McCaw Cellular.,0 0 0 cause 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 trigger1 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3,5,pact,force
15,15,234,165,Ralston said its Eveready battery unit  was hurt by continuing economic problems in South America.,0 0 0 0 0 0 0 effect 0 cause 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 effect 0 trigger1 0 0 0 0 0 0,9,7,continuing,hurt
16,16,506,2,We continue to rapidly grow our partner network and since 2020 have certified more than a thousand consultants as o9 implementers.,0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,enable,0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,7,20,network,implementers
17,17,491,63,"Facebook and Instagram on Wednesday announced plans to let users stop displaying ""like"" tallies racked up by posts, letting people opt out of seeking status through the approval of others.",0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent,0 0 0 0 0 0 trigger1 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,11,plans,displaying
18,18,483,54,"Police also cited the coronavirus as a reason to ban the event, although Macau has recorded no cases in months.",0 0 0 0 prevention 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent,0 0 0 0 trigger1 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,4,11,coronavirus,event
19,19,601,97,"Amazon has agreed to buy the storied MGM studios for $8.45 billion, the companies said Wednesday, giving the US tech giant a vast content library to further its ambitions in streaming.",0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,enable,0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,4,31,buy,ambitions
20,20,272,203,"Thomas Spiegel, Columbia's chairman, said in a statement that the thrift was "" disappointed"" by the effects of the accounting changes. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 cause 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 trigger1 0,24,16,changes,disappointed
21,21,343,274,"Moreover, the price volatility that is amplified by program trading is undercutting efforts to woo individual investors back to an OTC market that sorely misses them.    ",0 0 0 0 0 0 0 effect 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 effect 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,7,trading,amplified
22,22,344,275,"Peter DaPuzzo, head of retail equity trading at Shearson Lehman Hutton, acknowledges that he wasn't troubled by program trading when it began in the pre-crash bull market because it added liquidity and people were pleased to see stock prices rising.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0,34,18,and,troubled
23,23,420,351,"They've revisited the idea of censorship and the price they're paying is too high, "" says Roseann Rife of Amnesty International.""",0 0 cause 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 trigger1 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0,2,12,revisited,paying
24,24,542,38,"""There are very specific entry and movement rules and procedures which the organisers have laid out in order to ensure the protection of everyone involved,"" she added.",0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,enable,0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,8,22,rules,protection
25,25,527,23,"We are putting banks in control of their business models and innovation cycles, giving them the agility and speed to build great customer products and profitable businesses.",0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,enable,0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,5,27,control,businesses
26,26,496,68,"Traditional pumps may contain different materials, including metal components that can in some cases complicate the recycling process.",0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,prevent,0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,1,17,pumps,recycling
27,27,556,52,"Tools being added to the services will let users turn off ""like"" features on individual posts or all of them, according to Mosseri.",condition 0 0 0 0 0 0 0 0 effect effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable,trigger1 0 0 0 0 0 0 0 0 effect effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,9,Tools,turn
28,28,157,88,"Under terms of the new proposal, Equus, managed by Equus Capital Corp., Houston, would pay $12 cash and one new preferred share with a liquidation preference of $1.65 a share for each of Tony Lama's 2.1 million shares outstanding. ",0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,18,proposal,pay
29,29,269,200,"The companies said the transaction is being structured this way because the laws of the Netherlands Antilles, under which Erbamont is organized, do n't provide for merger transactions. ",0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0,cause,0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0,26,7,provide,structured
30,30,21,21,Dealers said the multinational oil company was pressured by recent brokerage recommendations urging investors to switch into Shell Trading amp Transport.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,Dealers,Dealers
31,31,158,89,"The Kearny, N.J.-based maker of hair accessories and other cosmetic products said it cut the dividend due to its third-quarter loss of $992,000, or 15 cents a share. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0,23,14,$,cut
32,32,557,53,"""Our analytics aim to provide transparency for the market on how businesses' operations may affect biodiversity, their dependency on natural systems, and to what extent companies are taking steps to mitigate these impacts across their value chains.""",0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable,0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,17,analytics,biodiversity
33,33,108,39,"Pentagon sources in Washington meanwhile said the Bushadministration plans  to deploy 45,000 Marines to the region to backup the thousands of Army, Navy and Air Force troops already inplace in the gulf and the Saudi desert.   ",0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,intend,0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,0,deploy,Pentagon
