index,text,label
cnc_train_08_11_140_0,"The organisers of the bandh , which included many Kannada organisations , Dalit organisations and heads of a few religious maths , there was no was force on the business establishments and hotels to close their establishments , and everybody 's support for the bandh call appeared voluntary .",0
cnc_train_01_233_415_0,UPA criticised Demonstrations were held in front of the bank branches and the insurance company premises denouncing the failure of the UPA government in holding the price line .,1
cnc_train_04_15_1587_0,The agitating workers alleged that the worker — identified as Sunil — had not been paid salary for the last three months .,0
cnc_train_01_211_600_0,"Sena legislators protest against Yedyurappa 01st April 2010 10:08 PM MUMBAI : Shiv Sena workers , including some legislators , today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here , protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city .",1
cnc_train_05_276_928_0,"The Patels have been seeking quota under the OBC category through a pitched 10 - month-old agitation across the state , and this proved to be a key factor for the exit of Anandiben Patel as the Chief Minister .",1
0_our_data_0_05,"According to department policy, prosecutors must make a strong showing that lawyers' fees came from assets tainted by illegal profits before any attempts at seizure are made.    ",0
cnc_train_01_323_631_0,"The protestors accused the Government of reneging on its commitment when the Chief Minister had himself announced , during an election rally , allocation of funds for the proposed Sureswari irrigation project here .",1
cnc_train_09_A_90_399_0,"Trinamool activist dies in police custody in Hooghly , cadres go on rampage",1
cnc_train_08_132_1184_0,"But in spite of its controversial nature , the CSAT was not removed until April 2015 , and that too after massive protests , ” said Anupama Karthik , an aspirant from Hyderabad .",1
cnc_train_02_262_640_0,"Meanwhile , 307 lawyers associated with ' Centre for paralegal services and legal aid ' are supporting Hazare 's strike .",0
prevent_our_data_0_0180,"""Indonesia's economy struggled to gain any momentum in the first quarter of the year and a failure to contain the virus will hold back the recovery in the quarters ahead,"" Gareth Leather, Senior Asia Economist from Capital Economics said.",4
enable_our_data_0_091,"The company's confidence in its VzLinux distro has led to an in-house conversion of more than 200+ CentOS servers, ensuring Virtuozzo's infrastructure is future-proofed well beyond December 2021 when CentOS is slated for end-of-life.",2
cnc_train_02_26_72_0,The clashes erupted after a youth belonging to a minority Muslim sect was allegedly severely injured in a thrashing by a youth from the majority sect following an altercation .,1
cnc_train_01_158_2607_0,"PUBLISHED : Friday , 12 September , 2014 , 12:28pm Xi Jinping urges China ’ s central Asian neighbours to help step up extremism fight",0
cnc_train_03_276_1162_0,TDP leaders blocked the roads at various places in the Krishna district .,0
cnc_train_04_257_234_0,The workers went on strike five weeks ago demanding a minimum pay of R9000 a month .,1
