corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,1,1,0,prevent_1_1_0,"The government has implemented a series of measures to prevent the spread of poverty, including increased access to education and job training.","[""The government has implemented a series of <ARG0>Measures</ARG0> to prevent the spread of <ARG1>Poverty</ARG1>, including increased access to education and job training.""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX tries a new restaurant cause becomes nourished,"[""<ARG0>PersonX tries a new restaurant</ARG0> cause <ARG1>becomes nourished</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX mentions in PersonY chapter cause becomes recognized,"[""<ARG0>PersonX mentions in PersonY chapter</ARG0> cause <ARG1>becomes recognized</ARG1>""]",0
cnc,1,1,0,intend_1_1_0,The government passed a law to protect the rights of victims of racial discrimination and ensure their access to services.,"[""The government <ARG0>passed</ARG0> a law to protect the rights of victims of racial discrimination and <ARG1>ensure</ARG1> their access to services.""]",0
cnc,id,0,0,intend_atomic_0_0,give gift intend pleasure in giving,"[""<ARG0>give gift</ARG0> intend <ARG1>pleasure in giving</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX finds PersonY outlet intend charge something,"[""<ARG0>PersonX finds PersonY outlet</ARG0> intend <ARG1>charge something</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX tries to fight PersonY cause becomes physically exhausted,"[""<ARG0>PersonX tries to fight PersonY</ARG0> cause <ARG1>becomes physically exhausted</ARG1>""]",0
cnc,train_10_303,1087,0,cnc_train_10_303_1087_0,"Elaborating on the three issues , Singhvi said , “ The BJP gave sermons on Raj Dharma and turned a Nelson ’ s eye to the communal carnage , which became a big blot on the fair name of the country . ”",[],0
cnc,id,0,0,intend_atomic_0_0,PersonX lymph node  intend recover,"[""<ARG0>PersonX lymph node </ARG0> intend <ARG1>recover</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX is getting sick intend to take care of him,"[""<ARG0>PersonX is getting sick</ARG0> intend <ARG1>to take care of him</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX thinks it was a great idea cause to thinks it was great idea,"[""<ARG0>PersonX thinks it was a great idea</ARG0> cause <ARG1>to thinks it was great idea</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX walks on the sidewalk intend go to the store,"[""<ARG0>PersonX walks on the sidewalk</ARG0> intend <ARG1>go to the store</ARG1>""]",0
cnc,1,1,0,prevent_1_1_0,"They might also have to quarantine on their return to the offices in Belgium, disrupting their work.","[""They might also have to <ARG0>quarantine</ARG0> on their return to the offices in Belgium, disrupting their <ARG1>work</ARG1>.""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX goes to sea intend to sea beautiful fish,"[""<ARG0>PersonX goes to sea</ARG0> intend <ARG1>to sea beautiful fish</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX left behind PersonY intend cool down,"[""<ARG0>PersonX left behind PersonY</ARG0> intend <ARG1>cool down</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX sets aside  cause rests,"[""<ARG0>PersonX sets aside </ARG0> cause <ARG1>rests</ARG1>""]",0
cnc,train_10_31,497,0,cnc_train_10_31_497_0,"Teachers from Dindigul , Vellore , Villupuram , and Kancheepuram participated in the protest headed by S Sankara Perumal , State president , TN Physical Education Teachers Association .",[],0
cnc,1,1,0,prevent_1_1_0,The United States and its allies have imposed economic sanctions on Iran in an effort to prevent the country from destabilizing the region.,"[""The United States and its allies have imposed <ARG0>Economic sanctions</ARG0> on Iran in an effort to prevent the country from <ARG1>Destabilizing</ARG1> the region.""]",0
cnc,1,1,0,prevent_1_1_0,"The government has implemented a series of measures to prevent the spread of discrimination, including increased awareness and education.","[""The government has implemented a series of <ARG0>Measures</ARG0> to prevent the spread of <ARG1>Discrimination</ARG1>, including increased awareness and education.""]",0
cnc,train_10_278,992,0,cnc_train_10_278_992_0,"Emerging from a crowd , Chiu suddenly threw a blue , plastic water bottle which hit Lee ’ s right thigh .","['Emerging from a crowd , <ARG0>Chiu suddenly threw a blue , plastic water bottle</ARG0> <ARG1>which hit Lee ’ s right thigh</ARG1> .']",1
cnc,id,0,0,intend_atomic_0_0,PersonX feels a pain intend to take some ibuprofen,"[""<ARG0>PersonX feels a pain</ARG0> intend <ARG1>to take some ibuprofen</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX works a lot lately intend to see if he needs more work,"[""<ARG0>PersonX works a lot lately</ARG0> intend <ARG1>to see if he needs more work</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX waits a half hour intend to ask the doctor questions.,"[""<ARG0>PersonX waits a half hour</ARG0> intend <ARG1>to ask the doctor questions.</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX tries new foods cause learns new names,"[""<ARG0>PersonX tries new foods</ARG0> cause <ARG1>learns new names</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX takes  of the situation intend He won the war.,"[""<ARG0>PersonX takes  of the situation</ARG0> intend <ARG1>He won the war.</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX runs around the house intend to keep running,"[""<ARG0>PersonX runs around the house</ARG0> intend <ARG1>to keep running</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX hopes would come intend to grow  high level,"[""<ARG0>PersonX hopes would come</ARG0> intend <ARG1>to grow  high level</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX finds a better job cause they save more money,"[""<ARG0>PersonX finds a better job</ARG0> cause <ARG1>they save more money</ARG1>""]",0
cnc,train_10_44,1755,0,cnc_train_10_44_1755_0,"HYDERABAD Protests mark Rohith ’ s death anniversary January 18 , 2017 00:00 IST : Protests rocked the University of Hyderabad on the first death anniversary of Rohith Vemula , research scholar who committed suicide on January 17 , 2016 .",[],0
cnc,id,0,0,intend_atomic_0_0,PersonX leaves the  quickly intend to get to work on time,"[""<ARG0>PersonX leaves the  quickly</ARG0> intend <ARG1>to get to work on time</ARG1>""]",0
cnc,1,1,0,enable_1_1_0,The United Nations has passed a resolution calling for an end to the use of chemical weapons in armed conflicts.,"[""The United Nations has passed a <ARG0>resolution</ARG0> calling for an <ARG1>end</ARG1> to the use of chemical weapons in armed conflicts.""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX spends some  talking cause shares ideas and opinions.,"[""<ARG0>PersonX spends some  talking</ARG0> cause <ARG1>shares ideas and opinions.</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX offer PersonY resistance intend to make a truce,"[""<ARG0>PersonX offer PersonY resistance</ARG0> intend <ARG1>to make a truce</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX starts going off intend to be heard,"[""<ARG0>PersonX starts going off</ARG0> intend <ARG1>to be heard</ARG1>""]",0
cnc,train_10_64,281,0,cnc_train_10_64_281_0,The students were agitating against the Srikrishna Committee recommendations on the Telangana issue .,['<ARG1>The students were agitating</ARG1> <ARG0>against the Srikrishna Committee recommendations on the Telangana issue</ARG0> .'],1
cnc,id,0,0,intend_atomic_0_0,PersonX provides  to clients intend to give quality services,"[""<ARG0>PersonX provides  to clients</ARG0> intend <ARG1>to give quality services</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX expresses PersonY views intend to share their viewpoint,"[""<ARG0>PersonX expresses PersonY views</ARG0> intend <ARG1>to share their viewpoint</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX drives to the mountains intend to set up camp,"[""<ARG0>PersonX drives to the mountains</ARG0> intend <ARG1>to set up camp</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX makes PersonY mad intend ask PersonY for forgiveness,"[""<ARG0>PersonX makes PersonY mad</ARG0> intend <ARG1>ask PersonY for forgiveness</ARG1>""]",0
cnc,train_10_156,1928,0,cnc_train_10_156_1928_0,"The ANC in the North West has threatened to take action against unruly members who disrupted a provincial executive committee ( PEC ) meeting , the party said on Thursday .","['<ARG1>The ANC in the North West has threatened to take action</ARG1> <ARG0>against unruly members who disrupted a provincial executive committee ( PEC ) meeting</ARG0> , the party said on Thursday .']",1
cnc,id,0,0,intend_atomic_0_0,PersonX takes seriously the  intend to apologize to the accusers,"[""<ARG0>PersonX takes seriously the </ARG0> intend <ARG1>to apologize to the accusers</ARG1>""]",0
cnc,train_10_65,1500,0,cnc_train_10_65_1500_0,Fiona Cincotta said it was a sign that Star ’ s launch “ seemingly sucking out interest and liquidity from the other markets. ” Investors were also reacting to anti-government protests over the weekend .,[],0
cnc,train_10_302,2878,0,cnc_train_10_302_2878_0,"On Kandahar plane hijack issue , Singh said Advani was not speaking the truth .",[],0
cnc,id,0,0,intend_atomic_0_0,PersonX walks on the beach intend to relax.,"[""<ARG0>PersonX walks on the beach</ARG0> intend <ARG1>to relax.</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX brings the kids intend to make sure the kids enjoy themselves,"[""<ARG0>PersonX brings the kids</ARG0> intend <ARG1>to make sure the kids enjoy themselves</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX sets the  on fire cause PersonX goes to jail,"[""<ARG0>PersonX sets the  on fire</ARG0> cause <ARG1>PersonX goes to jail</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX plays together  cause laughs,"[""<ARG0>PersonX plays together </ARG0> cause <ARG1>laughs</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX shakes my head intend to apologize.,"[""<ARG0>PersonX shakes my head</ARG0> intend <ARG1>to apologize.</ARG1>""]",0
cnc,1,1,0,prevent_1_1_0,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing human rights abuses.,"[""The United Nations has imposed an arms <ARG0>Embargo</ARG0> on Sudan in an effort to prevent the country from committing human rights <ARG1>Abuses</ARG1>.""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX takes up a collection intend to be helpful,"[""<ARG0>PersonX takes up a collection</ARG0> intend <ARG1>to be helpful</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX accepts PersonY offer cause Person X works for person y,"[""<ARG0>PersonX accepts PersonY offer</ARG0> cause <ARG1>Person X works for person y</ARG1>""]",0
cnc,1,1,0,intend_1_1_0,The government passed a law to protect the rights of workers and ensure fair wages and working conditions.,"[""The government <ARG0>passed</ARG0> a law to <ARG1>protect</ARG1> the rights of workers and ensure fair wages and working conditions.""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX gives PersonY birth intend eat,"[""<ARG0>PersonX gives PersonY birth</ARG0> intend <ARG1>eat</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX does such a good job intend to continue doing a job,"[""<ARG0>PersonX does such a good job</ARG0> intend <ARG1>to continue doing a job</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX resists PersonY attack intend to be safe,"[""<ARG0>PersonX resists PersonY attack</ARG0> intend <ARG1>to be safe</ARG1>""]",0
cnc,train_10_56,3021,0,cnc_train_10_56_3021_0,Three persons died and over 50 others were injured in clashes between protestors and law enforcing agencies after Guru was hanged last Saturday .,"['<ARG1>Three persons died and over 50 others were injured</ARG1> in <ARG0>clashes between protestors and law enforcing agencies</ARG0> after Guru was hanged last Saturday .', 'Three persons died and over 50 others were injured in <ARG1>clashes between protestors and law enforcing agencies</ARG1> after <ARG0>Guru was hanged last Saturday</ARG0> .']",2
cnc,id,0,0,intend_atomic_0_0,PersonX hands it back to PersonY intend to get their things,"[""<ARG0>PersonX hands it back to PersonY</ARG0> intend <ARG1>to get their things</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX goes shopping for one cause gets special treats,"[""<ARG0>PersonX goes shopping for one</ARG0> cause <ARG1>gets special treats</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX sets PersonY on fire intend to kill this person,"[""<ARG0>PersonX sets PersonY on fire</ARG0> intend <ARG1>to kill this person</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX drives to the mountains cause breathes fresh air,"[""<ARG0>PersonX drives to the mountains</ARG0> cause <ARG1>breathes fresh air</ARG1>""]",0
cnc,id,0,0,cause_atomic_0_0,PersonX eats  like the ox cause is thin,"[""<ARG0>PersonX eats  like the ox</ARG0> cause <ARG1>is thin</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX shakes PersonY hand intend to introduce himself/herself,"[""<ARG0>PersonX shakes PersonY hand</ARG0> intend <ARG1>to introduce himself/herself</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX wastes breath intend to drop the subject,"[""<ARG0>PersonX wastes breath</ARG0> intend <ARG1>to drop the subject</ARG1>""]",0
cnc,id,0,0,intend_atomic_0_0,PersonX crosses the rubicon intend take the consequence,"[""<ARG0>PersonX crosses the rubicon</ARG0> intend <ARG1>take the consequence</ARG1>""]",0
cnc,train_10_192,1689,0,cnc_train_10_192_1689_0,Hundreds of angry students set fire to tyres and barricaded the gates to the Soshanguve campus earlier on Tuesday .,[],0
