corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs,event0,event1,label,triplets
NEWS,train204,205,0,cause_our_data_0_0205,"Columbia officials said they do n't know how quickly they will dispose of the thrift's junk bonds, because federal regulations, such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries, have n't yet been completed.    ","[""Columbia officials said they do nt <ARG1>know</ARG1> how quickly they will dispose of the thrifts junk bonds, because federal regulations, such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries, have nt yet been <ARG0>completed</ARG0>.""]",1,completed,know,cause,<triplet> completed <subj> know <obj> cause
AFPNEWS,train6,7,0,enable_our_data_0_07,"Among individual companies, Amazon edged up 0.1 percent after announcing it would acquire the storied MGM studios for $8.45 billion, giving the US tech giant a vast library to further its ambitions in streaming.","[""Among individual companies, Amazon edged up 0.1 percent after announcing it would <ARG0>acquire</ARG0> the storied MGM studios for $8.45 billion, giving the US tech giant a vast library to further its <ARG1>ambitions</ARG1> in streaming.""]",1,acquire,ambitions,enable,<triplet> acquire <subj> ambitions <obj> enable
NEWS,train104,105,0,0_our_data_0_0105,"We have established a close cooperation with Spanish authorities, and we decided to strike, and strike hard because France does n't have to welcome terrorists. """,[],0,We,Spanish,0,<triplet> We <subj> Spanish <obj> 0
NEWS,train186,187,0,cause_our_data_0_0187,The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.,"[""The president also has offered  to <ARG1>help</ARG1> offsetJordans costs because 40 percent of its exports <ARG0>go</ARG0> to Iraq and 90percent of its oil comes from there.""]",1,go,help,cause,<triplet> go <subj> help <obj> cause
NEWS,train69,70,0,cause_our_data_0_070,"Newsprint results continued to be depressed, the company added, because of industrywide price discounting.    ","[""Newsprint results <ARG1>continued</ARG1> to be depressed, the company added, because of industrywide price <ARG0>discounting</ARG0>.""]",1,discounting,continued,cause,<triplet> discounting <subj> continued <obj> cause
NEWS,train232,233,0,cause_our_data_0_0233,"A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains, thus increasing sales in the third quarter.    ","[""A spokesman said herbicide use in some areas of the U.S. was <ARG1>delayed</ARG1> earlier in the year by heavy <ARG0>rains</ARG0>, thus increasing sales in the third quarter.""]",1,rains,delayed,cause,<triplet> rains <subj> delayed <obj> cause
NEWS,train24,25,0,intend_our_data_0_025,The company earlier this year adopted a shareholder-rights plan to ward off unwanted suitors.,"[""The company earlier this year <ARG0>adopted</ARG0> a shareholder-rights plan to <ARG1>ward</ARG1> off unwanted suitors.""]",1,adopted,ward,intend,<triplet> adopted <subj> ward <obj> intend
NEWS,train44,45,0,intend_our_data_0_045,Bush's chief objective in his meeting with Hussein was to pressthe king  to shut down Iraq's food and oil supply route from Aqabaon the Red Sea.,"[""Bushs chief objective in his <ARG0>meeting</ARG0> with Hussein was to pressthe king  to <ARG1>shut</ARG1> down Iraqs food and oil supply route from Aqabaon the Red Sea.""]",1,meeting,shut,intend,<triplet> meeting <subj> shut <obj> intend
NEWS,train210,211,0,cause_our_data_0_0211,Year-earlier results included an extraordinary gain of $1.6 million from a buy-back of convertible subordinated debentures.,"[""Year-earlier results included an extraordinary <ARG1>gain</ARG1> of $1.6 million from a <ARG0>buy-back</ARG0> of convertible subordinated debentures.""]",1,buy-back,gain,cause,<triplet> buy-back <subj> gain <obj> cause
NEWS,train129,130,0,0_our_data_0_0130,"The Dearborn, Mich., energy company stopped paying a dividend in the third quarter of 1984 because of troubles at its Midland nuclear plant. ",[],0,nuclear,energy,0,<triplet> nuclear <subj> energy <obj> 0
